Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pfam_Domains_2019	Fungal_trans	13/20	6.9653e-12	1.727404e-10	0.0368067044595081	0.6575971571015335	-943.0	24225.740508362887	MAL13;PUT3;ASG1;MAL33;GAL4;HAL9;TBS1;PDR3;STB5;PDR1;RDR1;PPR1;SEF1
Pfam_Domains_2019	FAD_binding_8	7/8	2.18671381e-08	3.389406417e-07	0.0477288259186596	0.6575971571015335	-914.4285714285716	16128.94797560901	FRE2;FRE1;FRE4;FRE3;FRE6;FRE5;FRE7
Pfam_Domains_2019	HMGL-like	5/6	4.5458406532e-06	2.68421067144e-05	0.1018578583999502	0.7801702581861947	-685.8571428571429	8436.933020996383	PYC1;LEU4;LYS20;PYC2;LEU9
Pfam_Domains_2019	EFG_C	5/7	1.51139011405e-05	8.14836409317e-05	0.1412902721667304	0.7801702581861947	-743.0	8247.222454802679	MEF2;MEF1;GUF1;EFT1;EFT2
Pfam_Domains_2019	DnaJ_C	4/6	0.0001800423534287	0.000587506626978	0.2057968188884654	0.7974626731928033	-507.28571428571433	4373.978967581949	SCJ1;APJ1;MDJ1;YDJ1
Pfam_Domains_2019	FYVE	3/5	0.0020044293384565	0.0044297657998232	0.3021051576129583	0.8479559801620807	-607.2857142857144	3772.699268171957	PEP7;FAB1;PIB2
Pfam_Domains_2019	ABC_tran	21/28	0.0	0.0	0.0027444889191384	0.340316625973164	-72.0	3278.2004607186277	CAF16;PDR15;ATM1;HEF3;YBT1;NFT1;PDR5;STE6;BPT1;NEW1;PDR12;GCN20;MDL1;MDL2;ADP1;PDR10;SNQ2;YOR1;YCF1;PXA1;VMR1
Pfam_Domains_2019	DnaJ	6/19	0.0006576864375567	0.0018965841455124	0.5884224216001401	0.9285517111970856	-443.0	3245.7645495470174	SCJ1;APJ1;CAJ1;MDJ1;YDJ1;SEC63
Pfam_Domains_2019	FAD_binding_6	3/6	0.0038288163231488	0.0071935336980372	0.377657388854083	0.8479559801620807	-535.857142857143	2982.151945063626	CBR1;YHB1;PGA3
Pfam_Domains_2019	GTP_EFTU_D3	3/5	0.0020044293384565	0.0044297657998232	0.3021051576129583	0.8479559801620807	-400.1428571428572	2485.8458363090213	HBS1;TEF1;TUF1
Pfam_Domains_2019	HA2	3/6	0.0038288163231488	0.0071935336980372	0.377657388854083	0.8479559801620807	-364.4285714285714	2028.117731766811	PRP2;PRP22;PRP16
Pfam_Domains_2019	GATA	3/10	0.019144827085098	0.0339136936936022	0.6445561034161646	0.9285517111970856	-485.857142857143	1921.916141565452	ASH1;GAT1;GLN3
Pfam_Domains_2019	GTP_EFTU_D2	7/13	3.5832682813e-06	2.33855403626e-05	0.1892377440296312	0.7974626731928033	-112.95238095238092	1416.3364763868242	MEF2;MEF1;GUF1;TEF1;TUF1;EFT1;EFT2
Pfam_Domains_2019	Enolase_C	2/5	0.0322520394240429	0.0481837697419436	0.5360148655316522	0.8745505700779588	-400.1428571428573	1374.1601961996726	ENO1;ERR1
Pfam_Domains_2019	AAA	14/33	2.2100814e-09	4.56750162e-08	0.2286975140877831	0.8479559801620807	-67.2	1339.3118910906453	RFC3;MSP1;RFC1;YME1;PEX1;AFG3;RIX7;ORC1;BMS1;PEX6;YTA7;PIM1;YTA6;HSP78
Pfam_Domains_2019	GTP_EFTU	9/16	8.07518651e-08	7.702485594e-07	0.1268257512955562	0.7801702581861947	-79.14285714285714	1292.5520238440506	MEF2;IFM1;MEF1;GUF1;HBS1;TEF1;TUF1;EFT1;EFT2
