Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Biological_Process_2018	ubiquitin-dependent protein catabolic process (GO:0006511)	20/124	0.0	9.6e-15	8.5620276879e-06	0.0072434754239955	-1.6090492605207023	61.66287702038468	RSP5;RPN6;PUP2;PUP1;RPN2;RPN1;UBP2;UBP14;CDC4;RPN9;SCL1;RAD23;CDC48;TOM1;DMA1;RPT5;RPT2;UBA1;DOA1;VPS36
GO_Biological_Process_2018	regulation of transcription from RNA polymerase II promoter (GO:0006357)	30/337	0.0	4.8e-15	0.0014856997300624	0.1013572929708677	-1.5444194768597763	61.31003462077535	RSP5;HIR1;RPH1;TUP1;YAP7;SET1;ESS1;CAF4;RAD23;RVB1;SWI6;SPT5;MOT1;SIN3;ESA1;SNF2;ZAP1;BAS1;SIF2;PDC2;SKN7;ELP2;ADA2;ELP3;SAP30;SPT23;RAP1;CDC39;AZF1;TAF1
GO_Biological_Process_2018	regulation of transcription, DNA-templated (GO:0006355)	21/177	2.1e-15	4.632e-13	0.0002935300811534	0.0496652897311604	-1.6004188678828328	54.021683271768005	HIR1;SEC13;SIF2;MET30;NUP145;CHA4;ELP2;ADA2;ELP3;STH1;SAP30;RSC8;CAF4;RVB1;SET2;CDC39;SPT5;AZF1;MOT1;SIN3;ESA1
GO_Biological_Process_2018	ribosome biogenesis (GO:0042254)	22/176	1e-16	4.21e-14	0.0001056470050985	0.0387451378543203	-1.363570643645195	49.68936828257263	PRP43;NOP4;FUN12;DHR2;UTP22;RLI1;SRM1;UTP21;RRB1;RNA1;AFG2;NOG1;CBF5;XRN1;MDV1;YTM1;HAS1;SAC3;MOT1;ERB1;ARB1;ECM16
GO_Biological_Process_2018	positive regulation of transcription, DNA-templated (GO:0045893)	23/241	1.16e-14	1.6389e-12	0.0024030646494873	0.127062043341642	-1.5242716616908276	48.90732321954988	RSP5;SNF2;ZAP1;SEC13;BAS1;DHR2;NUP145;UTP10;TUP1;PDC2;YAP7;NAB2;CHA4;SET1;ESS1;SAP30;SPT23;THO2;RAP1;SWI6;SIN3;ESA1;TAF1
GO_Biological_Process_2018	proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	19/145	7.7e-15	1.3122e-12	0.0001831921411551	0.0387451378543203	-1.397848198363216	45.41658709756408	RSP5;PUP2;SEC13;PUP1;MET30;RPN2;RPN1;UBP14;CDC4;SIS1;SCL1;CDC23;RAD23;CDC48;CDC16;CDC27;RPT5;RPT2;DOA1
GO_Biological_Process_2018	proteasomal protein catabolic process (GO:0010498)	10/58	1.3193502e-09	7.97264519e-08	0.0010475804006399	0.1013572929708677	-1.858239182772129	37.99379329175824	RSP5;PUP2;SCL1;PUP1;RAD23;RPN2;CDC48;RPN1;UBP14;DOA1
GO_Biological_Process_2018	protein modification by small protein conjugation (GO:0032446)	13/74	3.2403e-12	3.916201e-10	0.0001607216186466	0.0387451378543203	-1.385521749417593	36.65444599285416	RSP5;MET30;ELP2;SIZ1;CDC4;PIB1;CDC23;CDC16;CDC27;TOM1;UBA2;DMA1;UBA1
GO_Biological_Process_2018	positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	21/270	9.2109e-12	9.740593e-10	0.0281445414701146	0.286899162791573	-1.3677513043209428	34.75541776105924	RSP5;SNF2;RPH1;ZAP1;BAS1;TUP1;PDC2;YAP7;SET1;ESS1;SAP30;SPT23;XRN1;RAP1;SWI6;CDC39;SPT5;SCC2;SIN3;ESA1;TAF1
GO_Biological_Process_2018	mRNA splicing, via spliceosome (GO:0000398)	12/101	2.4795381e-09	1.298490221e-07	0.0058527531944056	0.1980571680986869	-1.702529729946156	33.735956103912294	PRP43;PRP21;PRP11;PRP4;SUB2;PRP40;SPT5;SNP1;MSL5;PRP46;SNU114;BRR2
