Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Cellular_Component_2018	nucleus (GO:0005634)	94/1599	0.0	0.0	0.0042776107770787	0.0688306461402667	-1.5655556829259734	150.0129719008193	RPH1;PUP2;PUP1;MCM7;TUP1;SRM1;PRP40;NAB2;SMC3;THO2;SCL1;CDC24;PCF11;SET2;STE5;TOM1;ESA1;HSP104;BAS1;SIF2;CHA4;SKN7;MSL5;CRM1;STH1;PKC1;SPT23;SGO1;SIS1;DBF4;RAD34;XRN1;SUB2;CDC39;SCC2;RPT2;AZF1;ERB1;ARB1;MCM2;RSP5;HIR1;NOP4;MET30;UTP22;RPN2;PAB1;UTP21;YAP7;RPN1;RPB2;ESS1;PRP8;RPN9;SDS22;VPS4;RVB1;CDC48;SWI6;SPT5;MOT1;TIS11;BUB1;SNT2;SUA7;SNF2;ZAP1;PRM15;RLI1;TEA1;PDC2;NOG2;ELP2;CIA1;PSE1;ADA2;ELP3;RNA1;CDC5;CDC4;SNU114;BRR2;CCA1;RSC8;STB4;RAP1;YTM1;CDC16;UBA2;RPO21;UBA1;DOA1;RNR1;TAF1
GO_Cellular_Component_2018	nuclear lumen (GO:0031981)	39/339	0.0	0.0	3.556276052e-07	6.29460861218e-05	-1.6812087800743256	102.9102330935125	NOP4;SKI6;DHR2;UTP22;UTP21;YAP7;HEH2;DIP2;RRB1;PWP2;CBF5;RAD23;HAS1;AIR2;CDC27;TOM1;MOT1;SEC13;HSP104;UTP10;UTP13;NOG2;SPB4;PSE1;DBP10;CDC40;NOG1;RSA4;RAD51;RAP1;MRD1;YTM1;SCC2;RPT5;GAS1;RPT2;DBP7;ERB1;ECM16
GO_Cellular_Component_2018	preribosome (GO:0030684)	25/183	0.0	0.0	3.9687883463e-06	0.0003512377686528	-1.843713022692632	80.20093599023173	PRP43;NOP4;FUN12;UTP22;UTP21;DIP2;PWP2;CBF5;CAF4;HAS1;RLI1;UTP10;UTP13;NOG2;SPB4;CRM1;DBP10;CDC4;AFG2;NOG1;MRD1;YTM1;ERB1;ARB1;ECM16
GO_Cellular_Component_2018	nucleolus (GO:0005730)	24/231	4e-16	1.91e-14	0.0003415475590478	0.0100756529919113	-1.3968139270670528	49.41400248861484	NOP4;SKI6;DHR2;UTP22;UTP10;UTP21;UTP13;DIP2;NOG2;SPB4;RRB1;PWP2;DBP10;NOG1;CBF5;RSA4;MRD1;YTM1;HAS1;AIR2;TOM1;DBP7;ERB1;ECM16
GO_Cellular_Component_2018	cytosol (GO:0005829)	36/676	2.87e-14	1.0163e-12	0.2251557050952558	0.5773876349675807	-1.5135881991110436	47.19591070857632	SEC7;TSC11;FUN12;PUP1;PAB1;CYR1;ESS1;GUS1;RPN9;SUA5;RAD23;PCF11;CDC48;SET2;FAS2;TIS11;TAH18;RIA1;PRM15;SKN7;VAC8;SEC18;CIA1;SUP35;GLN4;RNA1;MSL5;GCD6;SIS1;RAP1;CHS6;CDC16;SCC2;AZF1;BET2;TAF1
GO_Cellular_Component_2018	cytosolic proteasome complex (GO:0031597)	9/32	8.12091e-11	1.7967528e-09	5.87487335693e-05	0.0034661752805907	-1.7802582624747223	41.36250789780375	RPN6;PUP2;SCL1;PUP1;RPN2;RPN1;RPT5;RPT2;RPN9
GO_Cellular_Component_2018	nuclear chromosome part (GO:0044454)	22/274	1.525e-12	4.49887e-11	0.0114858328261952	0.1153152092734922	-1.477223600476982	40.19377553544789	HIR1;POL3;MCM7;SIF2;SRM1;YAP7;SIZ1;CHD1;NDC80;SAP30;SGO1;BDF1;RVB1;RAP1;SWI6;SCC2;CEP3;BUB1;SIN3;ESA1;SNT2;MCM2
GO_Cellular_Component_2018	preribosome, large subunit precursor (GO:0030687)	14/89	2.2688e-12	5.73682e-11	0.0001598610276419	0.0070738504731548	-1.476744356699078	39.59412880113155	NOP4;FUN12;RLI1;NOG2;SPB4;CRM1;DBP10;AFG2;NOG1;CAF4;YTM1;HAS1;ERB1;ARB1
GO_Cellular_Component_2018	cytoplasmic stress granule (GO:0010494)	12/96	1.3682532e-09	2.42180832e-08	0.0028385186567131	0.0502417802238231	-1.6490015321802154	33.65567749134897	YEF3;FUN12;TIF34;XRN1;PAB1;SES1;MAP1;RPB2;RPO21;SUP35;KOG1;GUS1
GO_Cellular_Component_2018	90S preribosome (GO:0030686)	12/83	2.426495e-10	4.772108e-09	0.0009263130507509	0.0204946762478645	-1.5012919574056032	33.23770742526066	PRP43;CBF5;UTP22;UTP10;UTP21;MRD1;UTP13;HAS1;DIP2;SPB4;PWP2;ECM16
GO_Cellular_Component_2018	nuclear chromatin (GO:0000790)	14/152	3.3629099e-09	5.41122775e-08	0.0152751433294749	0.1351850184658534	-1.5666456770324153	30.565976554697663	HIR1;SIF2;SRM1;YAP7;SIZ1;CHD1;SAP30;BDF1;RVB1;SWI6;SCC2;SIN3;ESA1;SNT2
GO_Cellular_Component_2018	vesicle coat (GO:0030120)	7/22	4.1505786e-09	6.12210349e-08	0.0002125735396053	0.0075251033020291	-1.5054682401260857	29.055564254578368	SEC21;SFB3;COP1;SEC13;SFB2;CHC1;SEC31
GO_Cellular_Component_2018	proteasome storage granule (GO:0034515)	7/27	2.05573407e-08	2.599035217e-07	0.0006058925986392	0.0153204271370203	-1.5197092559925878	26.898926393919435	RPN6;PUP2;SCL1;PUP1;RPN2;RPN1;RPN9
GO_Cellular_Component_2018	nucleoplasm part (GO:0044451)	12/117	1.35128124e-08	1.839821392e-07	0.0117269704345924	0.1153152092734922	-1.475471879375277	26.735000883206062	RPH1;MCM7;RET1;RPO31;EAF1;RPB2;ELP2;RPO21;TAF5;ESA1;TAF1;MCM2
GO_Cellular_Component_2018	cytoplasmic ribonucleoprotein granule (GO:0036464)	12/131	4.84067211e-08	5.711993096e-07	0.0247178091316403	0.1902196615782757	-1.385587140072244	23.33831319335683	YEF3;FUN12;TIF34;XRN1;PAB1;SES1;MAP1;RPB2;RPO21;SUP35;KOG1;GUS1
GO_Cellular_Component_2018	chromatin (GO:0000785)	11/110	7.15969938e-08	7.920417439e-07	0.0181903861583557	0.1533189690489985	-1.399009754486536	23.01680611990065	HIR1;BDF1;DBF4;SRM1;SWI6;YAP7;SCC2;SIZ1;SIN3;CHD1;ESA1
