Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Molecular_Function_2018	RNA binding (GO:0003723)	45/477	0.0	0.0	0.0007909522459361	0.0342400497543977	-1.4049202080584993	87.4478690558031	PRP43;PRP21;NOP4;NUP145;PAB1;PRP40;NAB2;DIP2;SRP54;RPB2;SET1;PWP2;BI4;GUS1;PRP8;STI1;THO2;SUA5;CBF5;GLE2;PUF2;PCF11;PUF4;MAP1;HAS1;AIR2;BEM2;PUF3;SPT5;PRP28;SNP1;TIS11;CFT2;MPT5;NUP116;PRP11;UTP10;UTP13;SUP35;GLN4;CDC4;VMA1;XRN1;SUB2;MRD1
GO_Molecular_Function_2018	mRNA binding (GO:0003729)	26/197	0.0	0.0	0.0001392732940601	0.0112811368188714	-1.4565205651242656	64.55615201094051	PRP43;NOP4;PAB1;NAB2;RPB2;PWP2;GUS1;PRP8;STI1;THO2;CBF5;PUF2;PCF11;PUF4;MAP1;BEM2;PUF3;SPT5;SNP1;TIS11;MPT5;SUP35;GLN4;VMA1;XRN1;MRD1
GO_Molecular_Function_2018	ubiquitin binding (GO:0043130)	13/45	3e-15	2.431e-13	9.176495837e-06	0.0022298884883922	-1.4436416140566053	48.25039287734026	RSP5;MET30;KOG1;CDC4;COP1;GLE2;RAD23;MDV1;CDC48;TAF5;DOA1;VPS36;VPS27
GO_Molecular_Function_2018	ATP-dependent RNA helicase activity (GO:0004004)	11/41	1.0803e-12	4.37534e-11	8.10741642833e-05	0.0098505109604237	-1.6750203823580885	46.15309543424993	PRP43;DHR2;SUB2;HAS1;AIR2;PRP28;SPB4;DBP7;DBP10;BRR2;ECM16
GO_Molecular_Function_2018	nucleoside-triphosphatase activity (GO:0017111)	20/195	1.72e-13	8.3624e-12	0.0120269682390048	0.1948368854718784	-1.5187996708059768	44.63888038905802	RIA1;FUN12;RLI1;NOG2;SEC18;SUP35;ATP1;YTA12;SRP101;STH1;SMC3;SNU114;AFG2;YEF3;VPS4;MTG2;CDC48;RPT5;RPT2;MOT1
GO_Molecular_Function_2018	DNA binding (GO:0003677)	27/337	4e-15	2.431e-13	0.0575029267354006	0.4770805572395798	-1.3358749139595447	44.28663307179025	HIR1;RPH1;MCM7;YAP7;RPB2;CHD1;THO2;RAD23;SPT5;CEP3;MOT1;SNT2;BAS1;BRF1;TEA1;CHA4;SKN7;SPT23;RSC8;RAD51;RAD34;STB4;RAP1;RPO21;AZF1;TAF1;MCM2
GO_Molecular_Function_2018	RNA helicase activity (GO:0003724)	10/38	1.4678e-11	5.095367e-10	0.0001970341432514	0.0119698242025283	-1.608329671593672	40.11925364481117	PRP43;DHR2;SUB2;HAS1;PRP28;SPB4;DBP7;DBP10;BRR2;ECM16
GO_Molecular_Function_2018	ATP-dependent helicase activity (GO:0008026)	10/47	1.465792e-10	3.9576398e-09	0.000845433327269	0.0342400497543977	-1.5272119404233573	34.58135463564639	PRP43;MCM7;SUB2;RVB1;HAS1;PRP28;SPB4;DBP7;DBP10;BRR2
GO_Molecular_Function_2018	ATPase activity (GO:0016887)	14/112	5.62602e-11	1.7089047e-09	0.0079305185761672	0.1690730323754035	-1.438741566361745	33.95578731798639	HSP104;RLI1;SEC18;ATP1;YTA12;SMC3;AFG2;YEF3;VPS4;CDC48;RPT5;RPT2;MOT1;ARB1
GO_Molecular_Function_2018	ATPase activity, coupled (GO:0042623)	10/69	7.6800115e-09	1.866242811e-07	0.009898670817187	0.1732962834016305	-1.6902035446784915	31.580852843529957	SNF2;RAD51;HSP104;VPS4;HAS1;RPT5;RPT2;STH1;CHD1;BRR2
GO_Molecular_Function_2018	RNA-dependent ATPase activity (GO:0008186)	8/39	1.44960772e-08	3.202315256e-07	0.0034037645691592	0.118159255757958	-1.555730607863308	28.07998498442192	PRP43;SUB2;HAS1;PRP28;SPB4;DBP7;DBP10;BRR2
GO_Molecular_Function_2018	5'-3' RNA polymerase activity (GO:0034062)	6/24	2.783753154e-07	5.6371001376e-06	0.0048299967699288	0.1467111518865888	-1.7537889429343814	26.472208686477877	RPA135;RET1;RPO31;RPB2;RPO21;RPA43
GO_Molecular_Function_2018	3'-5' RNA helicase activity (GO:0034458)	4/11	5.7471840812e-06	6.34802605341e-05	0.007296884935932	0.1690730323754035	-2.1929134342705323	26.46144903059999	PRP43;DHR2;AIR2;ECM16
GO_Molecular_Function_2018	ATP-dependent 3'-5' RNA helicase activity (GO:0034459)	4/11	5.7471840812e-06	6.34802605341e-05	0.007296884935932	0.1690730323754035	-2.17979473950287	26.30314835738715	PRP43;DHR2;AIR2;ECM16
GO_Molecular_Function_2018	TBP-class protein binding (GO:0017025)	5/19	2.1819187762e-06	3.53470841759e-05	0.0083492855494026	0.1690730323754035	-1.5309595933088482	19.956526612700983	RPT5;RPT2;MOT1;TAF1;SUA7
GO_Molecular_Function_2018	signal sequence binding (GO:0005048)	6/32	1.7324695695e-06	3.00707218148e-05	0.0156270192083652	0.2373353542270474	-1.467339343356569	19.46566895391188	NUP116;SFB3;NUP145;SFB2;SRP54;PSE1
GO_Molecular_Function_2018	ubiquitin-protein transferase activity (GO:0004842)	9/89	1.0293398396e-06	1.92407370032e-05	0.0844250647979392	0.5057944333135578	-1.3867481505666366	19.118532197755528	RSP5;CDC23;CDC16;CDC27;TOM1;DMA1;CDC4;PIB1;SNT2
