Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Gene_Interaction_Hubs_BioGRID_2018	STB5	71/667	0.0	0.0	1.11e-14	4.40881e-11	-1.6570114337112267	180.6372206105635	POL3;DHR2;SMC3;CHD1;STI1;CDC24;THS1;SET2;FAS2;SEH1;PRP46;ESA1;CFT2;RIA1;SEC13;BAS1;SIF2;CHA4;SKN7;AVO1;SUP35;INN1;RPA43;MSL5;PKC1;CDC40;AFG2;SAP30;VMA1;DBF4;XRN1;CDC39;SAC3;SCC2;AZF1;VPS27;RSP5;HIR1;NOP4;SKI6;PRP4;MET30;ESS1;TRS23;CBF5;TIF34;SDS22;VPS4;CDC48;SWI6;HAS1;PRP28;CEP3;SIN3;MPT5;PDC2;EAF1;VAC8;NOG2;SPB4;GLN4;ELP3;CDC60;DBP10;SNU114;BRR2;NOG1;BDF1;MRD1;DOA1;TAF1
Gene_Interaction_Hubs_BioGRID_2018	LSM1	77/858	0.0	0.0	2.6705e-12	1.7568057e-09	-1.5607913012816292	165.98246490012716	POL3;MCM7;DHR2;NUP145;SRM1;PRP40;NAB2;SET1;UBP14;KOG1;GUS1;CHD1;YEF3;CDC23;PCF11;SET2;BEM2;FAS2;STE11;SEH1;PRP46;ESA1;PRP11;BAS1;SIF2;UTP13;SKN7;SUP35;RPA43;MSL5;PKC1;AFG2;SAP30;VMA1;GPI13;DBF4;XRN1;SUB2;CDC39;SAC3;SCC2;GAS1;RPT2;ERB1;RSP5;RPN6;HIR1;NOP4;PAB1;UTP21;RPO31;ESS1;TRS23;VPS4;PUF4;CDC48;SWI6;CEP3;BUB1;SIN3;SUA7;MPT5;ZAP1;EAF1;ADA2;RNA1;CDC60;NDC80;SNU114;BRR2;NOG1;CCA1;RAD51;RAP1;TAF5;DOA1;TAF1
Gene_Interaction_Hubs_BioGRID_2018	CDC20	82/979	0.0	0.0	1.17434e-11	6.6216203e-09	-1.4952243145404167	162.4042896594316	TSC11;PUP2;PUP1;POL3;MCM7;UBP2;SET1;UBP14;CHD1;GLE2;CDC23;DNF2;BEM2;CDC27;ESA1;CFT2;PRP11;RGA1;UTP13;SEC18;INN1;RPA43;MSL5;PKC1;SAP30;VMA1;DBF4;SAC3;SCC2;RPT5;RPT2;ERB1;VPS27;RSP5;RPN6;AXL2;PRP4;PAB1;UTP21;RPN1;TOM71;RRB1;SRP101;SIZ1;CBF5;VPS4;RAD23;RVB1;CDC48;SWI6;HAS1;PRP28;CEP3;MOT1;BUB1;SIN3;SUA7;NUP116;SFB3;KEL3;SFB2;PDC2;EAF1;CIA1;ADA2;RNA1;DBP10;CDC4;NDC80;SNU114;FIG2;BRR2;RSC8;BDF1;RAD51;RAP1;YTM1;CHS6;CDC16;UBA1;DOA1;TAF1
Gene_Interaction_Hubs_BioGRID_2018	BRE5	78/941	0.0	0.0	8.0579e-11	2.8913231e-08	-1.5603495264740523	159.11946912867373	PRP43;RPH1;DHR2;NUP145;NAB2;SET1;YPK9;GUS1;CHD1;STI1;THO2;SCL1;GLE2;CDC23;PCF11;THS1;SET2;BEM2;FAS2;PRP46;CFT2;SKT5;RIA1;PRP11;SKN7;SEC18;PKC1;SAP30;VMA1;GPI13;DBF4;SUB2;SAC3;RSP5;RPN6;HIR1;MET30;PAB1;SRP101;SIZ1;ESS1;PIB1;COP1;VPS4;SRP72;RAD23;PUF4;CDC48;SWI6;HAS1;PRP28;TAH18;BUB1;SIN3;NUP116;SFB3;PDC2;EAF1;VAC8;SPB4;ELP2;GLN4;ELP3;CDC60;DBP10;CDC4;BRR2;GCD6;BDF1;RAP1;PMR1;RPO21;DBP7;UBA1;DOA1;BET2;SEC31;TAF1
Gene_Interaction_Hubs_BioGRID_2018	CKS1	64/597	0.0	0.0	2.754e-13	2.718218e-10	-1.6094682653890175	157.65200595794948	TSC11;PUP2;PUP1;SRM1;SET1;PWP2;SMC3;CHD1;SCL1;GLE2;CDC23;BEM2;FAS2;ESA1;SKT5;RGA1;SEC18;SUP35;INN1;PKC1;CDC40;SAP30;GPI13;SPT23;DBF4;SUB2;CDC39;SAC3;SCC2;RPT5;GAS1;AZF1;VPS27;RPN6;AXL2;MET30;PAB1;RPN1;SIZ1;ESS1;CBF5;COP1;SDS22;VPS4;CDC48;HAS1;SIN3;NUP116;SPB4;ELP2;PSE1;ELP3;RNA1;CDC60;CDC4;NDC80;GCD6;RSC8;RAD51;PMR1;RPO21;DOA1;BET2;TAF1
Gene_Interaction_Hubs_BioGRID_2018	SEC12	67/736	0.0	0.0	7.21675e-11	2.84845194e-08	-1.6843804526672157	155.47100962600177	PRP43;SEC7;PUP1;POL3;PRP40;NAB2;UBP14;PWP2;CHD1;STI1;SCL1;CAF4;GLE2;CDC23;CDC24;PCF11;FAS2;PRP46;CFT2;SEC13;PRP11;SIF2;UTP13;AVO1;MSL5;PKC1;SAP30;GPI13;DBF4;CDC39;GAS1;RPT2;PPZ2;PRP21;RPN6;HIR1;PRP4;MET30;PAB1;RPN1;SRP101;ESS1;TRS23;COP1;TIF34;PUF4;CDC48;PRP28;SIN3;SFB3;RLI1;VAC8;ELP2;GLN4;ELP3;RNA1;CDC4;NDC80;SNU114;RSC8;RAP1;PMR1;RPO21;DBP7;TAF5;SEC31;TAF1
Gene_Interaction_Hubs_BioGRID_2018	ABF1	51/380	0.0	0.0	5.83e-14	1.151283e-10	-1.733930112747857	153.32335847089433	PRP43;TSC11;POL3;SRM1;SRP54;CYR1;KOG1;SCL1;CDC24;SET2;CDC27;NEO1;RIA1;SEC13;PRP11;UTP13;SEC18;SUP35;CRM1;PKC1;AFG2;GPI13;DBF4;CDC39;SAC3;RPT2;RSP5;RPN6;SKI6;PRP4;RPN1;CDC43;CDC48;SWI6;HAS1;MOT1;SNF2;NUP116;RLI1;PDC2;NOG2;SPB4;PSE1;CDC60;CDC4;BRR2;CCA1;BDF1;RPO21;TAF5;BET2
Gene_Interaction_Hubs_BioGRID_2018	STU1	68/782	0.0	0.0	3.308284e-10	8.16112415e-08	-1.6127902084812635	146.48807072570833	PRP43;RPH1;TSC11;PUP1;POL3;DIP2;SMC3;KOG1;CHD1;STI1;YEF3;GLE2;CDC23;CDC24;FAS2;PRP46;PRP11;AVO1;SUP35;RPA43;CRM1;GPI13;DBF4;XRN1;CDC39;SAC3;SCC2;RPT5;GAS1;RPT2;RSP5;RPN6;PRP4;MET30;RPN1;RPB2;SRP101;PRP8;SUA5;COP1;TIF34;SDS22;CDC48;HAS1;PRP28;MOT1;BUB1;SUA7;NUP116;SFB2;PDC2;NOG2;SPB4;PSE1;DBP10;CDC4;NDC80;SNU114;BRR2;NOG1;CCA1;RAD51;MRD1;CDC16;PMR1;RPO21;DBP7;TAF1
Gene_Interaction_Hubs_BioGRID_2018	YDJ1	67/831	0.0	0.0	9.3666524e-09	6.84632915e-07	-1.6750976483028837	141.75294655248672	TSC11;PUP2;POL3;DHR2;DIP2;CYR1;SMC3;GUS1;STI1;CDC23;CDC24;PCF11;THS1;CDC27;FAS2;SEH1;ESA1;SKT5;UTP13;AVO1;RPA43;STH1;PKC1;VMA1;SIS1;DBF4;XRN1;SUB2;CDC39;SCC2;RPT5;GAS1;SKI6;MET30;UTP21;RPO31;IQG1;CBF5;COP1;TIF34;SDS22;CDC48;PRP28;CEP3;MOT1;TAH18;SIN3;SNF2;SFB3;RLI1;VAC8;SPB4;ELP2;CIA1;PSE1;ADA2;RNA1;CDC60;CDC4;SNU114;NOG1;RAD51;TAF5;DOA1;BET2;SEC31;TAF1
Gene_Interaction_Hubs_BioGRID_2018	CTF8	62/641	0.0	0.0	4.63572e-11	2.03302315e-08	-1.5953741974839426	141.23440335059158	TSC11;PUP1;POL3;MCM7;DHR2;SET1;UBP14;SMC3;CHD1;SCL1;GLE2;BEM2;CDC27;NEO1;VPS36;ESA1;SKN7;SEC18;AVO1;INN1;STH1;PKC1;SGO1;DBF4;XRN1;CDC39;SAC3;SCC2;RPT5;RPT2;VPS27;MCM2;RPN6;HIR1;MET30;SRP101;COP1;CDC48;SWI6;TAH18;BUB1;SIN3;NUP116;ZAP1;EAF1;VAC8;CIA1;ELP3;CDC60;CDC4;NDC80;BRR2;RSC8;BDF1;RAD51;RAP1;CDC16;PMR1;DBP7;TAF5;DOA1;TAF1
