Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pfam_Domains_2019	HA2	3/6	3.12079067911e-05	0.0002184553475377	0.0223958786170346	0.2090282004256566	-743.0	7708.505430840109	PRP43;DHR2;ECM16
Pfam_Domains_2019	FYVE	2/5	0.0013430601610461	0.0037811270217525	0.0857335614157246	0.28241643760474	-864.4285714285716	5716.297204496149	PIB1;VPS27
Pfam_Domains_2019	Fungal_trans	3/20	0.0015750076771623	0.0042000204724329	0.2289951219018131	0.4579902438036262	-828.7142857142859	5348.103608947511	STB4;TEA1;CHA4
Pfam_Domains_2019	EFG_C	2/7	0.0027769250416087	0.0055538500832174	0.1338246029108563	0.3122574067919982	-714.4285714285714	4205.420247009485	RIA1;SNU114
Pfam_Domains_2019	Myb_DNA-binding	4/9	2.2354288462e-06	4.17280051303e-05	0.0110797368842454	0.2068217551725822	-199.8571428571429	2600.356768803213	RSC8;BAS1;RAP1;ADA2
Pfam_Domains_2019	HECT	2/5	0.0013430601610461	0.0037811270217525	0.0857335614157246	0.28241643760474	-346.57142857142856	2291.809125451604	RSP5;TOM1
Pfam_Domains_2019	HSF_DNA-bind	1/5	0.0573911067901794	0.074741906517443	0.3634853908589681	0.5088795472025553	-578.7142857142858	1653.8878355027969	SKN7
Pfam_Domains_2019	Glyco_hydro_72	1/5	0.0573911067901794	0.074741906517443	0.3634853908589681	0.5088795472025553	-543.0	1551.8211954446135	GAS1
Pfam_Domains_2019	GTP_EFTU_D3	1/5	0.0573911067901794	0.074741906517443	0.3634853908589681	0.5088795472025553	-521.5714285714286	1490.581211409704	SUP35
Pfam_Domains_2019	GTP_EFTU_D2	4/13	1.22237308697e-05	0.0001711322321763	0.0294866007241574	0.2358928057932599	-130.8095238095238	1479.7345141607857	RIA1;FUN12;SUP35;SNU114
Pfam_Domains_2019	AAA	8/33	3.4761463e-09	9.73320978e-08	0.0072520804007441	0.2030582512208348	-70.4	1371.2048435050604	HSP104;VPS4;CDC48;SEC18;RPT5;RPT2;YTA12;AFG2
Pfam_Domains_2019	DnaJ_C	1/6	0.0684695308959132	0.0815807176632157	0.409777362433206	0.5099451621391009	-435.8571428571429	1168.6927142309387	SIS1
Pfam_Domains_2019	F-box-like	2/5	0.0013430601610461	0.0037811270217525	0.0857335614157246	0.28241643760474	-149.85714285714283	990.9759985979936	MET30;CDC4
Pfam_Domains_2019	GTP_EFTU	4/16	3.02631926996e-05	0.0002184553475377	0.0508238523804	0.28241643760474	-84.14285714285714	875.5550922779415	RIA1;FUN12;SUP35;SNU114
Pfam_Domains_2019	DnaJ	1/19	0.2012231664117082	0.2012231664117082	0.7800901981195201	0.7942736562671479	-357.2857142857143	572.8507294485676	SIS1
Pfam_Domains_2019	C2	3/9	0.000127688730235	0.0007945076547955	0.0500613224324044	0.28241643760474	-60.0	537.9549030419763	RSP5;INN1;PKC1
Pfam_Domains_2019	Bromodomain	3/10	0.000180830467917	0.000843875516946	0.0617557980969008	0.28241643760474	-59.2	510.1826759322399	SNF2;BDF1;STH1
Pfam_Domains_2019	WW	3/5	1.57407690874e-05	0.0001762966137791	0.0157462531263356	0.2090282004256566	-42.71428571428572	472.38823997214894	RSP5;PRP40;ESS1
Pfam_Domains_2019	MCM_N	2/5	0.0013430601610461	0.0037811270217525	0.0857335614157246	0.28241643760474	-49.85714285714287	329.6955419549093	MCM7;MCM2
Pfam_Domains_2019	RhoGAP	3/10	0.000180830467917	0.000843875516946	0.0617557980969008	0.28241643760474	-35.57142857142857	306.552814447702	RGA1;LRG1;BEM2
Pfam_Domains_2019	ABC_tran	3/28	0.0042238318173967	0.0076301477991683	0.3919931080156788	0.5099451621391009	-48.0	262.41660236774675	YEF3;RLI1;ARB1
Pfam_Domains_2019	HGTP_anticodon	1/5	0.0573911067901794	0.074741906517443	0.3634853908589681	0.5088795472025553	-80.75510204081635	230.78725412013148	THS1
Pfam_Domains_2019	BAH	1/5	0.0573911067901794	0.074741906517443	0.3634853908589681	0.5088795472025553	-56.0	160.04049161123086	SNT2
Pfam_Domains_2019	tRNA-synt_2b	2/6	0.0019989862882838	0.0043055089286112	0.1090626641789058	0.290833771143749	-24.428571428571427	151.82638273636414	THS1;SES1
Pfam_Domains_2019	ThiF	2/8	0.0036739430680461	0.0068580270603527	0.1596951387414158	0.3439587603661263	-24.63265306122449	138.10271784437285	UBA2;UBA1
Pfam_Domains_2019	UBA	2/6	0.0019989862882838	0.0043055089286112	0.1090626641789058	0.290833771143749	-22.178571428571438	137.8423738001201	RAD23;UBP14
Pfam_Domains_2019	OB_NTP_bind	3/6	3.12079067911e-05	0.0002184553475377	0.0223958786170346	0.2090282004256566	-12.194805194805197	126.51914141614137	PRP43;DHR2;ECM16
Pfam_Domains_2019	zf-C2H2	3/19	0.0013504025077687	0.0037811270217525	0.2093977183741708	0.4343063788501321	-12.48051948051948	82.4631925527584	RPH1;ZAP1;AZF1
Pfam_Domains_2019	Sec7	1/5	0.0573911067901794	0.074741906517443	0.3634853908589681	0.5088795472025553	-24.428571428571427	69.81358179979713	SEC7
Pfam_Domains_2019	CPSase_L_D2	1/7	0.0794182985347373	0.0907637697539855	0.4527366050414026	0.539430848559969	-26.4	66.87189899664578	CPA2
Pfam_Domains_2019	Cyt-b5	1/6	0.0684695308959132	0.0815807176632157	0.409777362433206	0.5099451621391009	-24.0	64.35279449059249	OLE1
Pfam_Domains_2019	Cation_ATPase_N	1/7	0.0794182985347373	0.0907637697539855	0.4527366050414026	0.539430848559969	-24.8	62.81905663321271	PMR1
Pfam_Domains_2019	SMC_N	1/5	0.0573911067901794	0.074741906517443	0.3634853908589681	0.5088795472025553	-16.21428571428571	46.338254586415054	SMC3
Pfam_Domains_2019	MCM_OB	2/6	0.0019989862882838	0.0043055089286112	0.1090626641789058	0.290833771143749	-7.000000000000004	43.505805579426	MCM7;MCM2
Pfam_Domains_2019	KH_1	1/5	0.0573911067901794	0.074741906517443	0.3634853908589681	0.5088795472025553	-12.555555555555555	35.88209434934343	MSL5
Pfam_Domains_2019	zf-RING_2	1/8	0.0902389207441715	0.099085873758306	0.492600605308159	0.5517126779451381	-9.560646900269544	22.996170938550417	PIB1
Pfam_Domains_2019	Proteasome	3/14	0.0005297624539127	0.0022820536476241	0.1192962929400594	0.3036632911201513	-1.4735907962354169	11.11541599243786	PUP2;SCL1;PUP1
Pfam_Domains_2019	DEAD	10/46	1.165832e-10	6.5286626e-09	0.0052850522380646	0.2030582512208348	-0.4534161490683229	10.370722511597185	PRP43;DHR2;SUB2;HAS1;PRP28;SPB4;DBP7;DBP10;BRR2;ECM16
Pfam_Domains_2019	RNase_PH	1/6	0.0684695308959132	0.0815807176632157	0.409777362433206	0.5099451621391009	-2.2380952380952386	6.001153454479856	SKI6
Pfam_Domains_2019	MCM	2/6	0.0019989862882838	0.0043055089286112	0.1090626641789058	0.290833771143749	0.1428571428571398	-0.8878735832535727	MCM7;MCM2
Pfam_Domains_2019	PA14	2/5	0.0013430601610461	0.0037811270217525	0.0857335614157246	0.28241643760474	0.1428571428571397	-0.9446863666329574	FLO9;FLO1
Pfam_Domains_2019	RRM_1	5/45	0.0001787554350685	0.000843875516946	0.2925021405149392	0.5088795472025553	1.372294372294372	-11.842203267390394	NOP4;PUF2;PAB1;MRD1;SNP1
Pfam_Domains_2019	Prot_ATP_ID_OB	2/5	0.0013430601610461	0.0037811270217525	0.0857335614157246	0.28241643760474	2.680514359727327	-17.725717598388318	RPT5;RPT2
Pfam_Domains_2019	Zn_clus	4/44	0.0017446909026312	0.0043055089286112	0.4634162591390953	0.5406523023289445	3.4285714285714275	-21.77546699033236	STB4;TEA1;CHA4;CEP3
Pfam_Domains_2019	ubiquitin	1/9	0.1009328910151315	0.106646073525422	0.5295901015929616	0.5703278017154971	10.174603174603176	-23.33341164428318	RAD23
Pfam_Domains_2019	Metallophos	1/19	0.2012231664117082	0.2012231664117082	0.7800901981195201	0.7942736562671479	39.85714285714285	-63.90457957463028	PPZ2
Pfam_Domains_2019	Proteasome_A_N	2/7	0.0027769250416087	0.0055538500832174	0.1338246029108563	0.3122574067919982	11.285714285714285	-66.43235343206342	PUP2;SCL1
Pfam_Domains_2019	Pribosyltran_N	1/5	0.0573911067901794	0.074741906517443	0.3634853908589681	0.5088795472025553	27.67873475520294	-79.10211281070607	PRS3
Pfam_Domains_2019	PH	1/17	0.182098774136475	0.1888431731785667	0.7438409062067363	0.7859451084448534	48.83673469387756	-83.17902072731702	BEM2
Pfam_Domains_2019	PHD	1/9	0.1009328910151315	0.106646073525422	0.5295901015929616	0.5703278017154971	64.14285714285714	-147.0987776202002	SNT2
Pfam_Domains_2019	PCI	2/8	0.0036739430680461	0.0068580270603527	0.1596951387414158	0.3439587603661263	28.714285714285705	-160.98634963300125	RPN6;RPN9
Pfam_Domains_2019	Pribosyl_synth	1/5	0.0573911067901794	0.074741906517443	0.3634853908589681	0.5088795472025553	63.30831845706929	-180.92668587410236	PRS3
Pfam_Domains_2019	Pkinase	5/113	0.0108018316868069	0.0189032054519122	0.9433114188192536	0.9433114188192536	62.71573289452322	-283.97931949313346	DBF20;CDC5;PKC1;STE11;BUB1
Pfam_Domains_2019	NAD_binding_1	1/8	0.0902389207441715	0.099085873758306	0.492600605308159	0.5517126779451381	121.57142857142858	-292.4150825603156	TAH18
