Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Biological_Process_2018	regulation of transcription from RNA polymerase II promoter (GO:0006357)	29/337	1.2e-15	9.8e-13	0.0109503076188784	0.736560549376767	-1.5444194768597763	53.02299537516829	GIS1;MIG1;MET32;TFB1;CTR9;UPC2;RTT106;CYC8;GAL11;TEC1;REG2;GAT2;CRZ1;GCR1;RGM1;TFA1;SPN1;HAC1;SPT7;SPP41;MSN4;BUR6;RIM101;ACE2;CEG1;RSC3;MKS1;SKO1;MCM1
GO_Biological_Process_2018	positive regulation of transcription, DNA-templated (GO:0045893)	22/241	1.2019e-12	3.193155e-10	0.0144071162913238	0.736560549376767	-1.5336991742876165	42.09556982854558	GIS1;CTI6;MIG1;HAC1;CTK3;MET32;SWI4;MSN4;BUR6;RIM101;UPC2;ACE2;CEG1;CYC8;GAL11;RSC3;TEC1;CRZ1;GCR1;TBF1;MCM1;RGM1
GO_Biological_Process_2018	ribonucleoprotein complex assembly (GO:0022618)	19/156	2.493e-13	9.93587e-11	0.0013639789386968	0.6925083005397696	-1.4389379972021634	41.7579678830573	TIF4631;RPL5;SMD1;RRP5;MRPL19;CLF1;SUI2;MRN1;LSM4;RPS0B;GCD11;CUS1;LSG1;SPP382;MRPL7;RSA1;RPS31;CWC2;PRP24
GO_Biological_Process_2018	ubiquitin-dependent protein catabolic process (GO:0006511)	14/124	1.0315426e-09	1.152016474e-07	0.0103243208651822	0.736560549376767	-1.593148150140128	32.96575684896841	RPN5;CDC53;DEF1;PRE9;CUZ1;PRE6;DIA2;PRE5;DDI1;RPN12;RPN11;RPT1;UMP1;SKP1
GO_Biological_Process_2018	ribosomal large subunit biogenesis (GO:0042273)	13/104	1.1563527e-09	1.152016474e-07	0.006316461082285	0.736560549376767	-1.561145034455558	32.12523459684003	TIF4631;RPL5;PLM2;JJJ1;MRPL19;RLP7;LTO1;RPL7A;LSG1;NOC2;MRPL7;RSA1;YAE1
GO_Biological_Process_2018	negative regulation of transcription from RNA polymerase II promoter (GO:0000122)	16/147	1.123563e-10	2.23869954e-08	0.0085998584693697	0.736560549376767	-1.3362172077900791	30.61186224187562	GIS1;MIG1;HAC1;MET32;SPP41;FHL1;BUR6;RIM101;ACE2;RTT106;CYC8;GAL11;REG2;MKS1;SKO1;MCM1
GO_Biological_Process_2018	ribosome biogenesis (GO:0042254)	17/176	1.944633e-10	3.09974565e-08	0.018967365555195	0.736560549376767	-1.3581343010013391	30.36893885087367	NOP56;TIF4631;JJJ1;RLP7;LTO1;SRD1;ENP2;RPS0B;RRP9;RPL7A;LSG1;NOC2;ESF1;RPS31;GRC3;RPS2;YAE1
GO_Biological_Process_2018	positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	20/270	5.621459e-10	7.46717177e-08	0.1027499978837731	0.736560549376767	-1.3733428635553198	29.251186222538543	GIS1;MIG1;MOT2;HAC1;MET32;FHL1;MSN4;BUR6;RIM101;UPC2;ACE2;CEG1;CYC8;GAL11;RSC3;TEC1;CRZ1;GCR1;MCM1;RGM1
GO_Biological_Process_2018	spliceosomal snRNP assembly (GO:0000387)	5/16	1.4964001147e-06	5.18535170188e-05	0.0034755749086061	0.6925083005397696	-2.073714195879111	27.813584353710382	SMD1;CWC2;MRN1;LSM4;PRP24
GO_Biological_Process_2018	negative regulation of transcription, DNA-templated (GO:0045892)	14/132	2.3640668e-09	2.093512552e-07	0.0164201019005039	0.736560549376767	-1.3777994102401774	27.36706772506448	GIS1;MIG1;MET32;SPP41;BUR6;RIM101;ACE2;RTT106;CYC8;GAL11;REG2;MKS1;SKO1;MCM1
GO_Biological_Process_2018	translation (GO:0006412)	20/297	2.944764e-09	2.346976947e-07	0.1900341997925124	0.736560549376767	-1.3867549610341672	27.240356557434964	RPL5;PLM2;MRPS35;MRPL19;RLP7;RPS4B;RPP1A;RPS4A;RPL31A;RPS0B;SRO9;MRPL11;MRPL22;RPL7A;MRPL7;MRPL6;RSM18;RPS31;RPS20;RPS13
