Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Cellular_Component_2018	nucleus (GO:0005634)	93/1599	0.0	0.0	0.1355967825963272	0.5148749995140596	-1.5655556829259734	129.14239680152187	CCS1;GIS1;TFB1;FHL1;RAS2;SAP1;SMC4;UPC2;PZF1;CAB2;PDS5;SAS10;VPS72;CDC25;CUZ1;CMR1;AIP1;THG1;AEP3;GAT2;USV1;ASC1;ERG8;SKP1;CTI6;HAC1;MCD1;RTS2;BUR6;RIM101;SRD1;MRN1;TDA9;NSE4;ACE2;CEG1;PRE9;RRG9;PRE6;PRE5;HAP2;NEJ1;DNA2;NGR1;SKO1;YAE1;TBF1;MCM1;DCP1;ZDS2;MIG1;POL30;MET32;CTR9;RBS1;TPD3;ASR1;ACB1;RTT106;MMS21;SPP382;CYC8;LSB1;SWI5;TEC1;RPN11;CRZ1;RPS31;PRP24;UMP1;RGM1;APC5;NOP56;SMD1;TFC4;TAH11;SPN1;SPP41;MSN4;LTO1;LSM4;LSM2;SCM3;BCD1;DEF1;NOC2;DIA2;RSC3;TAF8;ESF1;IES2;SKM1;IES6
GO_Cellular_Component_2018	nuclear lumen (GO:0031981)	29/339	1.4e-15	8.91e-14	0.0086089679593321	0.2405374094667779	-1.6656521151342467	56.92529543459397	SKI8;RRP5;RPN5;JJJ1;RLP7;RRN11;FHL1;RRN9;RRP9;RRN7;SAS10;CMR1;AIR1;RPS13;NOP56;UTP7;CTK3;ENP2;LSM4;UTP18;LSM2;NOC2;MOB1;RSA1;RRP46;ESF1;RRP45;RPT1;PIR1
GO_Cellular_Component_2018	mitochondrion (GO:0005739)	51/1063	6e-16	6.28e-14	0.7914013846405122	0.89595985063747	-1.5418027137366643	53.855602062053	CCS1;GIS1;HEM14;RAS2;DML1;GLE1;COR1;MSS116;MRPL7;MRPL6;QCR2;BEM1;SPC105;AEP3;LAM1;MGR2;TDA5;TFA1;SPT7;SDH8;MCD1;CYS4;MSH1;RRG9;PRE6;TIM44;ECM18;MIA40;FLX1;TIF4631;TAM41;MRPS35;JJJ1;MRPL19;MRPL11;TOM70;VPS1;PGS1;SPP382;RPN11;ATP16;RIM2;YKT6;CUE1;TFC3;PDX1;STF1;MRPL22;NOC2;ACK1;RSM18
GO_Cellular_Component_2018	cytosolic part (GO:0044445)	19/204	3.0622e-11	9.492834e-10	0.0149438875032721	0.2405374094667779	-1.7995443866417538	43.565711571623225	RPL5;PLM2;JJJ1;RLP7;RPS4B;RPP1A;RPS4A;RPL31A;RPS0B;RPL7A;LSG1;MRPL7;RSM18;RPS31;RPS20;RPS2;RPT1;ASC1;RPS13
GO_Cellular_Component_2018	nuclear chromosome part (GO:0044454)	23/274	2.0975e-12	7.80277e-11	0.0224431005704883	0.244998632472295	-1.4895461196668134	40.05429095155296	CTI6;PLM2;TFC3;SPT7;MCD1;FHL1;SWI4;SMC4;PRI1;TEL2;SCM3;PDS5;VPS72;CMR1;DIA2;SPC105;IES2;GRC3;DNA2;IES6;TBF1;MCM1;RGM1
GO_Cellular_Component_2018	nucleolus (GO:0005730)	22/231	5.089e-13	2.36643e-11	0.0072123271068894	0.2405374094667779	-1.3968139270670528	39.53891991817396	NOP56;UTP7;RRP5;JJJ1;CTK3;RLP7;RRN11;FHL1;ENP2;LSM4;UTP18;RRN9;LSM2;RRP9;RRN7;NOC2;SAS10;RRP46;ESF1;AIR1;RRP45;RPS13
GO_Cellular_Component_2018	cytosolic ribosome (GO:0022626)	18/185	4.96757e-11	1.3199554e-09	0.0120597431791868	0.2405374094667779	-1.625094542086743	38.556187710046174	RPL5;PLM2;JJJ1;RLP7;RPS4B;RPP1A;RPS4A;RPL31A;RPS0B;RPL7A;LSG1;MRPL7;RSM18;RPS31;RPS20;RPS2;ASC1;RPS13
GO_Cellular_Component_2018	cytosol (GO:0005829)	33/676	9.92951e-11	2.3086129e-09	0.7039798591357407	0.8188962217692424	-1.4684446429413052	33.822573956611826	CCS1;GIS1;JJJ1;TFB1;GCD11;ACB1;VPS1;GGA1;PDS5;HSP150;CDC25;RPN11;PGM2;LAM1;YKT6;ASC1;RGM1;SMD1;SEC14;SPP41;VPS9;MSN4;COG2;FMO1;OSH2;TEL2;ACE2;LSG1;MVD1;SMY2;RTC1;SKO1;MCM1
GO_Cellular_Component_2018	preribosome (GO:0030684)	15/183	2.19841032e-08	4.543381342e-07	0.068753535982753	0.3885510052113322	-1.7334540957898532	30.565902851649845	NOP56;UTP7;RRP5;JJJ1;RLP7;RPS4B;RPS4A;ENP2;UTP18;RRP9;RPL7A;NOC2;SAS10;RPS2;RPS13
GO_Cellular_Component_2018	cytosolic proteasome complex (GO:0031597)	7/32	1.637306749e-07	2.6663940049e-06	0.0027800575471849	0.2405374094667779	-1.7321323351269038	27.06464219250505	RPN5;PRE9;PRE6;PRE5;RPN12;RPN11;RPT1
GO_Cellular_Component_2018	cytosolic small ribosomal subunit (GO:0022627)	9/71	3.871752955e-07	5.1439003556e-06	0.01747163849896	0.2405374094667779	-1.6557866018251657	24.446676308614773	RSM18;RPS31;RPS4B;RPS20;RPS4A;RPS2;RPS0B;ASC1;RPS13
GO_Cellular_Component_2018	90S preribosome (GO:0030686)	10/83	1.413215035e-07	2.6285799663e-06	0.0168884992449975	0.2405374094667779	-1.4867565267292648	23.449463477679917	NOP56;UTP7;RRP5;NOC2;RPS4B;RPS4A;ENP2;UTP18;RPS13;RRP9
GO_Cellular_Component_2018	cytoplasmic ribonucleoprotein granule (GO:0036464)	12/131	1.720254196e-07	2.6663940049e-06	0.0527557569288985	0.3822226118350354	-1.4288057033932746	22.254539808216656	GIS2;TIF4631;NRP1;SMY2;CYS4;NGR1;SUI2;MRN1;LSM4;LSM2;SRO9;DCP1
GO_Cellular_Component_2018	RNA polymerase II transcription factor complex (GO:0090575)	9/76	6.993136457e-07	8.129521132e-06	0.0250267420267398	0.244998632472295	-1.461908010603853	20.71986562583585	GAL11;TFA1;TAF10;TFB1;TAF8;SWI4;HAP2;TOA1;HAP4
GO_Cellular_Component_2018	large ribosomal subunit (GO:0015934)	10/104	1.1896108976e-06	1.10633813483e-05	0.0575388878031236	0.3822226118350354	-1.5182756269725135	20.712140409899504	RPL5;RPL7A;LSG1;PLM2;JJJ1;MRPL7;RLP7;RPP1A;RPL31A;MRPL11
GO_Cellular_Component_2018	nuclear chromatin (GO:0000790)	12/152	8.632236362e-07	9.4446821373e-06	0.1172983028801909	0.4993678269655653	-1.4831431980220706	20.708523412807317	CTI6;PLM2;VPS72;SPT7;CMR1;FHL1;SWI4;IES2;GRC3;IES6;MCM1;RGM1
GO_Cellular_Component_2018	proteasome storage granule (GO:0034515)	6/27	1.1721626608e-06	1.10633813483e-05	0.0051967370908804	0.2405374094667779	-1.4583811988500297	19.91661631044876	RPN5;PRE9;PRE6;PRE5;RPN12;RPN11
GO_Cellular_Component_2018	P-body (GO:0000932)	8/52	3.775377054e-07	5.1439003556e-06	0.0093065600613576	0.2405374094667779	-1.32991033593369	19.668835775220167	GIS2;TIF4631;SMY2;NGR1;MRN1;LSM4;LSM2;DCP1
GO_Cellular_Component_2018	cytosolic large ribosomal subunit (GO:0022625)	9/101	7.6948599733e-06	6.22279980454e-05	0.0975773683371191	0.4612560287564641	-1.5870276661481244	18.687184094581188	RPL5;RPL7A;LSG1;PLM2;JJJ1;MRPL7;RLP7;RPP1A;RPL31A
GO_Cellular_Component_2018	small-subunit processome (GO:0032040)	8/54	5.10226882e-07	6.326813337e-06	0.0112900911871908	0.2405374094667779	-1.2131998062658624	17.57733662176139	NOP56;UTP7;RRP5;SAS10;RPS2;ENP2;UTP18;RRP9
