Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Molecular_Function_2018	DNA binding (GO:0003677)	33/337	0.0	0.0	0.0003042296219208	0.016580514394684	-1.3590692001642422	58.35060059082949	GIS2;GIS1;MIG1;MET32;CTR9;FHL1;SWI4;RTT106;CMR1;SWI5;TEC1;CRZ1;USV1;RGM1;TFC7;TFC4;MOT2;HMRA2;TFC3;TFA1;HAC1;RTS2;MSN4;RIM101;SRD1;MSH1;PRI1;TDA9;ACE2;RSC3;NEJ1;TBF1;MCM1
GO_Molecular_Function_2018	sequence-specific DNA binding (GO:0043565)	22/169	7e-16	7.96e-14	9.99536863485e-05	0.0084152934593114	-1.4137095129187456	49.271415492854175	GIS1;MIG1;MOT2;HMRA2;HAC1;MET32;FHL1;SWI4;MSN4;RIM101;SRD1;TDA9;TEL2;ACE2;RSC3;SWI5;TEC1;CRZ1;USV1;TBF1;MCM1;RGM1
GO_Molecular_Function_2018	RNA binding (GO:0003723)	33/477	7e-15	5.124e-13	0.0458418860098184	0.3356978744334768	-1.388030087740412	45.229718146657	GIS2;TIF4631;RRP5;FIP1;MRPL19;RLP7;SRO9;GCD11;RRP9;PFS2;SPP382;MSS116;CWC22;CWC2;SCP160;PRP24;NOP56;SMD1;PLM2;CYS4;YSH1;SCW4;MRN1;LSM4;LSM2;LSG1;NOC2;ESF1;RPS20;RRP45;DNA2;NGR1;DCP1
GO_Molecular_Function_2018	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0000982)	16/93	8.28e-14	4.5139e-12	5.36512879652e-05	0.0084152934593114	-1.3606451522351235	40.98542516629383	GIS1;MIG1;SWI4;MSN4;RIM101;UPC2;ACE2;RSC3;TEC1;CRZ1;HAP2;GCR1;HAP4;SKO1;TBF1;MCM1
GO_Molecular_Function_2018	core promoter proximal region sequence-specific DNA binding (GO:0000987)	16/100	2.695e-13	1.17545e-11	0.0001158067907244	0.0084152934593114	-1.3964093595262506	40.41465678883088	GIS1;MIG1;MET32;FHL1;SWI4;MSN4;UPC2;ACE2;RSC3;TEC1;CRZ1;HAP2;GCR1;SKO1;TBF1;MCM1
GO_Molecular_Function_2018	RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	14/103	8.34843e-11	3.0332658e-09	0.0013486507351774	0.047205135457497	-1.41057670389281	32.73435299096916	GIS1;MIG1;FHL1;SWI4;UPC2;ACE2;RSC3;SWI5;TEC1;HAP2;GCR1;SKO1;TBF1;MCM1
GO_Molecular_Function_2018	mRNA binding (GO:0003729)	17/197	1.1268813e-09	3.50943034e-08	0.0283414405716254	0.2376320786390137	-1.4120262756749218	29.09312382307734	NOP56;GIS2;TIF4631;SMD1;RRP5;RLP7;CYS4;SCW4;MRN1;SRO9;LSG1;NOC2;MSS116;RPS20;NGR1;SCP160;DCP1
GO_Molecular_Function_2018	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001228)	10/60	5.7170103e-09	1.246308261e-07	0.0017529442574181	0.047205135457497	-1.5067877175204925	28.598559400266108	GIS1;TEC1;SWI4;CRZ1;HAP2;GCR1;HAP4;SKO1;UPC2;MCM1
GO_Molecular_Function_2018	RNA polymerase III type 1 promoter DNA binding (GO:0001030)	4/9	3.5497220284e-06	4.83649626373e-05	0.0027093922026786	0.0492206250153284	-2.162164133223139	27.132222051743103	PZF1;TFC7;TFC4;TFC3
GO_Molecular_Function_2018	polymerase III regulatory region sequence-specific DNA binding (GO:0000992)	4/8	1.9927636794e-06	3.10301772943e-05	0.0019488358675113	0.047205135457497	-1.9745172614706408	25.91749007543703	PZF1;TFC7;TFC4;TFC3
