Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Gene_Interaction_Hubs_BioGRID_2018	UBP6	54/591	0.0	0.0	3.153547073e-07	0.0009501231446306	-1.6305234632652752	109.72388706430056	RRP5;SAC7;RAS2;RPS0B;VPS72;ASC1;MOT2;TFA1;TDA2;HAC1;VPS9;COG2;SRD1;RPP1A;GPI12;UTP18;PRI1;NSE4;CEG1;PRE9;RRG9;HAP2;DNA2;HAP4;SKO1;RPT1;MCM1;DCP1;SKI8;RPN5;TAM41;POL30;CTR9;SWI4;SRO9;VPS1;MMS21;RAM1;YIP1;RPN11;CRZ1;GRC3;RPS2;APC5;RPC25;SPN1;SPP41;VTI1;CDC53;SWD3;DIA2;IES2;RPS20;PKR1
Gene_Interaction_Hubs_BioGRID_2018	BOS1	54/660	0.0	0.0	7.6559175303e-06	0.0045163214332879	-1.671468466793255	103.29380822135488	RRP5;TFB1;SEC27;RPC11;GCD11;VPS72;QCR2;CWC22;KRE9;AEP3;MGR2;ERG8;CTI6;SDH8;COG2;ALG1;CUS1;NSE4;SPC42;CEG1;DNA2;HAP4;TBF1;MCM1;MIA40;TAM41;SWI4;ACB1;VPS1;RAM2;RPN12;RPN11;CRZ1;RPS2;YKT6;PRP24;VPS17;APC5;NOP56;SED4;SED5;TFC3;SPN1;PDX1;MSN4;VTI1;LSM2;CDC53;MVD1;DEF1;SMY2;DIA2;RSC3;BET5
Gene_Interaction_Hubs_BioGRID_2018	BRL1	61/815	0.0	0.0	2.4208067144e-05	0.0087016997715806	-1.5757813756330163	102.89080155684724	RRP5;TFB1;SEC27;RAS2;RPS4A;RPC11;RPS0B;GLE1;PDS5;VPS72;QCR2;SPC105;THG1;ASC1;TDA5;IMP2;MCD1;VPS9;BUR6;PRI1;TEL2;ACE2;CEG1;PRE9;PRE6;NEJ1;RPT1;TBF1;MCM1;MIA40;DCP1;ZDS2;SKI8;RPN5;FIP1;SWI4;DGA1;MMS21;CYC8;YIP1;RPN12;TEC1;RPN11;CRZ1;RPS2;VAM7;PRP24;UMP1;VPS17;APC5;SMD1;SED5;TAH11;SPN1;TAF10;SPP41;VTI1;CDC53;TAF8;BET5;PKR1
Gene_Interaction_Hubs_BioGRID_2018	RPD3	64/977	0.0	0.0	0.0006125611882354	0.0372625682812747	-1.675251096414139	102.40835965008291	NRP1;RRP5;HEM14;SAC7;TFB1;RLP7;RRN11;FHL1;SEC27;SAP1;RPS4B;SMC4;COR1;MSS116;VPS72;STE4;CWC22;USV1;TDA5;SPT7;VPS9;RIM101;ALG1;PRI1;ACE2;CEG1;PRE9;DNA2;SKO1;RPT1;TBF1;TIF4631;MIG1;FIP1;SWI4;CLF1;RRN9;TOM70;VPS1;CYC8;RAM1;SWI5;RPN12;TEC1;RPN11;RIM2;SCP160;UMP1;RGM1;APC5;SED5;CTK3;MSN4;PEX10;PEX13;VTI1;CDC53;BZZ1;SWD3;SMY2;RSC3;TAF8;MKS1;PKR1
Gene_Interaction_Hubs_BioGRID_2018	RPN4	60/770	0.0	0.0	8.9634222058e-06	0.0045163214332879	-1.5426362698066702	102.34595648283806	CCS1;HEM14;TFB1;RLP7;RAS2;RPS4B;RPS4A;SMC4;RPC11;GCD11;PDS5;VPS72;CMR1;CTI6;IMP2;MOT2;SEC14;HAC1;CYS4;RIM101;GPI12;PRI1;ACE2;SPC42;PRE9;PRE6;DNA2;NGR1;RPT1;MIG1;JJJ1;POL30;MRPL19;CTR9;SWI4;SRO9;MRPL11;RTT106;MMS21;SWI5;RPN12;RPN11;SCP160;PRP24;UMP1;APC5;NOP56;RPC25;TAH11;CTK3;LTO1;DEF1;SWD3;SWD2;DIA2;TAF8;MKS1;DGR2;IES6;PKR1
Gene_Interaction_Hubs_BioGRID_2018	YPT6	58/908	0.0	0.0	0.0021018674588915	0.0659046418307777	-1.896962900755419	102.06079302826194	CCS1;SAC7;SEC27;RAS2;RPS4A;UPC2;GCD11;RRP9;VPS72;KRE9;BEM1;MGR2;CTI6;SEC14;HAC1;VPS9;COG2;BUR6;CYS4;RIM101;ALG1;NSE4;ACE2;PRE9;PRE6;PRE5;NGR1;HAP4;TBF1;CTR9;SWI4;CLF1;SUI2;SRO9;ACB1;VPS1;GGA1;RTT106;SWI5;YIP1;RPN12;TEC1;CRZ1;VAM7;YKT6;VPS17;APC5;SED4;SED5;SPP41;MSN4;LSM4;VTI1;CKI1;DIA2;IES2;BET5;PKR1
Gene_Interaction_Hubs_BioGRID_2018	SLT2	63/881	0.0	0.0	6.457116326e-05	0.0121578275966827	-1.5595815227306205	101.36057719551148	SEC8;RRP5;SAC7;TFB1;SEC27;RAS2;ARC40;DDI1;KRE9;BEM1;SPC105;GAT2;SLN1;USV1;CTI6;IMP2;PIG1;HAC1;VPS9;BUR6;RIM101;RPP1A;ALG1;SCW4;UTP18;NSE4;SPC42;CEG1;RRG9;HAP4;SKO1;MCM1;RPN5;MRPL19;SWI4;ACB1;GGA1;RAM2;MMS21;CYC8;RAM1;SWI5;VAM7;YKT6;UMP1;RGM1;RPC25;KEL2;SPN1;TAF10;CTK3;PEX13;PEX14;VTI1;CDC53;MVD1;DEF1;MOB1;ACK1;RSC3;MKS1;SKM1;PIR1
Gene_Interaction_Hubs_BioGRID_2018	SGS1	49/549	0.0	0.0	2.3723949093e-06	0.0031268164905037	-1.6626001893359674	99.40970520648528	CCS1;SEC8;TSC10;TFB1;RLP7;RPS4B;GCD11;PZF1;GLE1;PDS5;ASC1;SEC14;TFA1;MCD1;YSH1;PRI1;NSE4;ACE2;RRP46;NEJ1;DNA2;TBF1;DCP1;FLX1;RPN5;POL30;RRN7;RTT106;RAM2;MMS21;RPN12;TEC1;RPN11;RPS31;GRC3;PRP24;APC5;RPC25;SMD1;SED5;TAH11;SPN1;CTK3;TOA1;VTI1;DIA2;RSC3;RPS20;BET5
Gene_Interaction_Hubs_BioGRID_2018	CDC1	64/967	0.0	0.0	0.0004689213063567	0.0333456431232556	-1.5221485551801663	93.927595980618	NRP1;RRP5;SAC7;FHL1;SEC27;RPS4A;GCD11;GLE1;ARC40;CDC25;KRE9;ERG8;CTI6;TDA5;IMP2;SEC14;MCD1;VPS9;COG2;BUR6;RIM101;MSH1;ALG1;CUS1;NSE4;TEL2;SPC42;HAP4;YAE1;MCM1;MIA40;DCP1;ZDS2;TAM41;TSR4;SUI2;ACB1;RRN7;YIP1;CRZ1;RPS2;VAM7;YKT6;UMP1;VPS17;NOP56;SMD1;TFC4;SED4;TAH11;SPP41;LTO1;TOA1;PEX13;VTI1;LSM2;CKI1;CTS1;BCD1;DEF1;ESF1;RPS20;BET5;PKR1
Gene_Interaction_Hubs_BioGRID_2018	LSM8	42/408	0.0	0.0	4.805883382e-07	0.0009501231446306	-1.6425903922799103	93.09348117420724	SEC8;GIS1;SAC7;TFB1;SEC27;CLF1;RPC11;GLE1;VPS72;CDC25;QCR2;SWI5;CWC22;YIP1;RPN12;KRE9;RPN11;YKT6;PRP24;ASC1;ERG8;NOP56;SMD1;TFC4;SED4;TFC3;RPP1A;ALG1;TOA1;MRN1;LSM4;VTI1;LSM2;CDC53;MOB1;PRE6;ACK1;TAF8;MKS1;DNA2;RPT1;PKR1
