Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pfam_Domains_2019	GATA	2/10	0.0072839898028012	0.0235328901321271	0.1297387521334635	0.4540856324671224	-893.0000000000001	4395.414329736961	GAT2;SRD1
Pfam_Domains_2019	HATPase_c	1/5	0.0642867075660504	0.1341221203921126	0.2792694672726636	0.5705990946204326	-693.0	1901.870859294945	SLN1
Pfam_Domains_2019	His_Phos_1	1/9	0.1127381517496693	0.1457901711077602	0.4211564746007955	0.5705990946204326	-643.0	1403.4679920151284	TFC7
Pfam_Domains_2019	adh_short	2/10	0.0072839898028012	0.0235328901321271	0.1297387521334635	0.4540856324671224	-235.57142857142853	1159.5005966623337	TDA5;TSC10
Pfam_Domains_2019	zf-C2H2	10/19	1.12e-14	4.733e-13	7.965353726e-07	3.34544856512e-05	-24.818181818181817	797.0748968665384	PZF1;ACE2;MIG1;MET32;SWI5;MSN4;RIM101;CRZ1;TDA9;RGM1
Pfam_Domains_2019	LSM	3/16	0.0011212289669752	0.0078486027688267	0.0750593620968457	0.3940616510084401	-114.14285714285715	775.4100846786932	SMD1;LSM4;LSM2
Pfam_Domains_2019	S4	2/6	0.0025141871356923	0.0117328732998976	0.0630252162082817	0.3781512972496902	-128.42857142857142	768.7484792867422	RPS4B;RPS4A
Pfam_Domains_2019	DnaJ	1/19	0.2232093766416698	0.240379328691029	0.6664672002564921	0.7366216423887544	-471.5714285714286	707.189753539385	JJJ1
Pfam_Domains_2019	SH3_1	5/21	6.6042780503e-06	0.0001386898390565	0.0099265518889752	0.182942055174224	-48.0	572.534060614776	BZZ1;LSB1;CDC25;BEM1;PEX13
Pfam_Domains_2019	Proteasome_A_N	3/7	7.65299076248e-05	0.0010714187067476	0.0130672896553017	0.182942055174224	-24.428571428571427	231.5298213508874	PRE9;PRE6;PRE5
Pfam_Domains_2019	GTP_EFTU_D2	1/13	0.1586897801127369	0.1801343449928365	0.5354504554936097	0.6425405465923316	-91.5238095238095	168.47739933883545	GCD11
Pfam_Domains_2019	MutS_III	1/6	0.0766412116526358	0.1341221203921126	0.3176618927441317	0.5705990946204326	-64.14285714285715	164.7586472522176	MSH1
Pfam_Domains_2019	MutS_V	1/6	0.0766412116526358	0.1341221203921126	0.3176618927441317	0.5705990946204326	-64.14285714285715	164.7586472522176	MSH1
