Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Biological_Process_2018	regulation of transcription from RNA polymerase II promoter (GO:0006357)	42/337	0.0	0.0	0.0038773219346299	0.322787051057947	-1.5444194768597763	75.37814592699685	MIG1;YAP3;HOT1;MET32;TFB1;CTR9;MET31;HMLALPHA1;RTT106;CYC8;GAL11;RLM1;GLC7;SDH5;REG2;GAT2;CRZ1;CCL1;GCR1;RGM1;SGF11;TOG1;MED2;GCN4;TFA1;HMO1;SPN1;HAC1;SPP41;MSN4;RIM101;RFX1;TOA2;CEG1;RSC3;MKS1;DAL80;TAF4;SKO1;HTA1;MCM1;MATALPHA1
GO_Biological_Process_2018	ribonucleoprotein complex assembly (GO:0022618)	30/156	0.0	0.0	2.72344289452e-05	0.0272071945163298	-1.4389379972021634	68.61443049103774	TIF4631;RRP5;NOP2;CLF1;SUI2;MAK11;IPI1;RPS0B;CDC73;GCD11;RPF1;THO1;SPP382;MRPL7;RPS31;CWC2;RPS19B;SCD6;RPL11A;MRN1;MAK21;SMD2;CUS1;LSG1;RSA1;STE20;PRP19;SLU7;PRP38;DCP2
GO_Biological_Process_2018	ribosome biogenesis (GO:0042254)	29/176	0.0	2e-16	0.0004010923940063	0.168500209233201	-1.363570643645195	56.79551033508295	TIF4631;POP1;JJJ1;MAK16;NOP2;RPL26B;MAK11;IPI1;YAR1;RPS0B;RRP9;RPF1;RPL7A;GLC7;RRP36;RPS31;GRC3;RRP17;RPS19B;NOP56;LTO1;SRD1;ENP2;MAK21;LSG1;NOC2;ESF1;BFR2;YAE1
GO_Biological_Process_2018	positive regulation of transcription, DNA-templated (GO:0045893)	30/241	6e-16	1.52e-13	0.0141175494281127	0.5424396876417183	-1.5305566700886868	53.62339125405899	MIG1;NUP100;HOT1;MET32;MET31;SWI4;CYC8;GAL11;RLM1;SDH5;CRZ1;CCL1;GCR1;RGM1;CTI6;TOG1;MED2;GCN4;HAC1;CTK3;MSN4;RIM101;RFX1;TOA2;NAN1;CEG1;RSC3;TAF4;TBF1;MCM1
GO_Biological_Process_2018	DNA metabolic process (GO:0006259)	25/207	3.47e-13	3.46697e-11	0.0320413175955985	0.7372314680130659	-1.8590402000112616	53.334605914953855	ECO1;TFB1;POL31;CLF1;ORC5;DDC1;YAF9;MMS21;PDS5;MHR1;RFA2;RFC2;RTS2;MSH1;UPF3;MSH6;TEL2;DEF1;SWD3;SWD2;NSE3;TOP2;DNA2;HTA1;MCM1
GO_Biological_Process_2018	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	20/105	1.28e-14	1.9763e-12	0.0006746755124452	0.168500209233201	-1.5304702758904454	48.95030292392459	FAL1;UTP7;RRP5;FCF1;RPS6B;RPS6A;ENP2;EFG1;KRI1;UTP18;RPS0B;RCL1;NAN1;SAS10;RPS9B;RRP36;BFR2;BUD23;RIO2;RPS13
GO_Biological_Process_2018	rRNA processing (GO:0006364)	21/119	1.38e-14	1.9763e-12	0.0011856400835236	0.1974090739066921	-1.454278238936065	46.40690041071753	NOP56;RRP5;POP1;JJJ1;TSR4;MAK16;NOP2;SRD1;ENP2;IPI1;RRP9;RPF1;LAS1;RPL7A;GLC7;ESF1;RRP36;GRC3;BFR2;RIO2;RRP17
GO_Biological_Process_2018	positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	30/270	1.36e-14	1.9763e-12	0.048360446484958	0.741224992483878	-1.3733428635553198	43.84853568277042	MIG1;HOT1;MET32;RPT6;MET31;FHL1;CDC73;CYC8;GAL11;RLM1;SDH5;CRZ1;CCL1;GCR1;RGM1;TOG1;MED2;GCN4;MOT2;HAC1;MSN4;MSS11;RIM101;RFX1;TOA2;CEG1;RSC3;TAF4;DCP2;MCM1
GO_Biological_Process_2018	translation (GO:0006412)	31/297	2.73e-14	3.4181e-12	0.083177758322954	0.8477653103343599	-1.3915689959257165	43.45762119642104	RSM23;RPL26B;RPP2A;RPS6B;RPS6A;RPL36B;MRPL17;RRF1;RPS0B;MRPL32;MRPL11;MRPL3;RPL7A;TIF35;MRPL7;SUP45;MRPL6;RSM26;RPS31;RPS19B;MHR1;RPS13;MNP1;RPL11A;RPL43A;RPL31A;MRPL24;EFB1;RPL4A;RPL4B;RSM18
GO_Biological_Process_2018	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	18/87	6.06e-14	6.7333e-12	0.0005354284064716	0.168500209233201	-1.409991104426852	42.91093477648717	UTP7;RRP5;LRP1;MAK16;FCF1;KRI1;MAK11;UTP18;RPS0B;RPF1;RCL1;LAS1;SAS10;RRP46;GRC3;RRP45;BUD23;DBP6
GO_Biological_Process_2018	ribosomal large subunit biogenesis (GO:0042273)	18/104	1.5485e-12	1.406377e-10	0.0031481921166585	0.2871976275563086	-1.55213418299022	42.20826034154344	TIF4631;JJJ1;MAK16;NOP2;RPL26B;LTO1;RPL11A;MAK11;MAK21;IPI1;RPF1;LAS1;RPL7A;LSG1;NOC2;MRPL7;RSA1;YAE1
GO_Biological_Process_2018	ncRNA processing (GO:0034470)	17/93	2.5827e-12	2.150141e-10	0.0024704020369446	0.2871976275563086	-1.4290031441589146	38.12889842192679	NOP56;POP1;JJJ1;SRD1;ENP2;IPI1;RRP9;RPF1;MRPL3;CEG1;RRP46;GLC7;THG1;ESF1;GRC3;BFR2;RRP17
GO_Biological_Process_2018	maturation of SSU-rRNA (GO:0030490)	16/87	1.03973e-11	7.419243e-10	0.0031109413186129	0.2871976275563086	-1.4723076500636114	37.23388210493293	FAL1;UTP7;RRP5;TSR4;RPS6B;RPS6A;ENP2;EFG1;NAN1;SAS10;RPS9B;RRP36;RPS31;BFR2;RIO2;RPS13
GO_Biological_Process_2018	cellular response to DNA damage stimulus (GO:0006974)	19/149	9.59853e-11	6.3926213e-09	0.0376744183720668	0.741224992483878	-1.518977629334776	35.03799267777943	ECO1;RFA2;HNT3;RFC2;TFB1;MCD1;RTS2;MSH1;DDC1;YAF9;MMS21;DEF1;HOF1;PDS5;NSE3;GLC7;DNA2;HTA1;UMP1
GO_Biological_Process_2018	negative regulation of transcription from RNA polymerase II promoter (GO:0000122)	20/147	9.1206e-12	7.008859e-10	0.0193667959045345	0.6738445986500252	-1.3145441345668405	33.4163446313031	MIG1;MED2;GCN4;HAC1;MET32;SPP41;MET31;FHL1;RIM101;RFX1;RTT106;CYC8;GAL11;GLC7;REG2;MKS1;DAL80;SKO1;HTA1;MCM1
GO_Biological_Process_2018	rRNA metabolic process (GO:0016072)	15/90	2.005545e-10	1.1785527e-08	0.0091049356715214	0.454791536792498	-1.462247919732539	32.65190102191172	NOP56;POP1;JJJ1;SRD1;ENP2;IPI1;RRP9;RPF1;RRP46;GLC7;ESF1;GRC3;RRP45;BFR2;RRP17
GO_Biological_Process_2018	mRNA 3'-end processing (GO:0031124)	11/40	1.825201e-10	1.13961018e-08	0.0009414358921235	0.1880988912462842	-1.4121354057461717	31.665951046397456	PFS2;FIP1;SWD2;NRD1;CTR9;PTI1;TRF5;YSH1;CDC73;RNA15;RNA14
GO_Biological_Process_2018	regulation of transcription, DNA-templated (GO:0006355)	19/177	1.8744185e-09	9.36272085e-08	0.1269986875509462	0.8477653103343599	-1.5512749159274244	31.17281872652748	SGF11;CTI6;YAP3;NUP100;TFA1;HMO1;SPN1;MET32;CTR9;MET31;HMLALPHA1;RFX1;HPC2;RSC3;SWI5;GAT2;CRZ1;MHR1;MATALPHA1
GO_Biological_Process_2018	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	10/46	1.50823406e-08	5.795099332e-07	0.0067786290978819	0.3983441452225918	-1.711833914253679	30.829685899576084	LAS1;RPL7A;RRP5;MAK16;NOP2;GRC3;DBP6;MAK11;IPI1;RPF1
GO_Biological_Process_2018	ubiquitin-dependent protein catabolic process (GO:0006511)	16/124	2.4789752e-09	1.125680138e-07	0.0495174890726398	0.741224992483878	-1.545444818998405	30.623639034358003	RPN7;YRB1;RPN5;RPT6;PSH1;PUP3;CDC53;PRE8;DEF1;CUZ1;PRE6;DIA2;PRE5;SAN1;UFD1;UMP1
GO_Biological_Process_2018	cytoplasmic translation (GO:0002181)	17/162	1.89533573e-08	6.762287153e-07	0.1625019674159545	0.8477653103343599	-1.7078062103993878	30.36698852530116	RPL26B;RPP2A;RPS6B;RPS6A;RPL36B;RPL11A;RPL43A;RPL31A;RPS0B;RPL7A;RPL4A;RPL4B;SUP45;MRPL6;RPS31;RPS19B;RPS13
GO_Biological_Process_2018	transcription initiation from RNA polymerase II promoter (GO:0006367)	10/46	1.50823406e-08	5.795099332e-07	0.0067786290978819	0.3983441452225918	-1.668084093663334	30.041762949964948	MED2;HOT1;GAL11;TFA1;HMO1;TAF11;TAF8;TOA2;TOA1;TAF4
GO_Biological_Process_2018	RNA polyadenylation (GO:0043631)	8/27	3.06275226e-08	9.869966154e-07	0.0031623362393587	0.2871976275563086	-1.665940288859011	28.82304400572972	PFS2;FIP1;AIR1;PTI1;TRF5;YSH1;RNA15;RNA14
GO_Biological_Process_2018	negative regulation of transcription, DNA-templated (GO:0045892)	17/132	8.065066e-10	4.47611199e-08	0.044394320139906	0.741224992483878	-1.3546808929860892	28.36472707047864	MIG1;MED2;GCN4;MET32;SPP41;MET31;RIM101;RFX1;RTT106;CYC8;GAL11;REG2;MKS1;DAL80;SKO1;HTA1;MCM1
GO_Biological_Process_2018	snoRNA 3'-end processing (GO:0031126)	9/30	3.6220991e-09	1.573250886e-07	0.001645393191985	0.234821114113288	-1.4440510993820668	28.0668834607135	LRP1;SWD2;NRD1;CTR9;RRP46;PTI1;TRF5;YSH1;RRP45
GO_Biological_Process_2018	proteasomal protein catabolic process (GO:0010498)	10/58	1.568557425e-07	4.4771110529e-06	0.0253235392616972	0.7111796527098913	-1.7846670580029154	27.962055119366507	PRE8;RPN7;RPN5;MOT2;CUZ1;PRE6;RPT6;PRE5;UFD1;PUP3
