Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Cellular_Component_2018	nucleus (GO:0005634)	137/1599	0.0	0.0	0.0277357581294975	0.3568667545995353	-1.5655556829259734	190.46852867823048	TFB1;RPT6;PSH1;SMC4;YAR1;PZF1;THO1;CAB2;PDS5;SAS10;NRD1;CUZ1;CMR1;AIP1;RLM1;THG1;AEP3;RIO2;ASC1;ERG8;CTI6;YRB1;MED2;CHZ1;GRX2;HAC1;RTS2;MSS11;RIM101;PTI1;SRD1;RFX1;MRN1;MSH6;PRE8;PPZ1;PRE6;PRE5;NSE3;DNA2;SKO1;RPN7;MIG1;MET32;CTR9;NOP2;MET31;IPI1;LAS1;MMS21;CYC8;SAN1;SWI5;RPS31;UMP1;RGM1;TFC4;LGE1;TAH11;KTI11;LTO1;USB1;BCD1;YPI1;HPC2;DIA2;RSC3;IES2;DAL80;TDH3;RAD18;MATALPHA1;HOT1;FHL1;SAP1;SPE3;PUP3;CDC73;MRPL3;YAF9;VPS72;GAT2;UFD1;BUD23;SGF11;TOG1;GCN4;RFC2;HMO1;MCD1;UPF3;TDA9;CEG1;TOP2;PRP19;TAD2;RMR1;YAE1;PCL1;TBF1;DCP2;MCM1;DCP1;ECO1;ZDS2;YAP3;LRP1;HNT3;POL30;POL31;HMLALPHA1;TPD3;NUP2;RNA14;RTT106;DDC1;SPP382;GLC7;CRZ1;CCL1;GLC8;MIT1;MHR1;APC5;NOP56;NFI1;SPN1;SPP41;MSN4;HOM2;MAK21;DEF1;NOC2;TAF8;ESF1;STE20;IZH4
GO_Cellular_Component_2018	nuclear lumen (GO:0031981)	49/339	0.0	0.0	1.67297484884e-05	0.0016144207291313	-1.6812087800743256	107.2732524616434	RRP5;RPT6;FHL1;FCF1;LST8;TRF5;EFG1;KRI1;RRP9;SAS10;CMR1;BUD23;RPS13;GCN4;HMO1;UTP18;UPF3;NAN1;RSA1;RRP46;RRP45;FAL1;SKI8;RPN5;LRP1;JJJ1;MAK16;NOP2;CST9;FPR3;RRN9;IPI1;RPF1;RRN7;LAS1;GAR1;GLC7;RRP36;AIR1;NOP56;UTP7;CTK3;ENP2;RCL1;NOC2;ESF1;BFR2;DBP6;PIR1
GO_Cellular_Component_2018	mitochondrion (GO:0005739)	79/1063	0.0	0.0	0.5257332705081578	0.8249310667323126	-1.5259576624675963	86.88682613287905	TSC13;LIP5;HEM14;MRPL32;DML1;COQ11;GLE1;FYV4;MRPL3;COR1;SAL1;MRPL7;MPC2;MRPL6;MPC3;AEP3;CBP3;MGR2;TDA5;POS5;GRX2;TFA1;MCD1;PAM16;CYS4;GRX5;MSH1;LYS4;NUM1;MDS3;ADK2;PRE6;RCF1;TOP2;PRP19;MIA40;TIF4631;TAM41;JJJ1;RSM23;MRPL17;QRI5;NUP2;RRF1;PET117;RNA14;MRPL11;TOM70;AIM45;LAS1;ISD11;SCEI;COX8;SPP382;OAR1;MYO4;ALT1;IRA2;SDH5;COX11;ATP16;CCL1;RSM26;SDH3;TIM12;GCN1;MHR1;GEP5;TFC3;MNP1;SEN54;USB1;MRPL24;NOC2;ACK1;RSM18;TDH3;YHM2;RIP1
GO_Cellular_Component_2018	preribosome (GO:0030684)	30/183	0.0	0.0	0.0001195150844756	0.0076888037679335	-1.8069600470583724	77.5260062382727	RRP5;JJJ1;MAK16;NOP2;FCF1;RPS6B;RPS6A;EFG1;KRI1;IPI1;RRP9;RPF1;LAS1;RPL7A;SAS10;RPS9B;RRP36;RIO2;RPS13;NOP56;UTP7;HMO1;ENP2;UTP18;MAK21;RCL1;NAN1;NOC2;BFR2;DBP6
GO_Cellular_Component_2018	nucleolus (GO:0005730)	38/231	0.0	0.0	1.32105900794e-05	0.0016144207291313	-1.3968139270670528	75.81322121264199	FAL1;RRP5;JJJ1;MAK16;NOP2;FHL1;FCF1;TRF5;FPR3;EFG1;KRI1;RRN9;RRP9;RPF1;RRN7;LAS1;SAS10;GAR1;GLC7;RRP36;AIR1;BUD23;RPS13;NOP56;UTP7;HMO1;CTK3;ENP2;UTP18;UPF3;RCL1;NAN1;NOC2;RRP46;ESF1;RRP45;BFR2;DBP6
GO_Cellular_Component_2018	nuclear chromosome part (GO:0044454)	29/274	1.34e-13	4.3123e-12	0.0438985823090697	0.4747079965459418	-1.477223600476982	43.785591073344726	ECO1;MCM16;POL31;FHL1;SWI4;SMC4;NNF1;ORC5;YAF9;PDS5;VPS72;CMR1;GLC7;GRC3;RGM1;CTI6;GCN4;NFI1;TFC3;HMO1;MCD1;TEL2;DIA2;IES2;DNA2;HTA1;TBF1;RAD18;MCM1
GO_Cellular_Component_2018	cytosolic part (GO:0044445)	23/204	1.31161e-11	2.531421e-10	0.039903360956244	0.4747079965459418	-1.72987898575555	43.34588079088447	JJJ1;RPT6;RPL26B;RPP2A;RPS6B;RPS6A;RPL36B;RPL11A;RPL43A;RPL31A;RPS0B;RPL7A;LSG1;RPL4A;RPL4B;MRPL7;RPS9B;RSM18;RPS31;RPS19B;GCN1;ASC1;RPS13
GO_Cellular_Component_2018	cytosolic ribosome (GO:0022626)	22/185	1.2729e-11	2.531421e-10	0.0275950838144051	0.3568667545995353	-1.5956036693512972	40.02911938510913	JJJ1;RPL26B;RPP2A;RPS6B;RPS6A;RPL36B;RPL11A;RPL43A;RPL31A;RPS0B;RPL7A;LSG1;RPL4A;RPL4B;MRPL7;RPS9B;RSM18;RPS31;RPS19B;GCN1;ASC1;RPS13
GO_Cellular_Component_2018	90S preribosome (GO:0030686)	16/83	4.8715e-12	1.175263e-10	0.0011037283998862	0.0355032635296746	-1.5158273880819415	39.48367641373863	NOP56;UTP7;RRP5;RPS6A;ENP2;KRI1;UTP18;MAK21;RRP9;RCL1;NAN1;NOC2;RPS9B;RRP36;BFR2;RPS13
GO_Cellular_Component_2018	mRNA cleavage and polyadenylation specificity factor complex (GO:0005847)	7/17	1.64076502e-08	2.435904999e-07	0.0008849467704614	0.0341589453398136	-2.033278267832836	36.447566457527216	PFS2;FIP1;SWD2;GLC7;PTI1;YSH1;RNA15
