Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Molecular_Function_2018	DNA binding (GO:0003677)	52/337	0.0	0.0	1.3604378226e-06	0.0003904456550911	-1.3590692001642422	96.54872359409131	GIS2;FHL1;THO1;CMR1;RLM1;TOG1;GCN4;MOT2;HMRA2;RFC2;TFA1;HMO1;HAC1;RTS2;RIM101;SRD1;MSH1;RFX1;TDA9;MSH6;NSE3;HTA1;TBF1;MCM1;MIG1;YAP3;LRP1;HNT3;MET32;CTR9;MET31;HMLALPHA1;SWI4;RTT106;SWI5;CRZ1;MIT1;MHR1;RGM1;TFC7;RFA2;TFC4;NFI1;TFC3;MSN4;HPC2;RSC3;DAL80;TAF4;YHM2;RAD18;MATALPHA1
GO_Molecular_Function_2018	RNA binding (GO:0003723)	45/477	0.0	2e-16	0.0697457239761472	0.6865478009641385	-1.3964751478994557	57.304322185855	YRA1;GIS2;TIF4631;RRP5;NUP100;FIP1;LRP1;HNT3;POP1;SHE3;RPL26B;RPL36B;RNA15;GCD11;RRP9;RNA14;PFS2;THO1;MRPL3;SPP382;NRD1;CWC22;RPS9B;CWC2;SCP160;NOP56;SCD6;CYS4;PTI1;YSH1;MRN1;MAK21;UPF3;IMD3;LSG1;NAN1;WHI3;NOC2;ESF1;STE20;RRP45;DNA2;TDH3;DCP2;DCP1
GO_Molecular_Function_2018	sequence-specific DNA binding (GO:0043565)	26/169	3e-16	2.94e-14	0.0008338610496104	0.1196590606191013	-1.4054667893870638	50.198526597390526	MIG1;YAP3;MET32;MET31;FHL1;SWI4;SWI5;RLM1;CRZ1;RGM1;TOG1;RFA2;GCN4;MOT2;HMRA2;HAC1;MSN4;RIM101;SRD1;RFX1;TDA9;TEL2;RSC3;DAL80;TBF1;MCM1
GO_Molecular_Function_2018	mRNA binding (GO:0003729)	23/197	6.3431e-12	4.551193e-10	0.0305235624396844	0.5187413984327373	-1.438722849344528	37.09552536209957	NOP56;GIS2;TIF4631;RRP5;SCD6;SHE3;CYS4;MRN1;MAK21;RNA15;UPF3;RNA14;IMD3;LSG1;NAN1;WHI3;NOC2;NRD1;SUP45;STE20;SCP160;DCP2;DCP1
GO_Molecular_Function_2018	core promoter proximal region sequence-specific DNA binding (GO:0000987)	16/100	9.38592e-11	5.3875209e-09	0.0060203376599637	0.3003836466401869	-1.3964093595262506	32.2420096137404	MIG1;GCN4;HOT1;MET32;MET31;FHL1;SWI4;MSN4;RFX1;RSC3;CRZ1;GCR1;DAL80;SKO1;TBF1;MCM1
GO_Molecular_Function_2018	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0000982)	15/93	3.244407e-10	1.55190804e-08	0.0072535392801439	0.3003836466401869	-1.3463199328290736	29.41563424832223	MIG1;HOT1;SWI4;MSN4;MSS11;RIM101;RSC3;RLM1;CRZ1;GCR1;DAL80;HAP4;SKO1;TBF1;MCM1
GO_Molecular_Function_2018	DNA binding, bending (GO:0008301)	7/23	1.869868315e-07	5.3665220655e-06	0.0037528039715915	0.3003836466401869	-1.7870338726156585	27.68513555865604	TFC7;TFC4;TFC3;HMO1;HMLALPHA1;RLM1;MATALPHA1
GO_Molecular_Function_2018	RNA polymerase III type 1 promoter DNA binding (GO:0001030)	4/9	1.64359359642e-05	0.0003144742414492	0.0100112923374778	0.359155112607018	-2.162164133223139	23.81848744954168	PZF1;TFC7;TFC4;TFC3
GO_Molecular_Function_2018	polymerase III regulatory region sequence-specific DNA binding (GO:0000992)	4/8	9.2735663265e-06	0.0001901081096934	0.0073264304058582	0.3003836466401869	-1.9745172614706408	22.88138236794202	PZF1;TFC7;TFC4;TFC3
GO_Molecular_Function_2018	RNA polymerase III type 1 promoter sequence-specific DNA binding (GO:0001002)	4/8	9.2735663265e-06	0.0001901081096934	0.0073264304058582	0.3003836466401869	-1.9574035769844085	22.683063130073148	PZF1;TFC7;TFC4;TFC3
GO_Molecular_Function_2018	RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	13/103	1.027840018e-07	3.7658948036e-06	0.0583338504746714	0.6439159648550272	-1.403137738045891	22.57737876879972	MIG1;GCN4;HOT1;FHL1;SWI4;RFX1;RSC3;SWI5;GCR1;DAL80;SKO1;TBF1;MCM1
GO_Molecular_Function_2018	double-stranded DNA binding (GO:0003690)	10/56	1.108052796e-07	3.7658948036e-06	0.014901208220422	0.4751829732512352	-1.2794307208459257	20.49071172415219	MSH6;THO1;RTT106;RFA2;NFI1;LRP1;HNT3;HMO1;RTS2;MSH1
GO_Molecular_Function_2018	RNA polymerase II core promoter proximal region sequence-specific DNA binding (GO:0000978)	12/87	1.180942621e-07	3.7658948036e-06	0.0408376720426217	0.5581148512491642	-1.2689550803762282	20.242095697878288	MIG1;GCN4;HOT1;RSC3;FHL1;SWI4;GCR1;RFX1;DAL80;SKO1;TBF1;MCM1
GO_Molecular_Function_2018	RNA polymerase II transcription factor binding (GO:0001085)	7/39	8.9712048637e-06	0.0001901081096934	0.0380987444166345	0.5467169823787061	-1.635357412315884	19.00529074487733	MED2;GAL11;MET32;TAF4;HAP4;SKO1;MCM1
GO_Molecular_Function_2018	RNA polymerase III type 2 promoter sequence-specific DNA binding (GO:0001003)	3/7	0.0002411228114684	0.0021625702153579	0.0279048604874191	0.5187413984327373	-2.1344441430440573	17.780355486323202	TFC7;TFC4;TFC3
GO_Molecular_Function_2018	transcription regulatory region sequence-specific DNA binding (GO:0000976)	6/25	6.7454636082e-06	0.0001759952777792	0.0182173947387982	0.5187413984327373	-1.4900794069565335	17.741839572271765	MET32;MET31;SWI5;MSN4;CRZ1;MCM1
GO_Molecular_Function_2018	transcription factor activity, RNA polymerase III transcription factor recruiting (GO:0001153)	3/7	0.0002411228114684	0.0021625702153579	0.0279048604874191	0.5187413984327373	-2.1155447339058	17.622919549639267	TFC7;TFC4;TFC3
GO_Molecular_Function_2018	ubiquitin-like protein ligase activity (GO:0061659)	5/26	0.0001274097125202	0.0013543180553081	0.0607436082460995	0.6456820580233539	-1.8181481964282784	16.305339533591013	CDC53;DIA2;SAN1;RAD18;APC5
