Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Gene_Interaction_Hubs_BioGRID_2018	DBF4	89/800	0.0	0.0	4.865911558e-07	0.000302146938617	-1.626786477943812	156.26044192357446	POP1;PMP3;RPT6;FHL1;SEC27;SEC2;LST8;TRF5;RIB7;SMC4;SPE3;PUP3;YPT6;KEX2;GAT2;RRP17;SEC20;ASC1;TDA5;RFC2;PAC2;PTI1;MSH1;GPI12;MRN1;UPF3;TEL2;PPZ1;CEG1;VRP1;RTC1;PRE6;TOP2;DNA2;DCP1;ECO1;RPN7;FIP1;LRP1;CSH1;MAK16;RSM23;NOP2;SWI4;RPS6B;RPS6A;MAK11;RRN9;NUP2;RNA15;RNA14;RPF1;RRN7;DDC1;RAM2;MMS21;ALT1;IRA2;GLC7;AIR1;CCL1;VPS17;APC5;NOP56;UTP7;SCD6;TAH11;SPN1;TAF11;ENT2;LAS17;LTO1;TOA1;RPL43A;GWT1;PGA2;CTS1;BCD1;SWD3;YPI1;HPC2;DIA2;TAF8;MKS1;IES2;DBP6;TAF4;CTF8;PKR1
Gene_Interaction_Hubs_BioGRID_2018	STU1	87/782	0.0	0.0	6.830752191e-07	0.000302146938617	-1.6153826255859645	151.45835110060918	MCM16;TSC13;POP1;PMP3;RPT6;LST8;PSH1;SMC4;SPE3;PUP3;CDC73;GCD11;FYV4;CAB2;PDS5;CWC22;GAT2;RRP17;ASC1;SGF11;YRB1;GRX2;RFC2;PAC2;MCD1;PAM16;VPS9;PTI1;MRN1;UTP18;UPF3;NUM1;TDA9;PPZ1;SPC42;CEG1;MDS3;TOP2;RRP45;PRP19;DNA2;TAD2;SLU7;TBF1;DCP2;MIA40;DCP1;ECO1;RPN7;RPN5;LRP1;POL31;NOP2;FAD1;MRPL17;CLF1;SUI2;NUP2;ORC5;RAM2;SPP382;RAM1;IRA2;GLC7;MIT1;VPS17;NOP56;UTP7;TFC3;SPN1;TAF11;LAS17;RPL11A;ENP2;TOA1;SMD2;CTS1;BCD1;DEF1;YPI1;RSC3;MKS1;ESF1;TAF4;CTF8;RIP1;PKR1
Gene_Interaction_Hubs_BioGRID_2018	SGS1	73/549	0.0	0.0	1.17356899e-08	4.07812091595e-05	-1.6643563164659272	149.92760927686103	SEC8;TFB1;FCF1;LST8;RIB7;CDC73;GCD11;PZF1;KRE1;GLE1;PDS5;KEX2;UFD1;RRP17;ASC1;YRB1;CHZ1;SEC14;RFC2;TFA1;HMO1;MCD1;YSH1;UPF3;EFB1;NSE3;RRP46;TOP2;DNA2;HTA1;TBF1;DCP2;DCP1;FAL1;RPN7;RPN5;POL30;POL31;NOP2;CST9;RRN7;NNF1;LAS1;RTT106;DDC1;RAM2;MMS21;HOF1;VPS53;IRA2;RPS31;GRC3;TIM12;APC5;RPC25;PGA1;RFA2;NFI1;SED5;TAH11;SPN1;CTK3;USB1;TOA1;MAK21;RSC58;DIA2;RSC3;CDC19;TAF4;CTF8;RAD18;PRP38
Gene_Interaction_Hubs_BioGRID_2018	UBP6	76/591	0.0	0.0	2.04879222e-08	4.07812091595e-05	-1.6269714921440617	148.92446328563025	RRP5;POP1;PMP3;RPP2A;YAR1;RPS0B;CDC73;YPT6;KRE1;VPS72;NRD1;ASC1;MED2;MOT2;TFA1;HMO1;TDA2;HAC1;VPS9;COG2;PTI1;SRD1;GPI12;UTP18;UPF3;EGD1;CEG1;RCF1;PRP19;DNA2;HAP4;SKO1;MCM1;DCP1;RPN7;SKI8;RPN5;TAM41;POL30;CTR9;SWI4;RPS6B;RPS6A;MRPL17;CST9;IPI1;AIM45;COX8;MMS21;RAM1;IRA2;GLC7;CRZ1;GRC3;RPS19B;GCN1;APC5;RPC25;RFA2;LGE1;SPN1;SPP41;LAS17;SEN54;RPL43A;SMD2;CDC53;RPL4A;SWD3;RPL4B;DIA2;IES2;DAL80;CTF8;RAD18;PKR1
Gene_Interaction_Hubs_BioGRID_2018	RPT4	83/759	0.0	0.0	2.5475283211e-06	0.0006338568904078	-1.6762444720811147	147.31961548318333	MCM16;SEC8;PMP3;TFB1;RPT6;SEC27;SEC2;RPL26B;LST8;USE1;PUP3;YAR1;CDC73;YPT6;GLE1;YAF9;PDS5;ARC40;VPS72;SUP45;AEP3;UFD1;SEC20;ASC1;YRB1;RFC2;TFA1;MCD1;PAM16;VPS9;RFX1;GPI12;UPF3;NUM1;PPZ1;CEG1;PRE6;NSE3;DNA2;HAP4;RMR1;HTA1;SLU7;DCP2;MCM1;MIA40;ECO1;ZDS2;RPN7;RPN5;FIP1;LRP1;MAK16;POL31;NOP2;MRPL17;CST9;RPF1;OAR1;VPS53;SWI5;IRA2;GLC7;SDH5;COX11;MIT1;GCN1;RPC25;LGE1;SED5;SPN1;KTI11;GWT1;PGA2;MAK21;SMD2;CDC53;MVD1;HPC2;IES2;CTF8;RIP1;IZH4
Gene_Interaction_Hubs_BioGRID_2018	SDS3	87/779	0.0	0.0	5.860060041e-07	0.000302146938617	-1.562388426326224	146.96995231964388	MCM16;SEC8;PMP3;TFB1;RPT6;SEC2;FCF1;LST8;KRI1;SMC4;PUP3;CDC73;YPT6;YAF9;PDS5;VPS72;NRD1;SUP45;KEX2;SEC20;ERG8;SGF11;CTI6;GCN4;RFC2;TFA1;HMO1;HAC1;PAM16;VPS9;PTI1;MID2;UPF3;PPZ1;CEG1;WHI3;VRP1;NSE3;RCF1;TOP2;PRP19;DNA2;HAP4;SLU7;YRA1;FAL1;RPN7;SKI8;RPN5;MAK16;NOP2;SWI4;MRPL17;CST9;CLF1;RRN9;RRF1;IPI1;RNA15;TOM70;RPF1;RTT106;RAM2;MMS21;RAM1;VPS53;SWI5;IRA2;GRC3;GCN1;UMP1;APC5;RPC25;PGA1;LGE1;TAH11;LAS17;GWT1;PGA2;RSC58;CDC53;SWD3;SWD2;TAF8;IES2;PPX1;RIP1
Gene_Interaction_Hubs_BioGRID_2018	PAT1	89/820	0.0	0.0	1.3152152867e-06	0.0004312755777225	-1.5371607009228223	144.55322098831928	MCM16;SEC8;LIP5;POP1;TFB1;FHL1;SEC27;FCF1;PSH1;VPH2;SMC4;YAR1;CDC73;GCD11;YPT6;FYV4;YAF9;VPS72;CWC22;KEX2;SEC20;ASC1;GCN4;TFA1;PAM16;PTI1;GPI12;NUM1;EFB1;PPZ1;MDS3;VRP1;PRE6;NSE3;TOP2;DNA2;HTA1;SLU7;TBF1;YRA1;FAL1;SKI8;MIG1;FIP1;CSH1;POL30;CTR9;POL31;NOP2;RPS6A;MRPL17;CLF1;SUI2;RRN9;MRPL11;RPF1;RRN7;MMS21;GAL11;SAN1;SWI5;IRA2;GLC7;GRC3;GLC8;VPS17;APC5;NOP56;RPC25;RFA2;LGE1;SCD6;SPP41;TAF11;LAS17;SEN54;LTO1;TOA1;RSC58;CDC53;BCD1;RPL4A;HPC2;DIA2;TAF8;TAF4;CTF8;RIP1;PKR1
Gene_Interaction_Hubs_BioGRID_2018	RPN4	85/770	0.0	0.0	1.2934214962e-06	0.0004312755777225	-1.5390390708972617	139.8448914076714	HEM14;TFB1;RPT6;SEC2;LST8;VPH2;SMC4;RPC11;PUP3;YAR1;GCD11;YPT6;KRE1;YAF9;PDS5;VPS72;SUP45;CMR1;UFD1;CTI6;MED2;GCN4;MOT2;SEC14;HMO1;HAC1;CYS4;GRX5;RIM101;GPI12;YUH1;EGD1;SPC42;WHI3;MDS3;PRE6;PRP19;DNA2;HTA1;RPN7;MIG1;YAP3;CNB1;JJJ1;POL30;MAK16;CTR9;MET31;SWI4;MAK10;RNA15;MRPL11;LAS1;RTT106;MMS21;VPS53;SWI5;IRA2;GLC8;SCP160;GCN1;UMP1;SBH2;APC5;NOP56;RPC25;RFA2;LGE1;TAH11;CTK3;LTO1;GWT1;PGA2;MRPL24;DEF1;SWD3;SWD2;YPI1;HPC2;DIA2;TAF8;MKS1;CTF8;RAD18;PKR1
Gene_Interaction_Hubs_BioGRID_2018	HYP2	91/969	0.0	0.0	0.0002047750850889	0.0103191090346699	-1.6498489444387872	139.32670485374686	MCM16;SEC8;LIP5;RRP5;NUP100;PMP3;TFB1;RPT6;RPL26B;SPA2;LST8;SPE3;YAR1;RPS0B;CDC73;YAF9;PDS5;ARC40;SAL1;KRE9;RLM1;SLN1;SEC20;ASC1;RPS13;SGF11;CTI6;YRB1;TDA5;TRM2;SEC14;RFC2;MCD1;COG2;MSS11;PTI1;DOS2;GPI12;YUH1;MRN1;MID2;NUM1;PPZ1;VRP1;NSE3;PRP19;DNA2;PCL1;DCP2;MCM1;ZDS2;RPN7;SKI8;RPN5;OCA4;CSH1;POL31;NOP2;RPS6B;RPS6A;SUI2;DGA1;RNA15;TOM70;RRN7;ALT1;VPS53;IRA2;SDH5;GLC8;RTT10;CWC2;GCN1;NOP56;SCD6;SED5;TAH11;SPN1;TAF11;LAS17;TOA1;GWT1;HOM2;BCD1;MVD1;DIA2;TAF8;MKS1;TAF4;CTF8;YHM2
Gene_Interaction_Hubs_BioGRID_2018	BOS1	76/660	0.0	0.0	1.2733790438e-06	0.0004312755777225	-1.6634518101002504	139.23148741167662	RRP5;TFB1;RPT6;SEC27;VPH2;USE1;RPC11;CDC73;GCD11;YPT6;VPS72;CWC22;KRE9;AEP3;MGR2;SEC20;ERG8;SGF11;CTI6;YRB1;PAM16;COG2;PTI1;MID2;CUS1;PRE8;SPC42;CEG1;NSE3;DNA2;HAP4;HTA1;TBF1;MCM1;MIA40;RPN7;TAM41;CNB1;MAK16;POL31;NOP2;SWI4;MRPL17;MAK11;PET117;LAS1;RAM2;HOF1;COX11;CRZ1;VPS17;APC5;NOP56;PGA1;RFA2;SED4;SPO23;SED5;TFC3;SPN1;MSN4;KTI11;LAS17;GWT1;CDC53;MVD1;DEF1;YPI1;DIA2;RSC3;CDC19;DBP6;TAF4;CTF8;RIP1;PRP38
