Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pfam_Domains_2019	GATA	3/10	0.0007914839923586	0.0088646207144169	0.0513702520779015	0.4889143295770072	-950.1428571428572	6785.541086820307	GAT2;SRD1;DAL80
Pfam_Domains_2019	EF-hand_7	2/6	0.0053744140162722	0.0273606531737496	0.0960367433097692	0.4889143295770072	-843.0000000000001	4405.607131350991	CNB1;SAL1
Pfam_Domains_2019	HATPase_c	2/5	0.0036295435727396	0.0273606531737496	0.0752393916439686	0.4889143295770072	-757.2857142857143	4254.922148851724	TOP2;SLN1
Pfam_Domains_2019	Glutaredoxin	2/8	0.009776896544479	0.0421158620377558	0.1415553334319404	0.6097768209375894	-693.0	3207.019088219963	GRX2;GRX5
Pfam_Domains_2019	DnaJ	2/19	0.0518941515897236	0.1529511836328697	0.4183056946667377	0.6399044267163351	-621.5714285714286	1838.9496411147131	JJJ1;JEM1
Pfam_Domains_2019	ENTH	1/5	0.0935488335569495	0.1806460234203162	0.3419972594383444	0.6399044267163351	-757.2857142857144	1794.2156078840794	ENT2
Pfam_Domains_2019	HMG_box	1/7	0.1284763819623151	0.1944507402672877	0.4279454984660182	0.6399044267163351	-585.8571428571429	1202.1848267332855	HMO1
Pfam_Domains_2019	His_Phos_1	1/9	0.162061421875792	0.2016764361120967	0.5027820495628347	0.6399044267163351	-557.2857142857143	1014.1373237073828	TFC7
Pfam_Domains_2019	adh_short	2/10	0.0153142375311735	0.0571731534497145	0.1906059259830997	0.6399044267163351	-214.1428571428571	894.8970737444027	TDA5;OAR1
Pfam_Domains_2019	MutS_III	2/6	0.0053744140162722	0.0273606531737496	0.0960367433097692	0.4889143295770072	-142.71428571428572	745.839946486975	MSH6;MSH1
Pfam_Domains_2019	MutS_V	2/6	0.0053744140162722	0.0273606531737496	0.0960367433097692	0.4889143295770072	-142.71428571428572	745.839946486975	MSH6;MSH1
Pfam_Domains_2019	zf-C2H2	10/19	5.459e-13	3.05736e-11	7.8100634796e-06	0.0004373635548597	-24.818181818181817	700.7719806009435	PZF1;MIG1;MET32;MET31;SWI5;MSN4;RIM101;CRZ1;TDA9;RGM1
Pfam_Domains_2019	CBS	2/9	0.0124096868234941	0.0496387472939766	0.1657523383399229	0.6399044267163351	-55.2	242.28814095781303	IMD3;CYS4
Pfam_Domains_2019	AAA	3/33	0.0258843168435555	0.0905951089524444	0.4409014887683486	0.6399044267163351	-59.2	216.323786840724	RFC2;RPT6;SAP1
Pfam_Domains_2019	zf-Tim10_DDP	1/5	0.0935488335569495	0.1806460234203162	0.3419972594383444	0.6399044267163351	-89.6	212.28674387189105	TIM12
Pfam_Domains_2019	Proteasome_A_N	3/7	0.0002411228114684	0.0033757193605588	0.024950979292212	0.4889143295770072	-23.0	191.5946957516576	PRE8;PRE6;PRE5
Pfam_Domains_2019	Cyclin_N	2/16	0.0378273739125757	0.1246078199473083	0.3440911373384829	0.6399044267163351	-47.2	154.56689071284148	CCL1;PCL1
Pfam_Domains_2019	Arrestin_N	1/5	0.0935488335569495	0.1806460234203162	0.3419972594383444	0.6399044267163351	-64.0	151.63338847992216	SPO23
Pfam_Domains_2019	S4	1/6	0.1111837174672449	0.1831261228872269	0.3864569040712741	0.6399044267163351	-68.9047619047619	151.35422474448242	RPS9B
Pfam_Domains_2019	MutS_II	2/5	0.0036295435727396	0.0273606531737496	0.0752393916439686	0.4889143295770072	-24.85714285714286	139.66354534997174	MSH6;MSH1
Pfam_Domains_2019	ArfGap	1/6	0.1111837174672449	0.1831261228872269	0.3864569040712741	0.6399044267163351	-55.2	121.25073761147482	AGE2
Pfam_Domains_2019	Myosin_head	1/5	0.0935488335569495	0.1806460234203162	0.3419972594383444	0.6399044267163351	-49.85714285714287	118.12511736493938	MYO4
Pfam_Domains_2019	GTP_EFTU_D2	1/13	0.2254079036826423	0.2524568521245593	0.6246267561586714	0.7138591498956244	-76.04761904761904	113.29905951060957	GCD11
Pfam_Domains_2019	CRAL_TRIO	1/5	0.0935488335569495	0.1806460234203162	0.3419972594383444	0.6399044267163351	-47.2	111.8296240039426	SEC14
Pfam_Domains_2019	Brix	1/6	0.1111837174672449	0.1831261228872269	0.3864569040712741	0.6399044267163351	-44.0	96.64913867581323	RPF1
Pfam_Domains_2019	RNase_PH	2/6	0.0053744140162722	0.0273606531737496	0.0960367433097692	0.4889143295770072	-16.523809523809526	86.3551756526461	RRP46;RRP45
Pfam_Domains_2019	Aminotran_1_2	1/11	0.1943554273232073	0.2315724240446725	0.5679285747477714	0.6766808550186212	-45.6	74.69584136323044	ALT1
Pfam_Domains_2019	SMC_N	1/5	0.0935488335569495	0.1806460234203162	0.3419972594383444	0.6399044267163351	-30.5	72.2627866974629	SMC4
Pfam_Domains_2019	GTP_EFTU	1/16	0.2697624019797847	0.2905133559782297	0.6961670313005786	0.7644187010359293	-51.99999999999999	68.1311124037479	GCD11
Pfam_Domains_2019	Ras	2/25	0.0844294732210373	0.1806460234203162	0.5526812497255441	0.6728293474919667	-26.230769230769223	64.83823129074929	YPT6;RSR1
Pfam_Domains_2019	C2	1/9	0.162061421875792	0.2016764361120967	0.5027820495628347	0.6399044267163351	-35.2	64.05625136157373	BUD2
Pfam_Domains_2019	Proteasome	4/14	0.0001208640644335	0.0022561292027601	0.0281900107921575	0.4889143295770072	-6.861491330917014	61.8964434409896	PRE8;PRE6;PRE5;PUP3
Pfam_Domains_2019	Y_phosphatase2	1/5	0.0935488335569495	0.1806460234203162	0.3419972594383444	0.6399044267163351	-25.57142857142857	60.58566191496889	OCA4
Pfam_Domains_2019	Bromodomain	1/10	0.1783666645711746	0.2171420264344735	0.536485020684275	0.6676258035182087	-31.2	53.78611474333388	RSC58
Pfam_Domains_2019	PCI	2/8	0.009776896544479	0.0421158620377558	0.1415553334319404	0.6097768209375894	-9.38095238095238	43.4125445186101	RPN7;RPN5
Pfam_Domains_2019	KH_1	1/5	0.0935488335569495	0.1806460234203162	0.3419972594383444	0.6399044267163351	-18.111111111111114	42.91014292053354	SCP160
Pfam_Domains_2019	Metallophos	2/19	0.0518941515897236	0.1529511836328697	0.4183056946667377	0.6399044267163351	-13.0	38.46113935680049	PPZ1;GLC7
Pfam_Domains_2019	zf-RING_2	1/8	0.1454334513081992	0.2016764361120967	0.4666593779487933	0.6399044267163351	-11.17789757412399	21.551396487120996	SAN1
Pfam_Domains_2019	Histone	1/9	0.162061421875792	0.2016764361120967	0.5027820495628347	0.6399044267163351	-11.373177842565598	20.696680075660872	HTA1
Pfam_Domains_2019	Homeodomain	1/7	0.1284763819623151	0.1944507402672877	0.4279454984660182	0.6399044267163351	-5.184873949579831	10.639414175802704	HMRA2
Pfam_Domains_2019	SH3_1	1/21	0.3381278477492477	0.3506511013695902	0.7866572576922126	0.8311850269955454	-6.4	6.939719726322792	BOI1
Pfam_Domains_2019	tRNA_anti-codon	1/8	0.1454334513081992	0.2016764361120967	0.4666593779487933	0.6399044267163351	-3.204081632653063	6.177586901696023	RFA2
