Gene A ORF	Gene A allele	Gene B ORF	Gene B allele	Correlation
YMR236W	taf9-ts2	YML098W	taf13-2	0.276
YMR236W	taf9-ts2	YPL011C	taf3-5001	0.292
YMR236W	taf9-ts2	YDR145W	taf12-ts23	0.394
YMR236W	taf9-ts2	YGL016W	kap122	0.231
YMR236W	taf9-ts2	YDR167W	taf10-5004	0.244
YMR236W	taf9-ts2	YDR167W	taf10-5002	0.490
YMR236W	taf9-ts2	YBR198C	taf5-15	0.296
YMR236W	taf9-ts2	YGR274C	taf1-2	0.287
YMR236W	taf9-ts2	YMR005W	taf4-18	0.295
YMR236W	taf9-ts2	YDR145W	taf12-9	0.371
YMR236W	taf9-ts2	YDR145W	taf12-w486stop	0.408
YMR236W	taf9-ts2	YDR145W	taf12-l446a	0.247
YMR236W	taf9-ts2	YML114C	taf8-7	0.243
YMR236W	taf9-ts2	YOR194C	toa1-5001	0.251
YMR236W	taf9-ts2	YBR198C	taf5-20	0.240
YMR236W	taf9-ts2	YBR198C	taf5-3	0.349
YMR236W	taf9-ts2	YML098W	taf13-1	0.288
YMR236W	taf9-ts2	YGR274C	taf1-1	0.211
YMR236W	taf9-ts2	YPL011C	taf3-5002	0.318
YMR236W	taf9-ts2	YDR145W	taf12-l464a	0.316
YMR236W	taf9-ts2	YGL112C	taf6-ts	0.416
YAL023C	pmt2	YDL096C	opi6	0.430
YAL023C	pmt2	YNL158W	pga1-5001	0.301
YAL023C	pmt2	YGL022W	stt3-2	0.211
YAL023C	pmt2	YGL022W	stt3-7	0.216
YAL023C	pmt2	YOR085W	ost3	0.300
YAL023C	pmt2	YBL105C	pkc1-4	0.216
YAL023C	pmt2	YLL031C	gpi13-4	0.235
YAL023C	pmt2	YBR070C	alg14-5001	0.229
YAL023C	pmt2	YEL002C	wbp1-2	0.304
YAL023C	pmt2	YLR459W	gab1-2	0.280
YAL023C	pmt2	YLR459W	gab1-3	0.357
YAL023C	pmt2	YOR002W	alg6	0.302
YAL023C	pmt2	YDL095W	pmt1	0.452
YAL023C	pmt2	YPL227C	alg5	0.253
YAL023C	pmt2	YHR101C	big1-5001	0.210
YAL023C	pmt2	YGL142C	gpi10-5001	0.337
YAL023C	pmt2	YGL027C	cwh41	0.262
YAL023C	pmt2	YJL034W	kar2-159	0.206
YAL023C	pmt2	YJL002C	ost1-6	0.221
YAL023C	pmt2	YMR307W	gas1	0.246
YAL023C	pmt2	YEL002C	wbp1-1	0.258
YAL023C	pmt2	YBL082C	alg3	0.209
YAL023C	pmt2	YOR336W	kre5-ts2	0.294
YAL023C	pmt2	YBR229C	rot2	0.248
YAL023C	pmt2	YJL091C	gwt1-20	0.234
YAL023C	pmt2	YLR459W	gab1-1	0.382
YAL023C	pmt2	YML115C	van1	0.207
YAL023C	pmt2	YBR004C	gpi18-5001	0.250
YAL023C	pmt2	YBR260C	rgd1	0.244
YAL023C	pmt2	YLR087C	csf1	0.211
YAL023C	pmt2	YOR067C	alg8	0.300
YAL023C	pmt2	YHR030C	slt2	0.225
YAL023C	pmt2	YDR302W	gpi11-5001	0.216
YAL023C	pmt2	YOR149C	smp3-2	0.328
YAL023C	pmt2	YJR013W	gpi14-5007	0.244
YAL023C	pmt2	YNL038W	gpi15-5001	0.239
YAL023C	pmt2	YDR434W	gpi17-5001	0.292
YAL023C	pmt2	YGL084C	gup1	0.228
YAL023C	pmt2	YGR227W	die2	0.205
YAL023C	pmt2	YML019W	ost6	0.261
YAL023C	pmt2	YEL031W	spf1	0.204
YAL023C	pmt2	YLR088W	gaa1-ts	0.344
YAL023C	pmt2	YDR525W	api2	0.237
YAL023C	pmt2	YPL096C-A	eri1	0.318
YAL023C	pmt2	YBL020W	rft1-5028	0.214
YAL023C	pmt2	YJL062W	las21	0.371
YAL023C	pmt2	YLR242C	arv1-supp1	0.223
YAL023C	pmt2	YFL031W	hac1	0.211
YAL023C	pmt2	YHR188C	gpi16-5001	0.329
YAL023C	pmt2	YHR079C	ire1	0.225
YAL023C	pmt2	YAL058W	cne1	0.214
YAL023C	pmt2	YDR524C-B	ydr524c-b	0.273
YAL023C	pmt2	YDR331W	gpi8-5001	0.264
YOR072W-B	yor072w-b	YBL034C	stu1-5	0.328
YOR072W-B	yor072w-b	YLR200W	yke2	0.270
YOR072W-B	yor072w-b	YCR065W	hcm1	0.230
YOR072W-B	yor072w-b	YOR026W	bub3	0.536
YOR072W-B	yor072w-b	YOR349W	cin1	0.343
YOR072W-B	yor072w-b	YER007W	pac2	0.316
YOR072W-B	yor072w-b	YPL241C	cin2	0.274
YOR072W-B	yor072w-b	YER016W	bim1	0.496
YOR072W-B	yor072w-b	YBL034C	stu1-8	0.444
YOR072W-B	yor072w-b	YNL153C	gim3	0.315
YOR072W-B	yor072w-b	YBL034C	stu1-12	0.405
YOR072W-B	yor072w-b	YGR113W	dam1-1	0.545
YOR072W-B	yor072w-b	YLR045C	stu2-12	0.224
YOR072W-B	yor072w-b	YGL086W	mad1	0.398
YOR072W-B	yor072w-b	YBL034C	stu1-6	0.438
YOR072W-B	yor072w-b	YJL030W	mad2	0.480
YOR072W-B	yor072w-b	YLR045C	stu2-10	0.212
YOR072W-B	yor072w-b	YEL061C	cin8	0.346
YOR072W-B	yor072w-b	YML124C	tub3	0.206
YOR072W-B	yor072w-b	YLR045C	stu2-11	0.214
YOR072W-B	yor072w-b	YGR078C	pac10	0.215
YML098W	taf13-2	YPL011C	taf3-5001	0.324
YML098W	taf13-2	YDR145W	taf12-ts23	0.347
YML098W	taf13-2	YGL016W	kap122	0.251
YML098W	taf13-2	YDR167W	taf10-5004	0.344
YML098W	taf13-2	YDR167W	taf10-5002	0.591
YML098W	taf13-2	YBR198C	taf5-15	0.269
YML098W	taf13-2	YAL011W	swc3	0.203
YML098W	taf13-2	YGR274C	taf1-2	0.311
YML098W	taf13-2	YML015C	taf11-ts2	0.338
YML098W	taf13-2	YMR005W	taf4-18	0.444
YML098W	taf13-2	YKR062W	tfa2-45	0.214
YML098W	taf13-2	YPR070W	med1	0.361
YML098W	taf13-2	YDR145W	taf12-9	0.340
YML098W	taf13-2	YDR145W	taf12-w486stop	0.359
YML098W	taf13-2	YDR145W	taf12-l446a	0.425
YML098W	taf13-2	YML114C	taf8-7	0.388
YML098W	taf13-2	YOR194C	toa1-5001	0.338
YML098W	taf13-2	YNR010W	cse2	0.222
YML098W	taf13-2	YML098W	taf13-1	0.574
YML098W	taf13-2	YGR274C	taf1-1	0.250
YML098W	taf13-2	YPL011C	taf3-5002	0.364
YML098W	taf13-2	YDR145W	taf12-l464a	0.417
YML098W	taf13-2	YGL112C	taf6-ts	0.231
YDR128W	mtc5	YLR208W	sec13-1	0.396
YDR128W	mtc5	YKR007W	meh1	0.247
YDR128W	mtc5	YGR057C	lst7	0.392
YDR128W	mtc5	YBL104C	sea4	0.294
YHR203C	rps4b	YLR264C-A	ylr264c-a	0.207
YHR203C	rps4b	YMR230W	rps10b	0.250
YHR203C	rps4b	YLR287C-A	rps30a	0.259
YHR203C	rps4b	YLR048W	rps0b	0.230
YHR203C	rps4b	YML026C	rps18b	0.248
YHR203C	rps4b	YBR048W	rps11b	0.321
YHR203C	rps4b	YDL083C	rps16b	0.225
YHR203C	rps4b	YKR057W	rps21a	0.249
YHR203C	rps4b	YNL302C	rps19b	0.273
YHR203C	rps4b	YDR500C	rpl37b	0.230
YHR203C	rps4b	YGR214W	rps0a	0.253
YHR203C	rps4b	YLR264W	rps28b	0.219
YHR203C	rps4b	YBR181C	rps6b	0.267
YHR203C	rps4b	YOR182C	rps30b	0.210
YHR203C	rps4b	YOR183W	fyv12	0.230
YHR203C	rps4b	YGR118W	rps23a	0.295
YHR203C	rps4b	YLR441C	rps1a	0.254
YHR203C	rps4b	YNL178W	rps3-5002	0.229
YHR203C	rps4b	YEL054C	rpl12a	0.243
YHR203C	rps4b	YOL121C	rps19a	0.219
YDR298C	atp5	YDR375C	bcs1	0.202
YDR298C	atp5	YMR035W	imp2	0.258
YDR298C	atp5	YHR189W	pth1	0.219
YDR298C	atp5	YLR038C	cox12	0.208
YDR298C	atp5	YGL119W	coq8	0.202
YDR298C	atp5	YLR218C	coa4	0.220
YDR298C	atp5	YPL172C	cox10	0.269
YDR298C	atp5	YMR282C	aep2	0.424
YDR298C	atp5	YNL315C	atp11	0.288
YDR298C	atp5	YLR295C	atp14	0.408
YDR298C	atp5	YMR064W	aep1	0.264
YDR298C	atp5	YEL024W	rip1	0.219
YDR298C	atp5	YPL132W	cox11	0.223
YDR298C	atp5	YPL078C	atp4	0.202
YDR298C	atp5	YGL237C	hap2	0.232
YDR298C	atp5	YER153C	pet122	0.251
YDR298C	atp5	YDR512C	emi1	0.338
YDR298C	atp5	YHL038C	cbp2	0.217
YDR298C	atp5	YKL016C	atp7	0.215
YDR298C	atp5	YPL005W	aep3	0.463
YBR228W	slx1	YBR098W	mms4	0.270
YBR228W	slx1	YBR100W	ybr100w	0.352
YBR228W	slx1	YBR099C	ybr099c	0.339
YBR228W	slx1	YDR386W	mus81	0.292
YBR228W	slx1	YDL105W	nse4-5001	0.247
YBR228W	slx1	YLR135W	slx4	0.376
YBR228W	slx1	YHR031C	rrm3	0.234
YBR228W	slx1	YDR279W	rnh202	0.229
YBR228W	slx1	YLR154C	rnh203	0.221
YBR228W	slx1	YDL105W	nse4-ts3	0.201
YBR228W	slx1	YDR363W	esc2	0.272
YBR228W	slx1	YLR383W	smc6-9	0.209
YBR228W	slx1	YML023C	nse5-ts2	0.209
YBR228W	slx1	YNL072W	rnh201	0.222
YBR228W	slx1	YNL218W	mgs1	0.250
YBR228W	slx1	YOL034W	smc5-6	0.208
YPL011C	taf3-5001	YDR145W	taf12-ts23	0.316
YPL011C	taf3-5001	YGL016W	kap122	0.237
YPL011C	taf3-5001	YDR167W	taf10-5004	0.343
YPL011C	taf3-5001	YDR167W	taf10-5002	0.480
YPL011C	taf3-5001	YBR198C	taf5-15	0.213
YPL011C	taf3-5001	YGR274C	taf1-2	0.329
YPL011C	taf3-5001	YML015C	taf11-ts2	0.221
YPL011C	taf3-5001	YPR070W	med1	0.266
YPL011C	taf3-5001	YDR145W	taf12-9	0.346
YPL011C	taf3-5001	YDR145W	taf12-w486stop	0.309
YPL011C	taf3-5001	YDR145W	taf12-l446a	0.334
YPL011C	taf3-5001	YML114C	taf8-7	0.299
YPL011C	taf3-5001	YOR194C	toa1-5001	0.271
YPL011C	taf3-5001	YNR010W	cse2	0.270
YPL011C	taf3-5001	YBR198C	taf5-20	0.287
YPL011C	taf3-5001	YBR198C	taf5-3	0.208
YPL011C	taf3-5001	YGR274C	taf1-1	0.297
YPL011C	taf3-5001	YPL011C	taf3-5002	0.551
YPL011C	taf3-5001	YDR145W	taf12-l464a	0.275
YPL011C	taf3-5001	YGL112C	taf6-ts	0.314
YJR145C	rps4a	YHR072W-A	nop10	0.200
YJR145C	rps4a	YBR048W	rps11b	0.208
YJR145C	rps4a	YKR057W	rps21a	0.283
YJR145C	rps4a	YGR214W	rps0a	0.208
YJR145C	rps4a	YGR118W	rps23a	0.214
YJR145C	rps4a	YLR441C	rps1a	0.218
YBL034C	stu1-5	YLR200W	yke2	0.254
YBL034C	stu1-5	YCR065W	hcm1	0.249
YBL034C	stu1-5	YOR026W	bub3	0.243
YBL034C	stu1-5	YOR349W	cin1	0.328
YBL034C	stu1-5	YLR045C	stu2-13	0.339
YBL034C	stu1-5	YER007W	pac2	0.211
YBL034C	stu1-5	YPL241C	cin2	0.326
YBL034C	stu1-5	YER016W	bim1	0.408
YBL034C	stu1-5	YBL034C	stu1-8	0.403
YBL034C	stu1-5	YNL153C	gim3	0.250
YBL034C	stu1-5	YBL034C	stu1-12	0.485
YBL034C	stu1-5	YGR113W	dam1-1	0.311
YBL034C	stu1-5	YLR045C	stu2-12	0.352
YBL034C	stu1-5	YGL086W	mad1	0.263
YBL034C	stu1-5	YBL034C	stu1-6	0.457
YBL034C	stu1-5	YJL030W	mad2	0.333
YBL034C	stu1-5	YLR045C	stu2-10	0.264
YBL034C	stu1-5	YEL061C	cin8	0.416
YBL034C	stu1-5	YML124C	tub3	0.356
YBL034C	stu1-5	YGR078C	pac10-supp1	0.229
YBL034C	stu1-5	YLR045C	stu2-11	0.297
YDR375C	bcs1	YJL003W	cox16	0.223
YDR375C	bcs1	YLR038C	cox12	0.261
YDR375C	bcs1	YLR203C	mss51	0.295
YDR375C	bcs1	YOR350C	mne1	0.232
YDR375C	bcs1	YGL119W	coq8	0.344
YDR375C	bcs1	YOR065W	cyt1	0.249
YDR375C	bcs1	YPR191W	qcr2	0.203
YDR375C	bcs1	YJR034W	pet191	0.251
YDR375C	bcs1	YGL187C	cox4	0.225
YDR375C	bcs1	YGR183C	qcr9	0.221
YDR375C	bcs1	YPL172C	cox10	0.220
YDR375C	bcs1	YPL189C-A	coa2	0.205
YDR375C	bcs1	YBR037C	sco1	0.222
YDR375C	bcs1	YLR295C	atp14	0.226
YDR375C	bcs1	YAL039C	cyc3	0.330
YDR375C	bcs1	YNR041C	coq2	0.202
YDR375C	bcs1	YEL024W	rip1	0.355
YDR375C	bcs1	YIR021W	mrs1	0.299
YDR375C	bcs1	YML110C	coq5	0.202
YDR375C	bcs1	YGL237C	hap2	0.234
YDR375C	bcs1	YIL157C	coa1	0.339
YDR375C	bcs1	YER153C	pet122	0.267
YDR375C	bcs1	YML129C	cox14	0.371
YDR375C	bcs1	YDL107W	mss2	0.275
YDR375C	bcs1	YLL009C	cox17	0.252
YDR375C	bcs1	YHL038C	cbp2	0.340
YDR375C	bcs1	YGR112W	shy1	0.343
YLR264C-A	ylr264c-a	YMR230W	rps10b	0.270
YLR264C-A	ylr264c-a	YLR287C-A	rps30a	0.274
YLR264C-A	ylr264c-a	YLR048W	rps0b	0.221
YLR264C-A	ylr264c-a	YOL040C	rps15-5001	0.225
YLR264C-A	ylr264c-a	YBL087C	rpl23a	0.216
YLR264C-A	ylr264c-a	YLR448W	rpl6b	0.228
YLR264C-A	ylr264c-a	YBR048W	rps11b	0.251
YLR264C-A	ylr264c-a	YDR382W	rpp2b	0.217
YLR264C-A	ylr264c-a	YPL239W	yar1	0.241
YLR264C-A	ylr264c-a	YDL136W	rpl35b	0.202
YLR264C-A	ylr264c-a	YDL130W	rpp1b	0.222
YLR264C-A	ylr264c-a	YDL083C	rps16b	0.211
YLR264C-A	ylr264c-a	YKR057W	rps21a	0.282
YLR264C-A	ylr264c-a	YNL302C	rps19b	0.214
YLR264C-A	ylr264c-a	YDR500C	rpl37b	0.270
YLR264C-A	ylr264c-a	YOL040C	rps15-5002	0.220
YLR264C-A	ylr264c-a	YIL133C	rpl16a	0.233
YLR264C-A	ylr264c-a	YGR085C	rpl11b	0.245
YLR264C-A	ylr264c-a	YLR388W	rps29a	0.254
YLR264C-A	ylr264c-a	YGR214W	rps0a	0.213
YLR264C-A	ylr264c-a	YLR264W	rps28b	0.418
YLR264C-A	ylr264c-a	YBR181C	rps6b	0.251
YLR264C-A	ylr264c-a	YOR182C	rps30b	0.209
YLR264C-A	ylr264c-a	YBR084C-A	rpl19a	0.202
YLR264C-A	ylr264c-a	YOR183W	fyv12	0.301
YLR264C-A	ylr264c-a	YGR118W	rps23a	0.226
YLR264C-A	ylr264c-a	YDL061C	rps29b	0.202
YLR264C-A	ylr264c-a	YIL069C	rps24b	0.251
YLR264C-A	ylr264c-a	YLR185W	rpl37a	0.264
YLR264C-A	ylr264c-a	YOR312C	rpl20b	0.216
YLR264C-A	ylr264c-a	YLR441C	rps1a	0.422
YLR264C-A	ylr264c-a	YNL178W	rps3-5002	0.213
YLR264C-A	ylr264c-a	YKL156W	rps27a	0.206
YLR264C-A	ylr264c-a	YEL054C	rpl12a	0.282
YLR264C-A	ylr264c-a	YOR234C	rpl33b	0.210
YLR264C-A	ylr264c-a	YKR013W	pry2	0.201
YLR264C-A	ylr264c-a	YOL121C	rps19a	0.227
YLR264C-A	ylr264c-a	YML063W	rps1b	0.218
YLR264C-A	ylr264c-a	YNL135C	fpr1	0.204
YLR264C-A	ylr264c-a	YGL123W	rps2-5004	0.208
YLR264C-A	ylr264c-a	YLR051C	fcf2-5011	0.217
YLR200W	yke2	YDR212W	tcp1-2	0.237
YLR200W	yke2	YCR065W	hcm1	0.275
YLR200W	yke2	YML094W	gim5	0.762
YLR200W	yke2	YFL039C	act1-108	0.205
YLR200W	yke2	YOR026W	bub3	0.219
YLR200W	yke2	YOR349W	cin1	0.347
YLR200W	yke2	YLR045C	stu2-13	0.238
YLR200W	yke2	YER007W	pac2	0.274
YLR200W	yke2	YPL241C	cin2	0.292
YLR200W	yke2	YEL003W	gim4	0.537
YLR200W	yke2	YER016W	bim1	0.323
YLR200W	yke2	YBL034C	stu1-8	0.282
YLR200W	yke2	YNL153C	gim3	0.614
YLR200W	yke2	YBL034C	stu1-12	0.318
YLR200W	yke2	YGR113W	dam1-1	0.277
YLR200W	yke2	YLR045C	stu2-12	0.286
YLR200W	yke2	YGL086W	mad1	0.208
YLR200W	yke2	YBL034C	stu1-6	0.372
YLR200W	yke2	YJL030W	mad2	0.224
YLR200W	yke2	YFL039C	act1-136	0.245
YLR200W	yke2	YLR045C	stu2-10	0.220
YLR200W	yke2	YEL061C	cin8	0.330
YLR200W	yke2	YML124C	tub3	0.332
YLR200W	yke2	YDR212W	tcp1-1	0.201
YLR200W	yke2	YGR078C	pac10-supp1	0.587
YLR200W	yke2	YLR045C	stu2-11	0.230
YLR200W	yke2	YER013W	prp22-1	0.206
YLR200W	yke2	YGR078C	pac10	0.636
YDR212W	tcp1-2	YML094W	gim5	0.247
YDR212W	tcp1-2	YFL039C	act1-108	0.316
YDR212W	tcp1-2	YOR035C	she4	0.227
YDR212W	tcp1-2	YEL005C	vab2	0.316
YDR212W	tcp1-2	YEL003W	gim4	0.268
YDR212W	tcp1-2	YNR035C	arc35-5	0.214
YDR212W	tcp1-2	YNL153C	gim3	0.293
YDR212W	tcp1-2	YDL029W	arp2-14	0.311
YDR212W	tcp1-2	YFL039C	act1-136	0.435
YDR212W	tcp1-2	YDR212W	tcp1-1	0.561
YDR212W	tcp1-2	YJL008C	cct8-5002	0.386
YDR212W	tcp1-2	YBR078W	ecm33	0.241
YDR212W	tcp1-2	YGR078C	pac10-supp1	0.369
YDR212W	tcp1-2	YJL008C	cct8-5001	0.250
YDR212W	tcp1-2	YGR078C	pac10	0.253
YDR088C	slu7-ts2	YHR041C	srb2	0.225
YDR088C	slu7-ts2	YBR193C	med8-39	0.295
YDR088C	slu7-ts2	YER022W	srb4-2	0.223
YDR088C	slu7-ts2	YHR058C	med6-ts	0.263
YDR088C	slu7-ts2	YDR364C	cdc40-ts	0.379
YDR088C	slu7-ts2	YNL222W	ssu72-2	0.217
YDR088C	slu7-ts2	YOL135C	med7-141	0.241
YDR088C	slu7-ts2	YKR062W	tfa2-45	0.219
YDR088C	slu7-ts2	YBR193C	med8-51	0.441
YDR088C	slu7-ts2	YPR086W	sua7-c149r	0.229
YDR088C	slu7-ts2	YHR058C	med6-5001	0.299
YDR088C	slu7-ts2	YGL127C	soh1	0.382
YDR088C	slu7-ts2	YOL135C	med7-163	0.285
YDR088C	slu7-ts2	YGR005C	tfg2-5001	0.226
YDR088C	slu7-ts2	YNL238W	kex2	0.311
YDR088C	slu7-ts2	YER013W	prp22-1	0.234
YLR268W	sec22	YML077W	bet5-5001	0.244
YLR268W	sec22	YNL051W	cog5	0.326
YLR268W	sec22	YDR246W	trs23-5001	0.238
YLR268W	sec22	YDR468C	tlg1-5005	0.328
YLR268W	sec22	YER157W	cog3-1	0.334
YLR268W	sec22	YLR262C	ypt6	0.216
YLR268W	sec22	YLR039C	ric1	0.216
YLR268W	sec22	YMR197C	vti1-2	0.267
YLR268W	sec22	YKL196C	ykt6-5001	0.348
YLR268W	sec22	YPR105C	cog4-5005	0.244
YLR268W	sec22	YKL139W	ctk1-supp1	0.239
YLR268W	sec22	YGL054C	erv14	0.218
YLR268W	sec22	YLR268W	sec22-1	0.565
YLR268W	sec22	YNL041C	cog6	0.281
YLR268W	sec22	YGL005C	cog7	0.278
YLR268W	sec22	YML071C	cog8	0.340
YLR268W	sec22	YGL020C	get1-supp1	0.381
YLR268W	sec22	YKR068C	bet3-5001	0.273
YLR268W	sec22	YOR216C	rud3	0.328
YLR268W	sec22	YMR197C	vti1-11	0.361
YLR268W	sec22	YER157W	cog3-2	0.364
YLR268W	sec22	YER083C	get2	0.267
YLR268W	sec22	YDR189W	sly1-ts	0.373
YLR268W	sec22	YDL058W	uso1-1	0.359
YLR268W	sec22	YKR006C	mrpl13	0.267
YOR201C	mrm1	YPL029W	suv3-supp1	0.244
YOR201C	mrm1	YDR462W	mrpl28	0.346
YOR201C	mrm1	YLR091W	gep5	0.388
YOR201C	mrm1	YMR097C	mtg1-supp1	0.256
YOR201C	mrm1	YKL155C	rsm22	0.243
YOR201C	mrm1	YJL102W	mef2	0.246
YOR201C	mrm1	YDR065W	rrg1	0.273
YOR201C	mrm1	YDL202W	mrpl11-supp1	0.206
YOR201C	mrm1	YJR113C	rsm7	0.259
YOR201C	mrm1	YHR038W	rrf1	0.268
YOR201C	mrm1	YBR163W	exo5	0.293
YOR201C	mrm1	YNL185C	mrpl19	0.288
YOR201C	mrm1	YER087W	aim10	0.211
YOR201C	mrm1	YEL050C	rml2	0.349
YOR201C	mrm1	YBR251W	mrps5-supp1	0.249
YOR201C	mrm1	YER017C	afg3	0.408
YOR201C	mrm1	YBR268W	mrpl37	0.206
YOR201C	mrm1	YJR144W	mgm101	0.272
YOR201C	mrm1	YFL036W	rpo41-supp1	0.205
YOR201C	mrm1	YDR405W	mrp20	0.275
YOR201C	mrm1	YKL138C	mrpl31	0.271
YPL029W	suv3-supp1	YHR116W	cox23	0.262
YPL029W	suv3-supp1	YIL134W	flx1	0.217
YPL029W	suv3-supp1	YDR462W	mrpl28	0.243
YPL029W	suv3-supp1	YPR117W	ypr117w-supp1	0.250
YPL029W	suv3-supp1	YMR035W	imp2	0.245
YPL029W	suv3-supp1	YHR189W	pth1	0.244
YPL029W	suv3-supp1	YBL021C	hap3	0.283
YPL029W	suv3-supp1	YMR256C	cox7	0.268
YPL029W	suv3-supp1	YLR038C	cox12	0.252
YPL029W	suv3-supp1	YOR358W	hap5	0.222
YPL029W	suv3-supp1	YOR350C	mne1	0.314
YPL029W	suv3-supp1	YMR097C	mtg1-supp1	0.305
YPL029W	suv3-supp1	YKL155C	rsm22	0.200
YPL029W	suv3-supp1	YOR232W	mge1-100	0.233
YPL029W	suv3-supp1	YOR065W	cyt1	0.338
YPL029W	suv3-supp1	YCR003W	mrpl32-supp1a	0.239
YPL029W	suv3-supp1	YLR218C	coa4	0.222
YPL029W	suv3-supp1	YDR065W	rrg1	0.342
YPL029W	suv3-supp1	YJL062W-A	coa3	0.271
YPL029W	suv3-supp1	YPL183W-A	rtc6	0.235
YPL029W	suv3-supp1	YNL003C	pet8	0.224
YPL029W	suv3-supp1	YPL104W	msd1	0.208
YPL029W	suv3-supp1	YGR183C	qcr9	0.326
YPL029W	suv3-supp1	YPL172C	cox10	0.354
YPL029W	suv3-supp1	YJL102W	mef2-supp1	0.436
