Gene A ORF	Gene A allele	Gene B ORF	Gene B allele	Correlation
YOR072W-B	yor072w-b	YGR188C	bub1	0.331
YOR072W-B	yor072w-b	YBL034C	stu1-5	0.328
YOR072W-B	yor072w-b	YPL209C	ipl1-2	0.427
YOR072W-B	yor072w-b	YLR200W	yke2	0.270
YOR072W-B	yor072w-b	YCR065W	hcm1	0.230
YOR072W-B	yor072w-b	YJL074C	smc3-42	0.458
YOR072W-B	yor072w-b	YCL016C	dcc1	0.227
YOR072W-B	yor072w-b	YOR026W	bub3	0.536
YOR072W-B	yor072w-b	YOR349W	cin1	0.343
YOR072W-B	yor072w-b	YDL028C	mps1-3796	0.461
YOR072W-B	yor072w-b	YPL017C	irc15	0.283
YOR072W-B	yor072w-b	YBR156C	sli15-3	0.550
YOR072W-B	yor072w-b	YGL093W	spc105-4	0.378
YOR072W-B	yor072w-b	YDL003W	mcd1-73	0.466
YOR072W-B	yor072w-b	YER007W	pac2	0.316
YOR072W-B	yor072w-b	YPL124W	spc29-3	0.273
YOR072W-B	yor072w-b	YPL241C	cin2	0.274
YOR072W-B	yor072w-b	YNR016C	acc1-5007-supp1	0.276
YOR072W-B	yor072w-b	YDR201W	spc19-5001	0.203
YOR072W-B	yor072w-b	YER016W	bim1	0.496
YOR072W-B	yor072w-b	YBL034C	stu1-8	0.444
YOR072W-B	yor072w-b	YNL153C	gim3	0.315
YOR072W-B	yor072w-b	YPR046W	mcm16	0.226
YOR072W-B	yor072w-b	YBL034C	stu1-12	0.405
YOR072W-B	yor072w-b	YER147C	scc4-4	0.325
YOR072W-B	yor072w-b	YGR113W	dam1-1	0.545
YOR072W-B	yor072w-b	YBR107C	iml3	0.226
YOR072W-B	yor072w-b	YHR191C	ctf8	0.320
YOR072W-B	yor072w-b	YPR141C	kar3	0.283
YOR072W-B	yor072w-b	YJL074C	smc3-1	0.492
YOR072W-B	yor072w-b	YLR045C	stu2-12	0.224
YOR072W-B	yor072w-b	YNR016C	acc1-5009-supp1	0.298
YOR072W-B	yor072w-b	YGL086W	mad1	0.398
YOR072W-B	yor072w-b	YOL076W	mdm20-supp1	0.217
YOR072W-B	yor072w-b	YBL034C	stu1-6	0.438
YOR072W-B	yor072w-b	YJR135C	mcm22	0.219
YOR072W-B	yor072w-b	YFL008W	smc1-2	0.362
YOR072W-B	yor072w-b	YJL030W	mad2	0.480
YOR072W-B	yor072w-b	YDR254W	chl4	0.279
YOR072W-B	yor072w-b	YLR045C	stu2-10	0.212
YOR072W-B	yor072w-b	YDR180W	scc2-4	0.417
YOR072W-B	yor072w-b	YDR014W	rad61	0.321
YOR072W-B	yor072w-b	YPL008W	chl1	0.380
YOR072W-B	yor072w-b	YFR027W	eco1-1	0.348
YOR072W-B	yor072w-b	YLR381W	ctf3	0.271
YOR072W-B	yor072w-b	YDR318W	mcm21	0.305
YOR072W-B	yor072w-b	YEL061C	cin8	0.346
YOR072W-B	yor072w-b	YML124C	tub3	0.206
YOR072W-B	yor072w-b	YPL018W	ctf19	0.273
YOR072W-B	yor072w-b	YOR014W	rts1	0.338
YOR072W-B	yor072w-b	YPL253C	vik1	0.450
YOR072W-B	yor072w-b	YFL008W	smc1-259	0.469
YOR072W-B	yor072w-b	YPR135W	ctf4	0.207
YOR072W-B	yor072w-b	YLR045C	stu2-11	0.214
YOR072W-B	yor072w-b	YGL093W	spc105-15	0.286
YOR072W-B	yor072w-b	YDR113C	pds1-128	0.281
YOR072W-B	yor072w-b	YDL028C	mps1-417	0.351
YOR072W-B	yor072w-b	YGR078C	pac10	0.215
YOR072W-B	yor072w-b	YMR117C	spc24-9	0.202
YGL233W	sec15-1	YOR122C	pfy1-13	0.217
YGL233W	sec15-1	YIL068C	sec6-4	0.260
YGL233W	sec15-1	YJL085W	exo70-38	0.287
YGL233W	sec15-1	YFL005W	sec4-8	0.486
YGL233W	sec15-1	YDR170C	sec7-1-supp1	0.204
YGL233W	sec15-1	YPR055W	sec8-9	0.316
YGL233W	sec15-1	YER136W	gdi1-1	0.414
YGL233W	sec15-1	YNR049C	mso1	0.291
YGL233W	sec15-1	YBR102C	exo84-102	0.375
YGL233W	sec15-1	YNL272C	sec2-41	0.375
YGL233W	sec15-1	YPR055W	sec8-6	0.506
YGL233W	sec15-1	YDR166C	sec5-24	0.389
YGL233W	sec15-1	YDR373W	frq1-1	0.248
YGL233W	sec15-1	YJL085W	exo70-29/37	0.435
YGL233W	sec15-1	YIL118W	rho3-ser228	0.527
YGL233W	sec15-1	YLR166C	sec10-2	0.594
YGL233W	sec15-1	YOR327C	snc2	0.261
YGL233W	sec15-1	YER008C	sec3-2	0.439
YGL233W	sec15-1	YDR164C	sec1-1	0.201
YGL233W	sec15-1	YIL118W	rho3-1	0.414
YGL233W	sec15-1	YAL026C	drs2-supp1	0.266
YGL233W	sec15-1	YNL267W	pik1-104	0.278
YGL233W	sec15-1	YJL085W	exo70-29/37-supp1	0.379
YGL233W	sec15-1	YOR370C	mrs6-2	0.249
YGR188C	bub1	YCL016C	dcc1	0.278
YGR188C	bub1	YOR026W	bub3	0.574
YGR188C	bub1	YDL028C	mps1-3796	0.264
YGR188C	bub1	YBR156C	sli15-3	0.297
YGR188C	bub1	YGL093W	spc105-4	0.230
YGR188C	bub1	YMR078C	ctf18	0.205
YGR188C	bub1	YNR016C	acc1-5007-supp1	0.206
YGR188C	bub1	YER016W	bim1	0.317
YGR188C	bub1	YBL034C	stu1-8	0.223
YGR188C	bub1	YGR113W	dam1-1	0.274
YGR188C	bub1	YHR191C	ctf8	0.284
YGR188C	bub1	YPR141C	kar3	0.206
YGR188C	bub1	YJL074C	smc3-1	0.253
YGR188C	bub1	YNR016C	acc1-5009-supp1	0.235
YGR188C	bub1	YGL086W	mad1	0.254
YGR188C	bub1	YBL034C	stu1-6	0.250
YGR188C	bub1	YJL030W	mad2	0.202
YGR188C	bub1	YDR378C	lsm6	0.212
YGR188C	bub1	YDR180W	scc2-4	0.243
YGR188C	bub1	YDR113C	pds1-128	0.207
YGR188C	bub1	YDL028C	mps1-417	0.204
YDR188W	cct6-18-supp1	YDR212W	tcp1-2	0.340
YDR188W	cct6-18-supp1	YFL039C	act1-108	0.211
YDR188W	cct6-18-supp1	YFL039C	act1-136	0.292
YDR188W	cct6-18-supp1	YFL039C	act1-4	0.227
YDR188W	cct6-18-supp1	YOR281C	plp2-5001	0.223
YDR188W	cct6-18-supp1	YDR212W	tcp1-1	0.333
YDR188W	cct6-18-supp1	YJL008C	cct8-5002	0.369
YDR188W	cct6-18-supp1	YDL143W	cct4-1	0.381
YDR188W	cct6-18-supp1	YJR064W	cct5-5001	0.347
YLR015W	bre2	YIL084C	sds3	0.244
YLR015W	bre2	YDL074C	bre1	0.462
YLR015W	bre2	YAL013W	dep1	0.202
YLR015W	bre2	YBR095C	rxt2	0.235
YLR015W	bre2	YGL058W	rad6	0.319
YLR015W	bre2	YPL138C	spp1	0.263
YLR015W	bre2	YDR469W	sdc1	0.543
YLR015W	bre2	YAR003W	swd1	0.483
YLR015W	bre2	YGL244W	rtf1	0.375
YLR015W	bre2	YBR175W	swd3	0.453
YLR015W	bre2	YPL055C	lge1	0.379
YLR015W	bre2	YHR119W	set1	0.368
YLR015W	bre2	YNL238W	kex2	0.227
YLR100W	erg27-5001	YCR002C	cdc10-4	0.223
YLR100W	erg27-5001	YJR076C	cdc11-3	0.204
YLR100W	erg27-5001	YLR314C	cdc3-1	0.263
YLR100W	erg27-5001	YNL271C	bni1	0.246
YBL034C	stu1-5	YPL209C	ipl1-2	0.317
YBL034C	stu1-5	YLR200W	yke2	0.254
YBL034C	stu1-5	YCR065W	hcm1	0.249
YBL034C	stu1-5	YOR026W	bub3	0.243
YBL034C	stu1-5	YOR349W	cin1	0.328
YBL034C	stu1-5	YDL028C	mps1-3796	0.269
YBL034C	stu1-5	YPL017C	irc15	0.235
YBL034C	stu1-5	YBR156C	sli15-3	0.296
YBL034C	stu1-5	YLR045C	stu2-13	0.339
YBL034C	stu1-5	YGL216W	kip3	0.248
YBL034C	stu1-5	YER007W	pac2	0.211
YBL034C	stu1-5	YPL241C	cin2	0.326
YBL034C	stu1-5	YER016W	bim1	0.408
YBL034C	stu1-5	YBL034C	stu1-8	0.403
YBL034C	stu1-5	YLR210W	clb4	0.216
YBL034C	stu1-5	YNL153C	gim3	0.250
YBL034C	stu1-5	YPR046W	mcm16	0.217
YBL034C	stu1-5	YGL240W	doc1-supp1	0.249
YBL034C	stu1-5	YBL034C	stu1-12	0.485
YBL034C	stu1-5	YGR113W	dam1-1	0.311
YBL034C	stu1-5	YPR141C	kar3	0.319
YBL034C	stu1-5	YER147C	scc4-5001	0.235
YBL034C	stu1-5	YJL074C	smc3-1	0.244
YBL034C	stu1-5	YLR045C	stu2-12	0.352
YBL034C	stu1-5	YGL086W	mad1	0.263
YBL034C	stu1-5	YBL034C	stu1-6	0.457
YBL034C	stu1-5	YJR135C	mcm22	0.237
YBL034C	stu1-5	YPL269W	kar9	0.207
YBL034C	stu1-5	YMR076C	pds5-1	0.205
YBL034C	stu1-5	YJL030W	mad2	0.333
YBL034C	stu1-5	YOR058C	ase1	0.272
YBL034C	stu1-5	YDR254W	chl4	0.253
YBL034C	stu1-5	YLR045C	stu2-10	0.264
YBL034C	stu1-5	YDR180W	scc2-4	0.207
YBL034C	stu1-5	YLR381W	ctf3	0.239
YBL034C	stu1-5	YDR318W	mcm21	0.232
YBL034C	stu1-5	YEL061C	cin8	0.416
