Gene A ORF	Gene A allele	Gene B ORF	Gene B allele	Correlation
YML001W	ypt7	YBR131W	ccz1	0.336
YML001W	ypt7	YOR106W	vam3	0.221
YML001W	ypt7	YPL269W	kar9	0.206
YML001W	ypt7	YGL212W	vam7	0.284
YML001W	ypt7	YDL077C	vam6	0.415
YML001W	ypt7	YGL124C	mon1	0.386
YML001W	ypt7	YDR323C	pep7	0.209
YAL023C	pmt2	YNL158W	pga1-5001	0.301
YAL023C	pmt2	YOR085W	ost3	0.300
YAL023C	pmt2	YLL031C	gpi13-4	0.235
YAL023C	pmt2	YBR070C	alg14-5001	0.229
YAL023C	pmt2	YEL002C	wbp1-2	0.304
YAL023C	pmt2	YLR459W	gab1-2	0.280
YAL023C	pmt2	YLR459W	gab1-3	0.357
YAL023C	pmt2	YOR002W	alg6	0.302
YAL023C	pmt2	YDR437W	gpi19-2xh	0.208
YAL023C	pmt2	YPL076W	gpi2-774	0.253
YAL023C	pmt2	YPL227C	alg5	0.253
YAL023C	pmt2	YPL076W	gpi2-1-7b	0.221
YAL023C	pmt2	YHR101C	big1-5001	0.210
YAL023C	pmt2	YGL142C	gpi10-5001	0.337
YAL023C	pmt2	YGL027C	cwh41	0.262
YAL023C	pmt2	YJL034W	kar2-159	0.206
YAL023C	pmt2	YJL002C	ost1-6	0.221
YAL023C	pmt2	YDR437W	gpi19-5001	0.213
YAL023C	pmt2	YMR307W	gas1	0.246
YAL023C	pmt2	YEL002C	wbp1-1	0.258
YAL023C	pmt2	YPR165W	rho1-5002	0.282
YAL023C	pmt2	YBL082C	alg3	0.209
YAL023C	pmt2	YOR336W	kre5-ts2	0.294
YAL023C	pmt2	YDR331W	gpi8-ts	0.212
YAL023C	pmt2	YBR229C	rot2	0.248
YAL023C	pmt2	YJL091C	gwt1-20	0.234
YAL023C	pmt2	YLR459W	gab1-1	0.382
YAL023C	pmt2	YML115C	van1	0.207
YAL023C	pmt2	YBR004C	gpi18-5001	0.250
YAL023C	pmt2	YBR260C	rgd1	0.244
YAL023C	pmt2	YLR087C	csf1	0.211
YAL023C	pmt2	YOR067C	alg8	0.300
YAL023C	pmt2	YHR030C	slt2	0.225
YAL023C	pmt2	YDR302W	gpi11-5001	0.216
YAL023C	pmt2	YOR149C	smp3-2	0.328
YAL023C	pmt2	YOR149C	smp3-1	0.294
YAL023C	pmt2	YJR013W	gpi14-5007	0.244
YAL023C	pmt2	YDR302W	gpi11-5001-supp1	0.202
YAL023C	pmt2	YNL038W	gpi15-5001	0.239
YAL023C	pmt2	YDR434W	gpi17-5001	0.292
YAL023C	pmt2	YGL084C	gup1	0.228
YAL023C	pmt2	YGR227W	die2	0.205
YAL023C	pmt2	YML019W	ost6	0.261
YAL023C	pmt2	YEL031W	spf1	0.204
YAL023C	pmt2	YLR088W	gaa1-ts	0.344
YAL023C	pmt2	YDR525W	api2	0.237
YAL023C	pmt2	YPL096C-A	eri1	0.318
YAL023C	pmt2	YJL062W	las21	0.371
YAL023C	pmt2	YLR242C	arv1-supp1	0.223
YAL023C	pmt2	YFL031W	hac1	0.211
YAL023C	pmt2	YHR188C	gpi16-5001	0.329
YAL023C	pmt2	YHR079C	ire1	0.225
YAL023C	pmt2	YDR437W	gpi19-2	0.206
YAL023C	pmt2	YAL058W	cne1	0.214
YAL023C	pmt2	YDR524C-B	ydr524c-b	0.273
YAL023C	pmt2	YDR331W	gpi8-5001	0.264
YOR072W-B	yor072w-b	YGR188C	bub1	0.331
YOR072W-B	yor072w-b	YBL034C	stu1-5	0.328
YOR072W-B	yor072w-b	YPL209C	ipl1-2	0.427
YOR072W-B	yor072w-b	YLR200W	yke2	0.270
YOR072W-B	yor072w-b	YCR065W	hcm1	0.230
YOR072W-B	yor072w-b	YJL074C	smc3-42	0.458
YOR072W-B	yor072w-b	YCL016C	dcc1	0.227
YOR072W-B	yor072w-b	YOR026W	bub3	0.536
YOR072W-B	yor072w-b	YOR349W	cin1	0.343
YOR072W-B	yor072w-b	YDL028C	mps1-3796	0.461
YOR072W-B	yor072w-b	YPL017C	irc15	0.283
YOR072W-B	yor072w-b	YBR156C	sli15-3	0.550
YOR072W-B	yor072w-b	YGL093W	spc105-4	0.378
YOR072W-B	yor072w-b	YDL003W	mcd1-73	0.466
YOR072W-B	yor072w-b	YER007W	pac2	0.316
YOR072W-B	yor072w-b	YPL124W	spc29-3	0.273
YOR072W-B	yor072w-b	YPL241C	cin2	0.274
YOR072W-B	yor072w-b	YNR016C	acc1-5007-supp1	0.276
YOR072W-B	yor072w-b	YDR201W	spc19-5001	0.203
YOR072W-B	yor072w-b	YER016W	bim1	0.496
YOR072W-B	yor072w-b	YBL034C	stu1-8	0.444
YOR072W-B	yor072w-b	YNL153C	gim3	0.315
YOR072W-B	yor072w-b	YPR046W	mcm16	0.226
YOR072W-B	yor072w-b	YBL034C	stu1-12	0.405
YOR072W-B	yor072w-b	YER147C	scc4-4	0.325
YOR072W-B	yor072w-b	YGR113W	dam1-1	0.545
YOR072W-B	yor072w-b	YBR107C	iml3	0.226
YOR072W-B	yor072w-b	YHR191C	ctf8	0.320
YOR072W-B	yor072w-b	YPR141C	kar3	0.283
YOR072W-B	yor072w-b	YJL074C	smc3-1	0.492
YOR072W-B	yor072w-b	YLR045C	stu2-12	0.224
YOR072W-B	yor072w-b	YNR016C	acc1-5009-supp1	0.298
YOR072W-B	yor072w-b	YGL086W	mad1	0.398
YOR072W-B	yor072w-b	YOL076W	mdm20-supp1	0.217
YOR072W-B	yor072w-b	YBL034C	stu1-6	0.438
YOR072W-B	yor072w-b	YJR135C	mcm22	0.219
YOR072W-B	yor072w-b	YFL008W	smc1-2	0.362
YOR072W-B	yor072w-b	YJL030W	mad2	0.480
YOR072W-B	yor072w-b	YDR254W	chl4	0.279
YOR072W-B	yor072w-b	YLR045C	stu2-10	0.212
YOR072W-B	yor072w-b	YDR180W	scc2-4	0.417
YOR072W-B	yor072w-b	YDR014W	rad61	0.321
YOR072W-B	yor072w-b	YNL273W	tof1	0.200
YOR072W-B	yor072w-b	YPL008W	chl1	0.380
YOR072W-B	yor072w-b	YFR027W	eco1-1	0.348
YOR072W-B	yor072w-b	YLR381W	ctf3	0.271
YOR072W-B	yor072w-b	YDR318W	mcm21	0.305
YOR072W-B	yor072w-b	YEL061C	cin8	0.346
YOR072W-B	yor072w-b	YML124C	tub3	0.206
YOR072W-B	yor072w-b	YPL018W	ctf19	0.273
YOR072W-B	yor072w-b	YOR014W	rts1	0.338
YOR072W-B	yor072w-b	YPL253C	vik1	0.450
YOR072W-B	yor072w-b	YFL008W	smc1-259	0.469
YOR072W-B	yor072w-b	YPR135W	ctf4	0.207
YOR072W-B	yor072w-b	YMR048W	csm3	0.254
YOR072W-B	yor072w-b	YLR045C	stu2-11	0.214
YOR072W-B	yor072w-b	YGL093W	spc105-15	0.286
YOR072W-B	yor072w-b	YDR113C	pds1-128	0.281
YOR072W-B	yor072w-b	YDL028C	mps1-417	0.351
YOR072W-B	yor072w-b	YGR078C	pac10	0.215
YOR072W-B	yor072w-b	YMR117C	spc24-9	0.202
YDR128W	mtc5	YLR208W	sec13-1	0.396
YDR128W	mtc5	YNL229C	ure2	0.203
YDR128W	mtc5	YNL006W	lst8-15	0.237
YDR128W	mtc5	YGR057C	lst7	0.392
YGR188C	bub1	YCL016C	dcc1	0.278
YGR188C	bub1	YOR026W	bub3	0.574
YGR188C	bub1	YDL028C	mps1-3796	0.264
YGR188C	bub1	YBR156C	sli15-3	0.297
YGR188C	bub1	YGL093W	spc105-4	0.230
YGR188C	bub1	YMR078C	ctf18	0.205
YGR188C	bub1	YNR016C	acc1-5007-supp1	0.206
YGR188C	bub1	YER016W	bim1	0.317
YGR188C	bub1	YBL034C	stu1-8	0.223
YGR188C	bub1	YGR113W	dam1-1	0.274
YGR188C	bub1	YHR191C	ctf8	0.284
YGR188C	bub1	YPR141C	kar3	0.206
YGR188C	bub1	YJL074C	smc3-1	0.253
YGR188C	bub1	YNR016C	acc1-5009-supp1	0.235
YGR188C	bub1	YGL086W	mad1	0.254
YGR188C	bub1	YBL034C	stu1-6	0.250
YGR188C	bub1	YJL030W	mad2	0.202
YGR188C	bub1	YDR180W	scc2-4	0.243
YGR188C	bub1	YDR113C	pds1-128	0.207
YGR188C	bub1	YDL028C	mps1-417	0.204
YNL064C	ydj1	YMR186W	hsc82	0.273
YNL064C	ydj1	YPL106C	sse1	0.238
YNL064C	ydj1	YOR027W	sti1	0.312
YNL064C	ydj1	YGL073W	hsf1-848	0.243
YLR215C	cdc123-4	YPL237W	sui3-5001	0.324
YLR215C	cdc123-4	YER025W	gcd11-5001-supp1	0.221
YBL034C	stu1-5	YPL209C	ipl1-2	0.317
