Gene A ORF	Gene A allele	Gene B ORF	Gene B allele	Correlation
YNL163C	ria1-ts	YNL067W	rpl9b	0.227
YNL163C	ria1-ts	YLR448W	rpl6b	0.255
YNL163C	ria1-ts	YDR382W	rpp2b	0.244
YNL163C	ria1-ts	YDL130W	rpp1b	0.206
YNL163C	ria1-ts	YPL079W	rpl21b	0.211
YNL163C	ria1-ts	YKR057W	rps21a	0.276
YNL163C	ria1-ts	YNL302C	rps19b	0.222
YNL163C	ria1-ts	YGL031C	rpl24a	0.267
YNL163C	ria1-ts	YDR500C	rpl37b	0.225
YNL163C	ria1-ts	YGR085C	rpl11b	0.224
YNL163C	ria1-ts	YHL033C	rpl8a	0.214
YNL163C	ria1-ts	YBR084C-A	rpl19a	0.225
YNL163C	ria1-ts	YLR185W	rpl37a	0.252
YNL163C	ria1-ts	YEL054C	rpl12a	0.332
YNL163C	ria1-ts	YNL227C	jjj1	0.234
YML001W	ypt7	YBR131W	ccz1	0.336
YML001W	ypt7	YOR106W	vam3	0.221
YML001W	ypt7	YPL269W	kar9	0.206
YML001W	ypt7	YGL212W	vam7	0.284
YML001W	ypt7	YDL077C	vam6	0.415
YML001W	ypt7	YGL124C	mon1	0.386
YML001W	ypt7	YDR323C	pep7	0.209
YKR085C	mrpl20	YOR201C	mrm1	0.233
YKR085C	mrpl20	YLR091W	gep5	0.422
YKR085C	mrpl20	YMR089C	yta12	0.327
YKR085C	mrpl20	YMR097C	mtg1-supp1	0.293
YKR085C	mrpl20	YKL170W	mrpl38	0.352
YKR085C	mrpl20	YGR076C	mrpl25	0.262
YKR085C	mrpl20	YDR347W	mrp1	0.231
YKR085C	mrpl20	YHR011W	dia4	0.260
YKR085C	mrpl20	YER077C	mrx1	0.360
YKR085C	mrpl20	YLR069C	mef1	0.352
YKR085C	mrpl20	YBL080C	pet112	0.259
YKR085C	mrpl20	YDR296W	mhr1	0.323
YKR085C	mrpl20	YER087W	aim10	0.268
YKR085C	mrpl20	YER017C	afg3	0.275
YKR085C	mrpl20	YNL213C	rrg9-supp1	0.318
YKR085C	mrpl20	YNL252C	mrpl17	0.237
YKR085C	mrpl20	YBR268W	mrpl37	0.273
YKR085C	mrpl20	YPL040C	ism1-supp1	0.221
YKR085C	mrpl20	YDR405W	mrp20	0.281
YKR085C	mrpl20	YKL138C	mrpl31	0.346
YLR192C	hcr1	YLR129W	dip2-5001	0.208
YLR209C	pnp1	YMR182W-A	min3	0.338
YLR209C	pnp1	YNL211C	mrx7	0.235
YLR209C	pnp1	YNL278W	caf120	0.340
YLR209C	pnp1	YBR089C-A	nhp6b	0.295
YLR209C	pnp1	YDL218W	ydl218w	0.207
YJR150C	dan1	YHR195W	nvj1	0.235
YJR150C	dan1	YGL199C	ygl199c	0.219
YJR150C	dan1	YOL109W	zeo1	0.235
YOR072W-B	yor072w-b	YLR200W	yke2	0.270
YOR072W-B	yor072w-b	YCR065W	hcm1	0.230
YOR072W-B	yor072w-b	YJL074C	smc3-42	0.458
YOR072W-B	yor072w-b	YCL016C	dcc1	0.227
YOR072W-B	yor072w-b	YOR026W	bub3	0.536
YOR072W-B	yor072w-b	YOR349W	cin1	0.343
YOR072W-B	yor072w-b	YBR156C	sli15-3	0.550
YOR072W-B	yor072w-b	YPL174C	nip100	0.200
YOR072W-B	yor072w-b	YGL093W	spc105-4	0.378
YOR072W-B	yor072w-b	YDL003W	mcd1-73	0.466
YOR072W-B	yor072w-b	YER007W	pac2	0.316
YOR072W-B	yor072w-b	YPL124W	spc29-3	0.273
YOR072W-B	yor072w-b	YPL241C	cin2	0.274
YOR072W-B	yor072w-b	YNR016C	acc1-5007-supp1	0.276
YOR072W-B	yor072w-b	YER016W	bim1	0.496
YOR072W-B	yor072w-b	YBL034C	stu1-8	0.444
YOR072W-B	yor072w-b	YNL153C	gim3	0.315
YOR072W-B	yor072w-b	YBL034C	stu1-12	0.405
YOR072W-B	yor072w-b	YER147C	scc4-4	0.325
YOR072W-B	yor072w-b	YGR113W	dam1-1	0.545
YOR072W-B	yor072w-b	YHR191C	ctf8	0.320
YOR072W-B	yor072w-b	YPR141C	kar3	0.283
YOR072W-B	yor072w-b	YJL074C	smc3-1	0.492
YOR072W-B	yor072w-b	YLR045C	stu2-12	0.224
YOR072W-B	yor072w-b	YNR016C	acc1-5009-supp1	0.298
YOR072W-B	yor072w-b	YOL076W	mdm20-supp1	0.217
YOR072W-B	yor072w-b	YBL034C	stu1-6	0.438
YOR072W-B	yor072w-b	YFL008W	smc1-2	0.362
YOR072W-B	yor072w-b	YJL030W	mad2	0.480
YOR072W-B	yor072w-b	YDR254W	chl4	0.279
YOR072W-B	yor072w-b	YLR045C	stu2-10	0.212
YOR072W-B	yor072w-b	YDR180W	scc2-4	0.417
YOR072W-B	yor072w-b	YDR014W	rad61	0.321
YOR072W-B	yor072w-b	YNL273W	tof1	0.200
YOR072W-B	yor072w-b	YPL008W	chl1	0.380
YOR072W-B	yor072w-b	YFR027W	eco1-1	0.348
YOR072W-B	yor072w-b	YLR381W	ctf3	0.271
YOR072W-B	yor072w-b	YDR318W	mcm21	0.305
YOR072W-B	yor072w-b	YEL061C	cin8	0.346
YOR072W-B	yor072w-b	YML124C	tub3	0.206
YOR072W-B	yor072w-b	YOR014W	rts1	0.338
YOR072W-B	yor072w-b	YFL008W	smc1-259	0.469
YOR072W-B	yor072w-b	YPR135W	ctf4	0.207
YOR072W-B	yor072w-b	YMR048W	csm3	0.254
YOR072W-B	yor072w-b	YLR045C	stu2-11	0.214
YOR072W-B	yor072w-b	YDR113C	pds1-128	0.281
YOR072W-B	yor072w-b	YGR078C	pac10	0.215
YDR128W	mtc5	YKL176C	lst4	0.290
YDR128W	mtc5	YLR208W	sec13-1	0.396
YDR128W	mtc5	YPL180W	tco89	0.282
YDR128W	mtc5	YCR075W-A	ego2	0.368
YDR128W	mtc5	YKR007W	meh1	0.247
YDR128W	mtc5	YGR057C	lst7	0.392
YOL010W	rcl1-5004	YMR229C	rrp5-delta6	0.252
YOL010W	rcl1-5004	YDR083W	rrp8	0.265
YOL010W	rcl1-5004	YER082C	utp7-5003	0.206
YOL010W	rcl1-5004	YDR299W	bfr2-5001	0.224
YOL010W	rcl1-5004	YER127W	lcp5-5005	0.231
YOL010W	rcl1-5004	YJR002W	mpp10-5001	0.276
YOL010W	rcl1-5004	YGL171W	rok1-5003	0.363
YOL010W	rcl1-5004	YDR021W	fal1-1	0.299
YOL010W	rcl1-5004	YLR129W	dip2-5001	0.319
YOL010W	rcl1-5004	YLR068W	fyv7	0.344
YOL010W	rcl1-5004	YCL059C	krr1-18	0.224
YOL010W	rcl1-5004	YLR222C	utp13-5001	0.351
YOL010W	rcl1-5004	YOR295W	uaf30	0.239
YOL010W	rcl1-5004	YNL075W	imp4-2	0.428
YOL010W	rcl1-5004	YIL127C	rrt14	0.227
YOL010W	rcl1-5004	YLR051C	fcf2-5011	0.326
YDR298C	atp5	YPL172C	cox10	0.269
YDR298C	atp5	YMR282C	aep2	0.424
YDR298C	atp5	YLR295C	atp14	0.408
YDR298C	atp5	YMR064W	aep1	0.264
YDR298C	atp5	YPL132W	cox11	0.223
YDR298C	atp5	YJR121W	atp2	0.291
YDR298C	atp5	YPL078C	atp4	0.202
YDR298C	atp5	YKL016C	atp7	0.215
YDR298C	atp5	YPL005W	aep3	0.463
YER009W	ntf2-5001	YLR018C	pom34	0.238
YER009W	ntf2-5001	YER107C	gle2	0.212
YER009W	ntf2-5001	YLR335W	nup2	0.341
YER009W	ntf2-5001	YGL093W	spc105-4	0.206
YER009W	ntf2-5001	YER009W	ntf2-h104y	0.626
YER009W	ntf2-5001	YDR002W	yrb1-51	0.329
YER009W	ntf2-5001	YGR140W	cbf2-42	0.227
YER009W	ntf2-5001	YJR074W	mog1	0.313
YER009W	ntf2-5001	YGR119C	nup57-e17	0.253
YER009W	ntf2-5001	YMR129W	pom152	0.298
YER009W	ntf2-5001	YGL238W	cse1-5002	0.210
YER009W	ntf2-5001	YKR082W	nup133	0.271
YER009W	ntf2-5001	YLR347C	kap95-e126k	0.239
YER009W	ntf2-5001	YML103C	nup188	0.342
YER009W	ntf2-5001	YBL079W	nup170	0.235
YER009W	ntf2-5001	YGL092W	nup145-r4	0.274
YER009W	ntf2-5001	YJL041W	nsp1-5002	0.280
YER009W	ntf2-5001	YGL097W	srm1-ts	0.279
YBL105C	pkc1-2	YHR142W	chs7	0.209
YBL105C	pkc1-2	YPL089C	rlm1	0.423
YBL105C	pkc1-2	YGR196C	fyv8	0.280
YBL105C	pkc1-2	YBL105C	pkc1-4	0.663
YBL105C	pkc1-2	YER149C	pea2	0.257
YBL105C	pkc1-2	YBL105C	pkc1-3	0.469
YBL105C	pkc1-2	YLR332W	mid2	0.288
YBL105C	pkc1-2	YPR165W	rho1-5002	0.353
YBL105C	pkc1-2	YBR023C	chs3	0.231
YBL105C	pkc1-2	YBR260C	rgd1	0.292
YBL105C	pkc1-2	YLR371W	rom2	0.355
YBL105C	pkc1-2	YBL062W	ybl062w	0.263
YBL105C	pkc1-2	YHR030C	slt2	0.485
YBL105C	pkc1-2	YDL203C	ack1	0.345
YBL105C	pkc1-2	YBL105C	pkc1-1	0.475
YBL105C	pkc1-2	YJL095W	bck1	0.512
YBL105C	pkc1-2	YBR078W	ecm33	0.221
YBL105C	pkc1-2	YBL061C	skt5	0.232
YML086C	alo1	YOL065C	inp54	0.361
YML086C	alo1	YML092C	pre8-5001	0.211
YML086C	alo1	YNL166C	bni5	0.226
YML086C	alo1	YOL069W	nuf2-61	0.213
YLR325C	rpl38	YKR059W	tif1	0.203
YLR325C	rpl38	YNL091W	nst1	0.215
YGR093W	drn1	YHR121W	lsm12	0.216
YBR228W	slx1	YMR182W-A	min3	0.297
YBR228W	slx1	YBR098W	mms4	0.270
YBR228W	slx1	YDR386W	mus81	0.292
YBR228W	slx1	YNL211C	mrx7	0.274
YBR228W	slx1	YDL105W	nse4-5001	0.247
YBR228W	slx1	YLR135W	slx4	0.376
YBR228W	slx1	YHR031C	rrm3	0.234
YBR228W	slx1	YDR279W	rnh202	0.229
YBR228W	slx1	YBR089C-A	nhp6b	0.316
YBR228W	slx1	YLR154C	rnh203	0.221
YBR228W	slx1	YNL072W	rnh201	0.222
YBR228W	slx1	YNL218W	mgs1	0.250
YKL183C-A	ykl183c-a	YOR160W	mtr10-5016-supp1	0.231
YKL183C-A	ykl183c-a	YLL028W	tpo1	0.223
YKL183C-A	ykl183c-a	YDL241W	ydl241w	0.243
YKL183C-A	ykl183c-a	YLR229C	cdc42-1	0.207
YKL183C-A	ykl183c-a	YDL022W	gpd1	0.201
YLR261C	vps63	YML077W	bet5-5001	0.231
YLR261C	vps63	YNL051W	cog5	0.275
YLR261C	vps63	YGL137W	sec27-1	0.253
YLR261C	vps63	YBR254C	trs20-5001	0.373
YLR261C	vps63	YDR246W	trs23-5001	0.356
YLR261C	vps63	YDR320C	swa2-supp1	0.204
YLR261C	vps63	YLR262C	ypt6	0.483
YLR261C	vps63	YOR070C	gyp1	0.230
YLR261C	vps63	YPL051W	arl3	0.275
YLR261C	vps63	YJR060W	cbf1	0.282
YLR261C	vps63	YLR039C	ric1	0.290
YLR261C	vps63	YKR020W	vps51	0.239
YLR261C	vps63	YJL004C	sys1	0.350
YLR261C	vps63	YKR019C	irs4	0.284
YLR261C	vps63	YDR108W	trs85	0.221
YLR261C	vps63	YFL038C	ypt1-3	0.271
YLR261C	vps63	YDL145C	cop1-1	0.257
YLR261C	vps63	YNL041C	cog6	0.327
YLR261C	vps63	YGL005C	cog7	0.278
YLR261C	vps63	YML071C	cog8	0.323
YLR261C	vps63	YKR068C	bet3-5001	0.240
YLR261C	vps63	YJL029C	vps53-supp1	0.258
YLR261C	vps63	YBL050W	sec17-1	0.206
YLR261C	vps63	YBR164C	arl1	0.359
YLR261C	vps63	YOL018C	tlg2	0.235
YLR261C	vps63	YER157W	cog3-2	0.202
YLR261C	vps63	YHL031C	gos1-supp1	0.319
YLR264C-A	ylr264c-a	YOL040C	rps15-5001	0.225
