Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[147596, 147604, 147607, 147611, 147664, 147677, 147704, 147709, 147752, 147833, 147918, 147978, 148100, 148215, 148221, 148228, 148251, 148344, 148349, 148441, 148466, 148468, 148523, 148610, 148614, 148867, 148874, 148950, 148955, 148962, 148968, 149017, 149036, 149056, 149124, 149124, 149127, 149131, 149349, 149541, 149628, 150385, 150416, 150442, 150447, 150515, 150543, 150558, 150567, 150568, 150591, 150671, 150880, 150908, 150922, 150926, 150984, 150987, 151010, 151030, 151070, 151081, 151084, 151085, 151087, 151090, 151116, 151123, 151139, 151147, 151152, 151157]	[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 26, 1, 2, 20, 8, 1, 17, 1, 9, 1, 1, 13, 19, 1, 5, 1, 1, 1, 2, 1, 1, 1, 1, 21, 2, 1, 1, 1, 13, 1, 4, 1, 7, 1, 16, 1, 1, 1, 7, 1, 1, 35, 5, 1, 1, 1, 1, 70, 1, 1, 1, 1, 70, 2, 2, 3, 1, 3, 1]
EFB1	I	142174	143160	[142200, 142205, 142215, 142223, 142229, 142244, 142260, 142272, 142321, 142326, 142929, 142988, 143004, 143036, 143051, 143070, 143108, 143125, 143130, 143146]	[2, 1, 1, 1, 2, 1, 1, 2, 2, 13, 1, 1, 3, 1, 1, 2, 2, 2, 1, 1]
MAK16	I	100225	101145	[100239, 100266, 100394, 100789, 100793, 100793, 100802, 100822, 100861, 100877, 100882, 100921, 100936, 100966, 100982, 101018, 101022, 101025, 101028, 101102, 101105, 101108, 101142]	[1, 1, 1, 14, 1, 3, 2, 4, 1, 2, 1, 1, 1, 1, 1, 1, 23, 5, 14, 1, 1, 1, 1]
PRP45	I	83335	84474	[83337, 83340, 83370, 83386, 83407, 83413, 83496, 83503, 83508, 83573, 83615, 83693, 83713, 83714, 83725, 83729, 83736, 83741, 83762, 83778, 83818, 83822, 83828, 83847, 83899, 83989, 83997, 84001, 84044, 84076, 84118, 84173, 84244, 84409, 84473]	[1, 48, 3, 18, 1, 1, 1, 21, 26, 11, 2, 21, 38, 2, 1, 1, 132, 1, 1, 1, 14, 18, 3, 2, 5, 1, 26, 30, 1, 1, 17, 1, 1, 3, 1]
POP5	I	82706	83227	[82748, 82752, 82772, 82810, 82883, 82901, 82945, 82968, 83011, 83027, 83046, 83071, 83225]	[1, 1, 3, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1]
YAL034C-B	I	79489	79842	[79496, 79548, 79550, 79560, 79563, 79573, 79575, 79576, 79579, 79582, 79586, 79594, 79598, 79609, 79610, 79618, 79630, 79632, 79636, 79639, 79642, 79642, 79649, 79650, 79655, 79669, 79675, 79710, 79713, 79717, 79721, 79729, 79737, 79741, 79766, 79777, 79784, 79831, 79840]	[1, 1, 10, 1, 46, 24, 1, 54, 6, 30, 16, 13, 75, 1, 2, 4, 4, 75, 15, 16, 1, 4, 1, 5, 13, 8, 9, 2, 10, 67, 3, 1, 24, 1, 2, 2, 2, 1, 2]
MTW1	I	79718	80587	[79721, 79729, 79737, 79741, 79766, 79777, 79784, 79831, 79840, 79844, 79897, 79901, 79955, 79981, 80052, 80480, 80506, 80521, 80537, 80552, 80556, 80563, 80573, 80581]	[3, 1, 24, 1, 2, 2, 2, 1, 2, 61, 5, 31, 1, 1, 33, 5, 1, 54, 5, 1, 57, 2, 1, 23]
CDC19	I	71786	73288	[72087, 72112, 72158, 72163, 72228, 72300, 72304, 72305, 72409, 72410, 72414, 72497, 72535, 72560, 72591, 72693, 72698, 72699, 72699, 72759, 72780, 72820, 72857, 72885, 72887, 72890, 72934, 73006, 73100]	[2, 14, 66, 12, 2, 35, 1, 38, 25, 1, 27, 38, 1, 1, 1, 55, 9, 1, 1, 2, 1, 1, 2, 3, 1, 42, 1, 1, 1]
CDC24	I	62840	65404	[62843, 62861, 62864, 62884, 62927, 62935, 62938, 62987, 63038, 63043, 63075, 63108, 63121, 63135, 63193, 63197, 63207, 63233, 63237, 63239, 63251, 63295, 63300, 63422, 63456, 63462, 63490, 63556, 63613, 63617, 63618, 63618, 63622, 63626, 63680, 63716, 63716, 63723, 63725, 63736, 63740, 63746, 63757, 63795, 63801, 63810, 63833, 63862, 63902, 63911, 63958, 64173, 64673, 64746, 64750, 64774, 64778, 64793, 64798, 64807, 64808, 64811, 64815, 64819, 64825, 64842, 64844, 64846, 64895, 65078, 65173, 65176, 65218, 65234, 65283]	[1, 1, 2, 16, 32, 16, 4, 1, 2, 1, 1, 2, 1, 2, 62, 2, 1, 1, 1, 1, 1, 11, 91, 2, 1, 1, 1, 1, 56, 6, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 34, 45, 1, 1, 2, 1, 86, 1, 2, 13, 73, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 5, 2, 136, 2, 1, 6, 13, 1, 21, 13]
PTA1	I	58695	61052	[58697, 58883, 58894, 58900, 58902, 58936, 58939, 59003, 59008, 59026, 59055, 59059, 59130, 59176, 59179, 59220, 59237, 59279, 59340, 59344, 59434, 59440, 59444, 59446, 59450, 59472, 59478, 59497, 59510, 59515, 59516, 59549, 59553, 59645, 59645, 59646, 59650, 59651, 59652, 59714, 59757, 59864, 59869, 59915, 59958, 60047, 60079, 60122, 60184, 60370, 60377, 60453, 60519, 60719, 60839, 60948, 60970, 60998, 61001, 61006, 61033]	[1, 34, 1, 1, 1, 1, 1, 1, 7, 1, 3, 11, 2, 1, 2, 2, 1, 1, 6, 5, 1, 12, 1, 1, 1, 6, 21, 4, 1, 1, 4, 7, 10, 1, 1, 5, 4, 1, 4, 1, 1, 19, 23, 2, 1, 1, 1, 4, 1, 3, 2, 1, 1, 1, 1, 12, 1, 2, 11, 88, 1]
RFA1	I	156754	158619	[156855, 158308, 158476, 158504, 158507, 158511, 158520, 158533, 158550, 158553, 158561, 158568, 158578, 158609]	[1, 1, 3, 1, 1, 2, 1, 1, 4, 1, 1, 2, 1, 2]
SEN34	I	158966	159793	[158990, 158994, 159224, 159228, 159449, 159452, 159500, 159535, 159540, 159597, 159603, 159676, 159706, 159717, 159719, 159756, 159760, 159771, 159777, 159779, 159789]	[25, 8, 3, 25, 1, 1, 1, 33, 9, 2, 45, 94, 1, 1, 1, 2, 1, 1, 1, 1, 1]
CDC15	I	172211	175135	[172225, 172261, 172266, 172270, 172329, 172385, 172389, 172540, 172544, 172584, 172611, 172616, 172670, 172740, 172807, 172812, 172910, 172940, 172945, 172971, 173154, 173162, 173245, 173253, 173300, 173335, 173353, 173417, 173625, 173628, 173632, 173677, 173678, 173682, 173714, 173805, 173957, 173991, 174013, 174073, 174078, 174102, 174118, 174172, 174271, 174293, 174302, 174320, 174328, 174332, 174371, 174569, 174573, 174994, 175067, 175133]	[1, 1, 10, 14, 2, 26, 17, 2, 23, 1, 24, 4, 1, 1, 25, 6, 1, 20, 47, 2, 1, 21, 7, 1, 1, 1, 1, 1, 31, 32, 1, 3, 2, 10, 2, 1, 1, 1, 1, 39, 2, 1, 1, 1, 1, 1, 1, 16, 158, 5, 37, 1, 16, 1, 1, 1]
HTA2	II	235394	235792	[235456, 235470, 235482, 235491, 235494, 235553, 235568, 235625, 235632, 235633, 235643, 235650, 235666, 235672, 235687, 235691, 235719, 235769, 235782]	[2, 3, 1, 1, 2, 1, 17, 17, 43, 1, 43, 1, 37, 3, 1, 22, 8, 1, 1]
