#clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
kmeans	1	Red	6	EXO70	4932.YJL085W	Subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis prior to SNARE-mediated fusion; PtdIns[4,5]P2-binding protein that localizes to exocytic sites in an actin-independent manner, targeting and anchoring the exocyst with Sec3p; involved in exocyst assembly; direct downstream effector of Rho3p and Cdc42p; relocalizes from bud neck to cytoplasm upon DNA replication stress
kmeans	1	Red	6	EXO84	4932.YBR102C	Exocyst complex component EXO84; Exocyst subunit with dual roles in exocytosis and spliceosome assembly; subunit of the the exocyst complex which mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane (PM) prior to SNARE-mediated fusion; required for exocyst assembly and targeting the complex to specific sites on the bud tip PM; associates the U1 snRNP; role in pre-mRNA splicing and prespliceosome formation; possible Cdc28 substrate; Belongs to the EXO84 family
kmeans	1	Red	6	RHO3	4932.YIL118W	GTP-binding protein RHO3; Non-essential small GTPase of the Rho/Rac family of Ras-like proteins; involved in the establishment of cell polarity; GTPase activity positively regulated by the GTPase activating protein (GAP) Rgd1p
kmeans	1	Red	6	SEC15	4932.YGL233W	Essential 113 kDa subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis prior to SNARE-mediated fusion; interacts with and functions as a downstream effector of active, GTP-bound Sec4p, a Rab family GTPase
kmeans	1	Red	6	SEC3	4932.YER008C	Subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to sites of exocytosis prior to SNARE-mediated fusion; PtdIns[4,5]P2-binding protein that localizes to exocytic sites in a Rho1p-dependent, actin-independent manner, targeting and anchoring the exocyst to the plasma membrane with Exo70p; direct GTP Rho1p effector; required for ER inheritance; relocalizes away from bud neck upon DNA replication stress; Belongs to the SEC3 family
kmeans	1	Red	6	SEC5	4932.YDR166C	Essential 107kDa subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane prior to SNARE-mediated fusion; involved in assembly of the exocyst complex; required with Sec3p for ER inheritance where it promotes anchoring of the cortical ER at the bud tip; Belongs to the SEC5 family
kmeans	2	Yellow	7	ABP1	4932.YCR088W	Actin-binding protein of the cortical actin cytoskeleton; important for activation of the Arp2/3 complex that plays a key role actin in cytoskeleton organization; inhibits barbed-end actin filament elongation; phosphorylation within its Proline-Rich Regio, mediated by Cdc28p and Pho85p, protects Abp1p from proteolysis mediated by its own PEST sequences; mammalian homolog of HIP-55 (hematopoietic progenitor kinase 1 [HPK1]-interacting protein of 55 kDa)
kmeans	2	Yellow	7	ACT1	4932.YFL039C	Actin, other eukaryote; Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions
kmeans	2	Yellow	7	BNI1	4932.YNL271C	Protein BNI1; Formin; polarisome component; nucleates the formation of linear actin filaments, involved in cell processes such as budding and mitotic spindle orientation which require the formation of polarized actin cables; recruited to the division site in a Glc7p/Ref2p dependent manner following release of Bnr1p; functionally redundant with BNR1
kmeans	2	Yellow	7	CMD1	4932.YBR109C	Calmodulin; Ca2+ binding protein that regulates Ca2+ independent processes (mitosis, bud growth, actin organization, endocytosis, etc.) and Ca2+ dependent processes (stress-activated pathways), targets include Nuf1p, Myo2p and calcineurin; binds to the Hog1p MAPK in response to hyperosmotic stress; potentiates membrane tubulation and constriction mediated by the Rvs161p-Rvs167p complex; human CALM1 or CALM2 functionally complement repression induced inviability
