Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[388, 389, 450, 475]	[1, 5, 1, 1]
YAL068W-A	I	538	792	[706]	[1]
PAU8	I	1807	2169	[1935, 2015, 2134]	[1, 1, 1]
YAL067W-A	I	2480	2707	[2582, 2610]	[1, 5]
SEO1	I	7235	9016	[7298, 7388, 7474, 7752, 8784, 8814, 8829, 8870]	[1, 1, 2, 1, 1, 1, 8, 1]
YAL066W	I	10091	10399	[10094, 10267, 10311]	[1, 3, 1]
YAL065C	I	11565	11951	[11838, 11890, 11928, 11946]	[1, 2, 1, 1]
YAL064W-B	I	12046	12426	[12048, 12063, 12104, 12147, 12156, 12210, 12220, 12264, 12267, 12298, 12362]	[1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1]
TDA8	I	13363	13743	[]	[]
YAL064W	I	21566	21850	[21844]	[2]
YAL063C-A	I	22395	22685	[22410, 22413, 22506, 22506, 22642, 22669]	[1, 1, 1, 2, 1, 2]
FLO9	I	24000	27968	[24052, 24084, 24119, 24125, 24230, 24268, 24314, 24323, 24425, 24427, 24430, 24573, 24578, 24580, 24716, 24732, 24795, 24854, 24975, 25248, 25540, 25559, 25578, 25590, 25609, 25637, 26565, 27027, 27056, 27130, 27255, 27295, 27429, 27782]	[1, 1, 1, 1, 6, 2, 1, 1, 1, 1, 1, 1, 3, 2, 1, 29, 1, 1, 8, 1, 1, 1, 2, 1, 1, 5, 1, 2, 1, 1, 1, 2, 1, 7]
GDH3	I	31567	32940	[31682, 31689, 31696, 31730, 31809, 31901, 31942, 32063, 32068, 32140, 32172, 32182, 32182, 32222, 32280, 32280, 32317, 32478, 32488, 32501, 32548, 32554, 32585, 32589, 32765, 32864]	[2, 4, 2, 1, 15, 1, 2, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1]
BDH2	I	33448	34701	[33524, 33622, 33681, 33682, 33691, 33877, 33893, 34201, 34222, 34296, 34326, 34343, 34456, 34488, 34524, 34527, 34528, 34698]	[1, 1, 1, 1, 1, 85, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1]
BDH1	I	35155	36303	[35327, 35347, 35372, 35393, 35437, 35511, 35512, 35579, 35653, 35684, 35694, 35872, 36196, 36243, 36271, 36289]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]
YAL059C-A	I	36496	36918	[36843]	[1]
ECM1	I	36509	37147	[36843, 37053]	[1, 11]
