Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[341, 381, 386, 389, 390, 391, 394, 441, 476, 489, 491, 495, 501, 504, 505, 511, 515, 576, 579]	[34, 1, 44, 2, 1, 111, 106, 2, 1, 1, 79, 25, 10, 29, 57, 5, 5, 2, 200]
YAL068W-A	I	538	792	[576, 579, 689]	[2, 200, 20]
PAU8	I	1807	2169	[1880, 1894, 1898, 1932, 1937, 1948, 2013, 2017, 2018, 2019, 2019, 2108]	[50, 2, 4, 16, 12, 6, 32, 1, 18, 1, 30, 31]
YAL067W-A	I	2480	2707	[2496, 2552, 2560, 2572, 2583, 2585, 2587, 2594, 2598]	[2, 3, 43, 2, 8, 3, 1, 22, 1]
SEO1	I	7235	9016	[7294, 7330, 7403, 7408, 7468, 7469, 7472, 7486, 7490, 7558, 7700, 7740, 7772, 7777, 7842, 7845, 7967, 8004, 8009, 8017, 8045, 8053, 8184, 8236, 8248, 8269, 8272, 8323, 8342, 8442, 8471, 8539, 8541, 8561, 8687, 8697, 8710, 8733, 8737, 8739, 8759, 8763, 8787, 8826, 8827, 8831, 8873, 8873, 8946, 8954, 8962, 8975, 8990, 9015]	[1, 12, 16, 41, 1, 2, 14, 8, 1, 50, 59, 3, 6, 10, 22, 3, 43, 21, 26, 10, 136, 13, 2, 6, 59, 6, 4, 1, 29, 11, 2, 45, 17, 2, 2, 10, 20, 31, 2, 69, 112, 26, 1, 2, 36, 47, 12, 35, 61, 45, 1, 10, 22, 1]
YAL066W	I	10091	10399	[10133, 10187, 10230, 10261, 10295, 10304, 10307, 10309, 10310, 10372, 10374, 10394]	[71, 58, 1, 2, 6, 99, 3, 38, 7, 2, 2, 4]
YAL065C	I	11565	11951	[11643, 11755, 11776, 11781, 11786, 11795, 11803, 11829, 11833, 11833, 11834, 11838, 11838, 11862]	[7, 3, 29, 3, 41, 8, 8, 12, 3, 21, 17, 5, 26, 8]
YAL064W-B	I	12046	12426	[12089, 12113, 12150, 12166, 12292, 12309, 12313, 12326, 12333, 12340, 12340, 12342, 12344, 12347, 12352, 12355, 12360, 12365, 12368, 12374, 12378, 12389]	[89, 17, 31, 1, 2, 1, 34, 25, 6, 2, 1, 2, 29, 7, 4, 6, 3, 1, 19, 17, 63, 25]
TDA8	I	13363	13743	[13659, 13727]	[140, 29]
YAL064W	I	21566	21850	[21591, 21599, 21629, 21635, 21637, 21643, 21650, 21656, 21658, 21671, 21704, 21788, 21798, 21801, 21826, 21837, 21844]	[2, 4, 1, 99, 9, 2, 5, 1, 2, 62, 14, 7, 41, 40, 4, 9, 7]
YAL063C-A	I	22395	22685	[22487, 22505, 22510, 22618, 22642, 22658, 22659, 22669, 22672, 22683, 22685]	[2, 1, 8, 22, 38, 66, 8, 68, 62, 2, 11]
