Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[147595, 147595, 147599, 147599, 147600, 147600, 147607, 147608, 147609, 147613, 147613, 147620, 147629, 147631, 147634, 147640, 147644, 147645, 147650, 147664, 147672, 147678, 147704, 147728, 147737, 147747, 147757, 147828, 147829, 147834, 147858, 148167, 148222, 148251, 148316, 148344, 148392, 148409, 148441, 148461, 148465, 148468, 148553, 148556, 148561, 148584, 148607, 148610, 148614, 148657, 148817, 148865, 148868, 148872, 148932, 148932, 148940, 148950, 148954, 148968, 149017, 149030, 149049, 149061, 149096, 149122, 149128, 149245, 149473, 149480, 149509, 149542, 150385, 150447, 150448, 150461, 150477, 150514, 150523, 150542, 150554, 150558, 150587, 150669, 150819, 150863, 150922, 150926, 150944, 150996, 151009, 151047, 151090, 151120, 151136, 151140, 151143, 151152]	[1, 4, 2, 1, 1, 9, 14, 30, 16, 1, 11, 2, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 3, 2, 2, 1, 18, 1, 2, 1, 1, 11, 6, 18, 32, 1, 1, 2, 1, 1, 6, 7, 1, 1, 3, 15, 3, 1, 2, 1, 3, 4, 1, 39, 5, 3, 3, 2, 4, 4, 1, 1, 1, 1, 2, 10, 1, 1, 1, 1, 26, 1, 2, 3, 9, 1, 1, 1, 1, 26, 3, 1, 1, 2, 13, 13, 3, 4, 1, 1, 2]
EFB1	I	142174	143160	[142174, 142188, 142197, 142220, 142233, 142321, 142325, 142359, 142365, 142524, 142911, 142925, 142929, 142965, 142984, 143032, 143068, 143130, 143136, 143147]	[1, 2, 1, 1, 1, 1, 21, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1]
MAK16	I	100225	101145	[100301, 100420, 100508, 100526, 100662, 100716, 100788, 100793, 100834, 100869, 100875, 100883, 100892, 100901, 100904, 100915, 100972, 101018, 101018, 101022, 101049, 101069, 101076, 101115, 101121]	[1, 3, 2, 1, 1, 2, 10, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 33, 1, 1, 2, 1, 1]
PRP45	I	83335	84474	[83352, 83359, 83412, 83473, 83497, 83514, 83521, 83535, 83548, 83549, 83563, 83573, 83577, 83578, 83585, 83597, 83601, 83627, 83687, 83704, 83708, 83723, 83727, 83730, 83746, 83749, 83753, 83776, 83794, 83816, 83817, 83818, 83819, 83822, 83828, 83873, 83913, 83959, 83997, 84002, 84114, 84118, 84188, 84208, 84232, 84330, 84409]	[8, 65, 1, 1, 3, 11, 2, 4, 3, 1, 1, 1, 1, 2, 31, 8, 1, 3, 107, 223, 35, 1, 15, 2, 1, 1, 3, 1, 5, 1, 9, 1, 1, 4, 4, 67, 10, 1, 8, 12, 1, 7, 1, 2, 1, 1, 5]
POP5	I	82706	83227	[82746, 82877, 82949, 82953, 82966, 82996, 82997, 83000, 83041, 83147, 83203, 83219]	[1, 3, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1]
YAL034C-B	I	79489	79842	[79490, 79510, 79518, 79519, 79541, 79542, 79547, 79554, 79561, 79564, 79568, 79572, 79580, 79586, 79589, 79594, 79601, 79603, 79606, 79609, 79612, 79616, 79618, 79621, 79621, 79623, 79623, 79627, 79630, 79632, 79637, 79642, 79645, 79650, 79653, 79654, 79656, 79660, 79663, 79668, 79671, 79671, 79675, 79684, 79688, 79717, 79722, 79736, 79777, 79810, 79817]	[2, 52, 1, 1, 1, 6, 12, 1, 193, 1, 32, 103, 30, 68, 4, 19, 114, 11, 29, 2, 1, 1, 54, 1, 16, 3, 15, 12, 8, 40, 54, 83, 1, 12, 2, 8, 117, 34, 41, 36, 1, 15, 3, 2, 1, 25, 7, 2, 1, 1, 1]
MTW1	I	79718	80587	[79722, 79736, 79777, 79810, 79817, 79844, 79861, 79897, 79902, 79938, 79947, 79965, 79973, 80048, 80052, 80266, 80465, 80472, 80478, 80482, 80498, 80502, 80505, 80515, 80531, 80545, 80571]	[7, 2, 1, 1, 1, 70, 1, 14, 28, 4, 1, 1, 1, 1, 14, 1, 7, 53, 1, 13, 42, 11, 1, 1, 11, 11, 10]
CDC19	I	71786	73288	[71816, 72111, 72159, 72161, 72182, 72300, 72305, 72346, 72409, 72413, 72443, 72497, 72632, 72694, 72698, 72781, 72797, 72804, 72806, 72822, 72885, 72891, 72951, 72955, 73144, 73262]	[1, 1, 33, 2, 2, 15, 6, 1, 5, 21, 1, 31, 1, 51, 10, 1, 1, 2, 2, 1, 5, 35, 1, 2, 3, 1]
CDC24	I	62840	65404	[62840, 62862, 62877, 62879, 62884, 62891, 62927, 62935, 62938, 62991, 63041, 63103, 63149, 63159, 63193, 63197, 63215, 63229, 63248, 63254, 63258, 63262, 63295, 63299, 63353, 63357, 63386, 63418, 63611, 63617, 63628, 63650, 63690, 63796, 63800, 63805, 63827, 63828, 63858, 63879, 63879, 63906, 63911, 64101, 64673, 64716, 64745, 64751, 64778, 64795, 64805, 64833, 64843, 64846, 64855, 65176, 65182, 65283, 65340]	[2, 54, 1, 31, 2, 47, 35, 8, 1, 1, 1, 1, 1, 1, 41, 9, 1, 1, 1, 1, 1, 1, 4, 74, 1, 1, 1, 1, 28, 13, 1, 1, 1, 13, 25, 1, 1, 1, 1, 1, 1, 2, 90, 1, 15, 1, 5, 1, 1, 1, 1, 2, 2, 33, 1, 24, 1, 2, 2]
PTA1	I	58695	61052	[58697, 58728, 58854, 58859, 58864, 58883, 58935, 59003, 59003, 59007, 59054, 59059, 59181, 59281, 59324, 59340, 59344, 59378, 59426, 59466, 59501, 59504, 59517, 59646, 59650, 59725, 59766, 59864, 59868, 59873, 59875, 59906, 60063, 60121, 60133, 60172, 60372, 60376, 60403, 60420, 60562, 60688, 60719, 60947, 60979, 60983, 60999, 61001, 61003, 61006, 61034, 61038, 61049]	[2, 1, 8, 14, 1, 2, 1, 10, 1, 14, 4, 18, 3, 2, 1, 10, 6, 1, 62, 10, 15, 1, 4, 11, 18, 1, 1, 6, 12, 2, 1, 1, 1, 12, 1, 1, 1, 2, 1, 2, 1, 2, 3, 17, 1, 1, 1, 10, 1, 160, 1, 1, 2]
RFA1	I	156754	158619	[157601, 158473, 158476, 158517, 158550, 158576, 158589, 158617]	[1, 1, 3, 1, 1, 1, 1, 2]
