Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[147704, 147829, 147834, 148222, 148348, 148442, 148461, 148467, 148469, 148609, 148614, 148868, 148872, 148950, 148957, 149017, 149127, 150384, 150515, 150523, 150548, 150551, 150554, 150559, 150635, 150670, 150922, 150923, 150926, 150926, 151094]	[1, 5, 2, 2, 4, 27, 2, 5, 28, 1, 16, 2, 1, 32, 1, 13, 2, 30, 30, 1, 1, 1, 3, 21, 1, 2, 22, 1, 1, 6, 2]
EFB1	I	142174	143160	[142325]	[24]
MAK16	I	100225	101145	[100789, 100872, 101018, 101022]	[6, 2, 1, 33]
PRP45	I	83335	84474	[83680, 83818, 83823, 83990, 83996, 84001, 84114, 84119, 84409]	[4, 21, 17, 1, 14, 7, 1, 17, 8]
POP5	I	82706	83227	[83000]	[3]
YAL034C-B	I	79489	79842	[79583, 79601, 79603, 79709, 79717, 79721, 79736, 79741]	[2, 1, 3, 1, 6, 3, 6, 2]
MTW1	I	79718	80587	[79721, 79736, 79741, 79845, 79897, 79901, 80048, 80052, 80578]	[3, 6, 2, 40, 18, 4, 2, 1, 1]
CDC19	I	71786	73288	[72157, 72160, 72161, 72163, 72164, 72296, 72300, 72306, 72342, 72413, 72473, 72497, 72693, 72698, 72852, 72886, 72890]	[28, 2, 3, 1, 3, 1, 17, 13, 1, 6, 1, 19, 21, 3, 2, 6, 46]
CDC24	I	62840	65404	[62840, 62870, 62924, 62928, 62935, 63188, 63193, 63198, 63212, 63294, 63300, 63613, 63617, 63645, 63743, 63796, 63800, 63801, 63911, 64673, 64746, 64844, 64847, 65172, 65176, 65180, 65234, 65284, 65284]	[1, 1, 1, 23, 5, 2, 39, 14, 1, 8, 11, 33, 6, 1, 2, 49, 18, 1, 27, 6, 18, 3, 41, 2, 16, 5, 8, 4, 4]
PTA1	I	58695	61052	[58854, 58883, 58921, 59007, 59055, 59059, 59073, 59180, 59345, 59646, 59650, 59864, 59868, 59868, 59871, 60121, 60130, 60372, 60372, 60376, 60687, 60719, 60948, 60952, 61001, 61002, 61006]	[1, 11, 1, 32, 1, 7, 1, 3, 3, 17, 8, 6, 2, 4, 4, 3, 1, 1, 1, 1, 4, 1, 26, 1, 1, 6, 9]
RFA1	I	156754	158619	[156855, 156859, 158475]	[1, 4, 1]
SEN34	I	158966	159793	[158990, 158994, 159190, 159224, 159228, 159478, 159536, 159540, 159604, 159675, 159791]	[14, 16, 1, 1, 13, 1, 8, 1, 21, 10, 5]
CDC15	I	172211	175135	[172265, 172266, 172270, 172271, 172271, 172281, 172385, 172386, 172389, 172540, 172545, 172612, 172616, 172617, 172618, 172807, 172811, 172852, 172876, 172905, 172932, 172940, 172946, 173133, 173162, 173628, 173633, 173677, 173683, 173894, 174072, 174072, 174073, 174188, 174320, 174320, 174324, 174325, 174328, 174332, 174365, 174369, 174569, 174574]	[1, 22, 1, 1, 2, 1, 6, 2, 23, 20, 9, 19, 3, 1, 2, 21, 13, 1, 1, 2, 1, 11, 46, 2, 9, 34, 4, 2, 34, 4, 4, 1, 12, 1, 5, 1, 3, 1, 12, 6, 1, 4, 2, 13]
HTA2	II	235394	235792	[]	[]
UTP20	II	227636	235117	[227750, 227754, 227793, 227848, 227853, 227978, 227982, 228153, 228157, 228158, 228162, 228163, 228171, 228273, 228277, 228356, 228396, 228401, 228440, 228448, 230100, 230104, 230189, 230718, 231128, 231165, 231169, 231278, 231279, 231283, 231584, 231588, 232049, 232186, 232190, 232701, 233881, 234018, 234024, 234228, 234232, 234315, 234366, 234611, 234969, 234973, 235045, 235049, 235061]	[5, 1, 2, 1, 15, 16, 4, 25, 5, 19, 1, 2, 1, 23, 40, 5, 1, 15, 1, 19, 5, 4, 3, 1, 12, 50, 1, 7, 27, 1, 1, 4, 28, 1, 5, 1, 1, 2, 1, 1, 3, 10, 5, 5, 12, 4, 8, 1, 6]
RRN6	II	199064	201748	[199079, 199083, 199300, 199305, 199461, 199466, 199476, 199633, 199688, 199708, 199908, 199914, 200203, 200207, 200257, 200309, 200311, 200315, 200423, 200454, 200496, 200552, 200557, 200600, 200605, 200605, 200634, 200675, 200689, 200693, 200898, 200907, 200911, 200976, 200977, 200981, 201223, 201227, 201228, 201435, 201491]	[14, 9, 10, 14, 4, 7, 1, 8, 5, 1, 3, 4, 12, 2, 2, 1, 4, 2, 2, 7, 2, 1, 26, 4, 1, 2, 3, 7, 5, 22, 5, 2, 7, 5, 1, 21, 14, 7, 1, 1, 10]
POP8	II	185998	186474	[186007, 186190, 186222, 186252, 186299, 186303, 186314, 186318, 186339]	[4, 1, 2, 1, 1, 18, 1, 1, 2]
RFT1	II	182401	184125	[182442, 182447, 182478, 182532, 182536, 182757, 182762, 183098, 183103, 183117, 183391, 183417, 183544, 183958]	[15, 1, 1, 5, 10, 4, 7, 4, 2, 4, 1, 7, 3, 1]
MCM2	II	174920	177526	[175203, 175387, 175392, 175410, 175415, 175421, 175667, 175682, 175684, 175777, 175780, 175781, 175784, 175894, 175898, 176060, 176709, 177025, 177029, 177247]	[1, 1, 6, 3, 13, 2, 3, 6, 6, 20, 1, 3, 1, 8, 27, 4, 11, 5, 1, 7]
LSM2	II	170623	171038	[170975, 170980]	[19, 16]
PET9	II	163041	163997	[163064, 163267, 163271, 163274, 163476, 163480, 163655, 163665, 163669, 163844, 163845, 163849]	[3, 1, 1, 2, 8, 1, 1, 9, 5, 1, 1, 10]
STU1	II	153848	158389	[153869, 153872, 154173, 154295, 154566, 154593, 154624, 154639, 154732, 154737, 154840, 154841, 154845, 154974, 155188, 155296, 155446, 155450, 155555, 155640, 155984, 155988, 156392, 157061, 157171, 157176, 157666, 157670, 157799, 157803, 157851, 157853, 157865, 157954, 157961, 158096, 158100, 158101, 158101, 158213, 158217, 158243, 158249]	[8, 2, 3, 2, 6, 5, 14, 1, 2, 25, 2, 3, 33, 8, 17, 6, 1, 47, 30, 1, 1, 1, 6, 29, 1, 2, 2, 1, 2, 27, 4, 6, 1, 4, 1, 18, 1, 1, 13, 2, 3, 3, 54]
POL12	II	151493	153610	[151573, 151592, 151620, 151986, 152061, 152611, 152616, 152726, 152755, 152759, 152825, 153142, 153250, 153256, 153499, 153503, 153521, 153600, 153604]	[1, 3, 1, 1, 3, 18, 4, 1, 29, 8, 1, 12, 5, 2, 28, 4, 1, 1, 41]
ERD2	II	142112	142868	[142259, 142343, 142391, 142394, 142399, 142404, 142469, 142473, 142482, 142487, 142621, 142625, 142635, 142718, 142722, 142801, 142805, 142811, 142826]	[1, 30, 1, 11, 37, 1, 6, 2, 4, 22, 11, 5, 1, 8, 23, 8, 15, 5, 8]
PRE7	II	141247	141972	[141630, 141745]	[15, 12]
SEC17	II	125125	126119	[125352, 125634, 125638, 125638, 125736, 125741, 125792, 125796, 125808, 125811, 125929]	[1, 15, 1, 2, 4, 2, 16, 3, 29, 1, 38]
YBL073W	II	87646	87957	[87663, 87738, 87740, 87819, 87826, 87847]	[18, 10, 4, 5, 27, 6]
AAR2	II	86722	87789	[86722, 86745, 87049, 87053, 87093, 87214, 87276, 87277, 87280, 87572, 87572, 87573, 87577, 87608, 87629, 87632, 87663, 87738, 87740]	[11, 1, 16, 13, 4, 23, 4, 1, 8, 4, 1, 8, 7, 1, 1, 2, 18, 10, 4]
ILS1	II	81043	84261	[81339, 81344, 81954, 81959, 82184, 82190, 82424, 82429, 82569, 82573, 82912, 83055, 83353, 83504, 83509, 83587, 83594, 83597, 83600, 83767, 83785, 84047]	[4, 2, 4, 3, 2, 5, 25, 1, 2, 12, 14, 22, 3, 1, 2, 13, 2, 13, 1, 22, 19, 3]
