Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[338, 347, 388, 389, 407, 429, 441, 450, 470, 475, 485, 492, 496, 523, 568, 579]	[2, 2, 1, 5, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 8, 4]
YAL068W-A	I	538	792	[568, 579, 706, 792]	[8, 4, 1, 1]
PAU8	I	1807	2169	[1814, 1819, 1829, 1935, 1936, 1967, 1977, 1989, 2000, 2011, 2080, 2134, 2140, 2157]	[4, 1, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1]
YAL067W-A	I	2480	2707	[2482, 2494, 2499, 2582, 2610, 2640]	[1, 6, 1, 2, 6, 2]
SEO1	I	7235	9016	[7298, 7331, 7352, 7388, 7404, 7433, 7457, 7474, 7663, 7683, 7752, 8116, 8173, 8290, 8343, 8631, 8648, 8736, 8739, 8784, 8791, 8814, 8829, 8839, 8870, 8871, 8889, 8906, 8932, 9006]	[2, 1, 1, 1, 1, 1, 1, 3, 4, 2, 1, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 2, 1]
YAL066W	I	10091	10399	[10094, 10127, 10244, 10267, 10278, 10284, 10299, 10311, 10318, 10374]	[1, 1, 8, 3, 1, 2, 1, 1, 32, 1]
YAL065C	I	11565	11951	[11786, 11837, 11846, 11852, 11869, 11882, 11891, 11941, 11946]	[7, 3, 3, 1, 1, 1, 1, 1, 1]
YAL064W-B	I	12046	12426	[12048, 12054, 12063, 12090, 12104, 12143, 12146, 12156, 12210, 12220, 12273, 12298, 12317, 12336, 12362, 12383, 12413, 12424]	[1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1]
TDA8	I	13363	13743	[13426, 13663, 13733, 13737]	[1, 2, 1, 1]
YAL064W	I	21566	21850	[21665, 21708, 21712, 21745, 21844]	[1, 1, 2, 31, 3]
YAL063C-A	I	22395	22685	[22402, 22410, 22413, 22422, 22506, 22506, 22581, 22642, 22669]	[2, 1, 1, 1, 1, 2, 5, 1, 2]
FLO9	I	24000	27968	[24022, 24026, 24035, 24052, 24061, 24066, 24084, 24119, 24149, 24179, 24183, 24218, 24230, 24262, 24268, 24278, 24300, 24322, 24360, 24422, 24425, 24425, 24426, 24430, 24512, 24573, 24578, 24580, 24621, 24647, 24716, 24717, 24718, 24720, 24732, 24751, 24789, 24795, 24854, 24975, 24976, 24995, 25000, 25028, 25107, 25167, 25248, 25314, 25503, 25522, 25529, 25540, 25552, 25558, 25569, 25576, 25578, 25585, 25590, 25609, 25620, 25626, 25637, 25679, 25686, 26479, 26614, 26700, 26749, 26835, 26884, 26945, 26988, 26995, 26998, 27027, 27072, 27081, 27130, 27154, 27224, 27255, 27295, 27429, 27627, 27782, 27819]	[1, 1, 1, 2, 1, 1, 1, 4, 2, 2, 75, 1, 17, 8, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 4, 9, 1, 1, 1, 1, 1, 29, 1, 1, 1, 1, 8, 3, 1, 4, 1, 1, 1, 1, 4, 1, 1, 2, 1, 1, 2, 1, 1, 4, 1, 3, 1, 1, 1, 12, 2, 12, 4, 2, 1, 8, 1, 1, 2, 3, 1, 3, 3, 17, 1, 2, 1, 10, 1, 2, 1, 1, 8, 1]
GDH3	I	31567	32940	[31609, 31618, 31646, 31661, 31682, 31689, 31694, 31694, 31695, 31730, 31730, 31745, 31751, 31751, 31772, 31782, 31786, 31797, 31809, 31854, 31857, 31867, 31900, 31901, 31941, 32008, 32032, 32053, 32063, 32068, 32108, 32125, 32130, 32131, 32140, 32145, 32172, 32182, 32182, 32216, 32222, 32247, 32278, 32280, 32280, 32281, 32305, 32317, 32326, 32384, 32429, 32456, 32468, 32478, 32483, 32488, 32501, 32519, 32528, 32542, 32548, 32551, 32554, 32585, 32590, 32608, 32633, 32729, 32765, 32822, 32826, 32864, 32901]	[6, 4, 1, 6, 2, 4, 1, 1, 3, 6, 1, 2, 1, 12, 1, 1, 5, 9, 15, 1, 2, 1, 1, 1, 6, 2, 1, 2, 1, 2, 14, 2, 1, 2, 2, 1, 1, 1, 2, 1, 2, 2, 3, 1, 1, 6, 1, 2, 1, 1, 1, 8, 1, 5, 1, 1, 2, 1, 3, 2, 1, 1, 1, 1, 2, 3, 7, 1, 2, 1, 1, 1, 3]
BDH2	I	33448	34701	[33484, 33524, 33532, 33581, 33593, 33622, 33681, 33684, 33691, 33807, 33842, 33845, 33877, 33883, 33893, 33952, 34180, 34201, 34223, 34249, 34257, 34275, 34296, 34326, 34328, 34343, 34397, 34402, 34408, 34444, 34456, 34458, 34468, 34486, 34488, 34524, 34527, 34527, 34528, 34561, 34582, 34588, 34604, 34609, 34631, 34633, 34698]	[3, 1, 2, 7, 1, 1, 1, 14, 1, 1, 1, 1, 85, 3, 1, 3, 1, 1, 2, 10, 3, 3, 1, 2, 2, 2, 1, 2, 6, 1, 1, 7, 11, 1, 1, 1, 1, 2, 1, 3, 3, 1, 2, 1, 1, 10, 1]
