Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[338, 347, 407, 429, 441, 470, 485, 492, 496, 523, 568, 579]	[2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 8, 3]
YAL068W-A	I	538	792	[568, 579, 792]	[8, 3, 1]
PAU8	I	1807	2169	[1814, 1829, 1935, 1981, 1987, 2000, 2006, 2011, 2080, 2140, 2157]	[3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1]
YAL067W-A	I	2480	2707	[2482, 2494, 2582, 2640]	[1, 7, 2, 2]
SEO1	I	7235	9016	[7299, 7331, 7352, 7404, 7433, 7457, 7474, 7663, 7683, 8116, 8173, 8290, 8343, 8631, 8648, 8736, 8739, 8791, 8839, 8871, 8889, 8906, 8932, 9006]	[1, 1, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 2, 1]
YAL066W	I	10091	10399	[10127, 10244, 10278, 10284, 10299, 10318, 10374]	[1, 8, 1, 2, 1, 32, 1]
YAL065C	I	11565	11951	[11846, 11852, 11868, 11941]	[2, 1, 1, 1]
YAL064W-B	I	12046	12426	[12054, 12143, 12146, 12317, 12336, 12383, 12413, 12424]	[1, 1, 1, 1, 1, 2, 1, 1]
TDA8	I	13363	13743	[13426, 13663, 13733, 13737]	[1, 2, 1, 1]
YAL064W	I	21566	21850	[21665, 21708, 21712, 21745]	[1, 1, 2, 31]
YAL063C-A	I	22395	22685	[22402, 22422, 22581]	[2, 1, 5]
FLO9	I	24000	27968	[24026, 24052, 24119, 24149, 24179, 24183, 24218, 24230, 24238, 24262, 24269, 24278, 24301, 24422, 24426, 24512, 24580, 24621, 24647, 24718, 24726, 24789, 24976, 24995, 25000, 25028, 25167, 25314, 25503, 25529, 25555, 25576, 25577, 25585, 25590, 25609, 25636, 25637, 25638, 25679, 25686, 26479, 26565, 26749, 26884, 26945, 26988, 26998, 27003, 27027, 27072, 27130, 27154, 27224, 27627, 27819]	[1, 1, 3, 4, 2, 75, 3, 11, 1, 7, 1, 3, 1, 1, 2, 1, 2, 9, 1, 1, 1, 1, 3, 1, 4, 1, 1, 4, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 6, 1, 15, 4, 1, 6, 1, 2, 3, 4, 1, 2, 15, 1, 1, 10, 1, 1]
