Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[147594, 147599, 147609, 147617, 147635, 147635, 147704, 148133, 148221, 148249, 148442, 148465, 148468, 148505, 148569, 148610, 148615, 148867, 148873, 148945, 148950, 149017, 149030, 149123, 150517, 150559, 150638, 150669, 150771, 150832, 150922, 150927, 150938, 150943, 150993, 151053, 151090, 151132, 151141]	[20, 9, 7, 3, 10, 1, 1, 1, 2, 1, 7, 12, 6, 2, 1, 1, 6, 14, 1, 1, 2, 8, 1, 3, 2, 9, 2, 1, 2, 2, 15, 2, 1, 1, 2, 4, 2, 1, 1]
EFB1	I	142174	143160	[142325, 143067]	[1, 2]
MAK16	I	100225	101145	[100242, 100787, 100804, 100867, 101018, 101022, 101051, 101073, 101112]	[26, 10, 1, 8, 1, 10, 1, 1, 2]
PRP45	I	83335	84474	[83342, 83347, 83374, 83392, 83410, 83449, 83458, 83469, 83498, 83511, 83527, 83573, 83574, 83643, 83666, 83692, 83693, 83695, 83723, 83747, 83764, 83818, 83822, 83854, 83865, 83878, 83887, 83907, 83997, 84002, 84119, 84400, 84409]	[3, 3, 1, 31, 26, 12, 5, 1, 20, 16, 2, 99, 7, 23, 6, 60, 10, 13, 1, 10, 1, 2, 19, 10, 19, 11, 4, 10, 13, 14, 2, 1, 6]
POP5	I	82706	83227	[82707, 82714]	[9, 1]
YAL034C-B	I	79489	79842	[79548, 79558, 79560, 79575, 79578, 79581, 79583, 79586, 79587, 79591, 79609, 79612, 79613, 79621, 79629, 79630, 79631, 79632, 79637, 79639, 79640, 79642, 79645, 79651, 79660, 79661, 79716, 79722, 79737]	[9, 36, 10, 2, 25, 24, 2, 128, 1, 13, 6, 1, 49, 3, 3, 23, 1, 57, 28, 17, 26, 54, 13, 11, 20, 3, 4, 1, 17]
MTW1	I	79718	80587	[79722, 79737, 79844, 79897, 79901, 80049, 80052, 80393, 80433, 80465, 80473, 80483, 80487, 80492, 80499, 80504, 80507, 80512, 80531, 80535, 80539, 80546, 80568]	[1, 17, 33, 11, 14, 2, 4, 1, 1, 5, 2, 4, 33, 11, 7, 2, 2, 33, 12, 10, 1, 6, 31]
CDC19	I	71786	73288	[71856, 72112, 72158, 72161, 72300, 72305, 72409, 72413, 72497, 72694, 72702, 72846, 72891]	[1, 2, 14, 5, 15, 18, 1, 12, 19, 2, 5, 2, 8]
CDC24	I	62840	65404	[62865, 62884, 62896, 62904, 62925, 62928, 62935, 63190, 63193, 63198, 63295, 63299, 63579, 63613, 63796, 63800, 63896, 63899, 63911, 64673, 64711, 64745, 64840, 64846, 65176, 65230, 65232]	[2, 66, 1, 1, 1, 23, 16, 1, 40, 14, 9, 8, 1, 16, 10, 11, 1, 1, 36, 2, 1, 94, 1, 83, 7, 1, 1]
PTA1	I	58695	61052	[58698, 58717, 58730, 58751, 58756, 58853, 59003, 59007, 59054, 59200, 59203, 59339, 59344, 59421, 59427, 59438, 59487, 59523, 59552, 59606, 59864, 59868, 60011, 60121, 60719, 60946, 61002, 61007]	[1, 1, 54, 1, 18, 1, 18, 6, 2, 1, 2, 2, 4, 11, 3, 5, 5, 3, 16, 1, 3, 1, 1, 7, 2, 1, 10, 49]
