Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[147832, 148071, 148220, 148470, 148484, 148553, 148586, 148608, 148952]	[1, 2, 2, 2, 1, 2, 1, 2, 2]
EFB1	I	142174	143160	[]	[]
MAK16	I	100225	101145	[100849, 100911]	[2, 2]
PRP45	I	83335	84474	[83519, 83582, 83652, 83680, 83685, 83739, 83821, 84116, 84119]	[1, 1, 1, 13, 1, 1, 1, 2, 1]
POP5	I	82706	83227	[]	[]
YAL034C-B	I	79489	79842	[79603, 79842]	[4, 1]
MTW1	I	79718	80587	[79842, 79898, 80048, 80483, 80578]	[1, 1, 1, 2, 3]
CDC19	I	71786	73288	[71883, 72163, 72298, 72302, 72557, 72695, 72697, 72887, 72903, 72925, 73088, 73208]	[1, 1, 2, 6, 2, 3, 1, 2, 2, 2, 2, 1]
CDC24	I	62840	65404	[62924, 62989, 63006, 63148, 63224, 63240, 63263, 63579, 63752, 63798, 63867, 63909, 64047, 64748, 64968, 65179, 65284, 65286]	[1, 1, 1, 2, 2, 1, 1, 2, 2, 4, 1, 1, 1, 1, 1, 2, 14, 2]
PTA1	I	58695	61052	[58695, 58748, 58886, 59003, 59007, 59057, 59299, 59880, 60050, 60059, 60084, 60213, 60574, 60883, 60991]	[1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]
RFA1	I	156754	158619	[158504]	[1]
SEN34	I	158966	159793	[159106, 159158, 159257, 159537, 159590, 159679, 159721, 159751, 159767, 159791]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 13]
CDC15	I	172211	175135	[172265, 172542, 172615, 172683, 172689, 172795, 172853, 172877, 172879, 172931, 173291, 173632, 173669, 173678, 173979, 174237, 174265, 174401, 174431, 174442, 174569]	[1, 6, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1]
HTA2	II	235394	235792	[]	[]
UTP20	II	227636	235117	[227663, 227834, 227840, 227851, 227979, 228237, 228308, 228330, 228399, 229810, 231200, 231239, 231263, 231638, 232252, 233969, 234020, 234574, 234611, 234614]	[1, 1, 1, 1, 1, 2, 4, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1]
RRN6	II	199064	201748	[199303, 199404, 199463, 199468, 200206, 200263, 200459, 200504, 200633, 200637, 200897, 200978, 201031, 201226, 201299, 201490]	[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]
POP8	II	185998	186474	[186007, 186245, 186272]	[2, 1, 2]
RFT1	II	182401	184125	[182427, 182430, 182534, 182848, 183083, 183095, 183420]	[1, 1, 3, 1, 1, 2, 2]
MCM2	II	174920	177526	[175334, 175457, 175475, 175552, 175783, 175850, 175897, 176713, 177027, 177124, 177145]	[1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1]
LSM2	II	170623	171038	[]	[]
PET9	II	163041	163997	[163096, 163216, 163291, 163581, 163586, 163658, 163677, 163918]	[1, 2, 1, 1, 1, 1, 1, 1]
STU1	II	153848	158389	[154089, 154092, 154103, 154137, 154332, 154735, 154848, 154899, 154924, 155191, 155231, 155244, 155309, 155372, 155899, 155986, 156296, 156301, 157061, 157174, 157666, 157849, 157958, 158131, 158149, 158154, 158175]	[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
POL12	II	151493	153610	[151569, 151744, 152615, 152668, 152821, 153315, 153487, 153523, 153561]	[1, 1, 1, 1, 1, 1, 1, 1, 2]
ERD2	II	142112	142868	[142212, 142259, 142397, 142426, 142689]	[1, 1, 1, 1, 1]
PRE7	II	141247	141972	[141251, 141462, 141490, 141537, 141631, 141679, 141725]	[1, 1, 1, 3, 2, 1, 2]
SEC17	II	125125	126119	[125825, 125859, 125860, 125894, 125926]	[1, 2, 1, 1, 1]
YBL073W	II	87646	87957	[87823, 87928]	[1, 2]
AAR2	II	86722	87789	[86885, 87208, 87533, 87542, 87577]	[1, 1, 2, 1, 1]
ILS1	II	81043	84261	[81093, 81146, 81896, 82472, 82617, 82638, 82696, 82913, 83052, 83578, 83655, 83762, 84008, 84088]	[1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]
YBL077W	II	80897	81328	[80907, 80954, 81093, 81146]	[2, 2, 1, 2]
CDC27	II	67169	69445	[67317, 67380, 67442, 67620, 67702, 67739, 67745, 67783, 67821, 67845, 67858, 67882, 67993, 68092, 69352]	[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]
RPL32	II	45978	46370	[46134]	[5]
BRN1	II	40831	43095	[40993, 41385, 41389, 41421, 41764, 42284, 42285, 42725, 42787, 42798, 42879, 42975, 43011, 43068]	[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2]
SFT2	II	24098	24745	[24684]	[1]
PKC1	II	14241	17696	[14901, 15029, 15047, 15270, 15333, 15341, 15351, 15541, 15602, 15621, 15659, 15902, 15911, 15973, 16018, 16099, 16283, 16501, 16534, 16549, 16602, 16664, 16989, 17055, 17147, 17300]	[1, 1, 1, 2, 6, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 35, 1, 1, 2, 1]
RER2	II	241708	242568	[241869, 241977, 242052, 242378, 242510]	[2, 1, 2, 1, 1]
GPI18	II	244366	245667	[244487, 244654, 244666, 244975, 245351, 245353, 245488]	[1, 2, 1, 1, 1, 1, 1]
HHF1	II	255373	255684	[255595, 255642]	[1, 1]
