Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[341, 359, 377, 387, 388, 389, 391, 443, 446, 449, 454, 460, 491, 495, 496, 498, 510, 522, 525, 527, 537, 563, 579, 611, 611]	[8, 1, 1, 41, 25, 1, 50, 18, 1, 1, 2, 1, 1, 28, 4, 4, 2, 2, 24, 1, 1, 24, 4, 1, 2]
YAL068W-A	I	538	792	[563, 579, 611, 611, 769]	[24, 4, 1, 2, 1]
PAU8	I	1807	2169	[1832, 1880, 1883, 1884, 1893, 1926, 1933, 1937, 1964, 1981, 1986, 2006, 2014, 2018, 2075, 2108, 2128, 2128, 2137, 2140, 2144, 2149, 2151]	[2, 20, 1, 2, 2, 1, 60, 17, 8, 3, 1, 1, 7, 34, 1, 1, 7, 1, 13, 1, 1, 1, 1]
YAL067W-A	I	2480	2707	[2518, 2582, 2610, 2611]	[1, 12, 1, 3]
SEO1	I	7235	9016	[7293, 7350, 7383, 7398, 7404, 7407, 7408, 7408, 7409, 7409, 7410, 7410, 7414, 7428, 7442, 7446, 7454, 7473, 7474, 7477, 7537, 7598, 7639, 7666, 7685, 7709, 7772, 7777, 7818, 8113, 8549, 8549, 8649, 8674, 8699, 8733, 8757, 8766, 8774, 8818, 8827, 8830, 8832, 8839, 8861, 8869, 8873, 8874, 8885, 8907, 8908, 8935, 8938, 8965, 8984, 8988, 8991, 9014]	[27, 1, 1, 2, 56, 3, 2, 14, 1, 1, 12, 1, 59, 1, 2, 2, 1, 5, 3, 53, 1, 1, 1, 5, 1, 2, 2, 12, 1, 1, 5, 1, 4, 1, 9, 97, 1, 3, 5, 1, 30, 1, 9, 3, 1, 67, 57, 4, 1, 4, 1, 2, 6, 1, 1, 6, 1, 13]
YAL066W	I	10091	10399	[10096, 10122, 10125, 10131, 10133, 10140, 10143, 10177, 10185, 10231, 10277, 10284, 10287, 10306, 10307, 10315, 10315, 10330, 10345, 10358, 10388, 10393]	[38, 1, 2, 1, 2, 1, 2, 2, 21, 27, 1, 1, 13, 2, 2, 1, 4, 1, 1, 1, 1, 11]
YAL065C	I	11565	11951	[11582, 11761, 11790, 11793, 11797, 11834, 11838, 11857, 11868, 11910, 11919]	[1, 1, 9, 1, 12, 47, 26, 8, 2, 2, 2]
YAL064W-B	I	12046	12426	[12072, 12077, 12145, 12149, 12162, 12186, 12208, 12224, 12276, 12280, 12340, 12344, 12382, 12390, 12406, 12418, 12422, 12426]	[1, 1, 53, 106, 1, 1, 1, 28, 21, 2, 61, 48, 23, 1, 2, 1, 1, 35]
TDA8	I	13363	13743	[13363, 13396, 13432, 13437, 13443, 13456, 13473, 13474, 13478, 13513, 13545, 13574, 13578, 13630, 13636, 13681, 13696]	[1, 1, 1, 20, 1, 2, 1, 37, 1, 1, 2, 26, 12, 1, 1, 1, 2]
YAL064W	I	21566	21850	[21637, 21646, 21666, 21705, 21788, 21793, 21809, 21813]	[4, 2, 2, 3, 2, 2, 4, 1]
YAL063C-A	I	22395	22685	[22406, 22425, 22441, 22446, 22501, 22505, 22510, 22519, 22584, 22594, 22599, 22610, 22631, 22652]	[1, 1, 2, 2, 1, 23, 47, 22, 1, 1, 9, 1, 4, 9]
