Gene Name	Protein Domain	Protein domain description	Protein start location	Protein End location	Method	Domain ID
AAC1	PF00153	Mitochondrial carrier protein; Mitochondrial substrate/solute carrier	10	106	Pfam	2106639
AAC1	PF00153	Mitochondrial carrier protein; Mitochondrial substrate/solute carrier	116	210	Pfam	2106640
AAC1	PF00153	Mitochondrial carrier protein; Mitochondrial substrate/solute carrier	217	304	Pfam	2106641
AAC3	PF00153	Mitochondrial carrier protein; Mitochondrial substrate/solute carrier	9	105	Pfam	2110562
AAC3	PF00153	Mitochondrial carrier protein; Mitochondrial substrate/solute carrier	115	208	Pfam	2110563
AAC3	PF00153	Mitochondrial carrier protein; Mitochondrial substrate/solute carrier	215	303	Pfam	2110564
AAD10	PF00248	Aldo/keto reductase family; NADP-dependent oxidoreductase domain	4	253	Pfam	2097899
AAD14	PF00248	Aldo/keto reductase family; NADP-dependent oxidoreductase domain	31	341	Pfam	2102600
AAD3	PF00248	Aldo/keto reductase family; NADP-dependent oxidoreductase domain	29	338	Pfam	2090045
AAD4	PF00248	Aldo/keto reductase family; NADP-dependent oxidoreductase domain	3	295	Pfam	2129345
AAH1	PF00962	Adenosine/AMP deaminase; Adenosine/AMP deaminase domain	10	336	Pfam	2125489
AAP1	PF01433	Peptidase family M1 domain; Peptidase M1, membrane alanine aminopeptidase	228	445	Pfam	2095121
AAP1	PF11838	ERAP1-like C-terminal domain; ERAP1-like C-terminal domain	517	832	Pfam	2117211
AAP1	PF17900	Peptidase M1 N-terminal domain	12	194	Pfam	2095126
AAR2	PF05282	AAR2 protein; A1 cistron-splicing factor, AAR2	6	303	Pfam	2088966
AAT1	PF00155	Aminotransferase class I and II; Aminotransferase, class I/classII	45	441	Pfam	2126268
AAT2	PF00155	Aminotransferase class I and II; Aminotransferase, class I/classII	31	405	Pfam	2111806
ABD1	PF03291	mRNA capping enzyme; mRNA (guanine-N(7))-methyltransferase domain	110	424	Pfam	2114988
ABF1	PF04684	BAF1 / ABF1 chromatin reorganising factor; BAF1 / ABF1 chromatin reorganising factor	7	731	Pfam	2098714
ABF2	PF00505	HMG (high mobility group) box; High mobility group box domain	43	110	Pfam	2126424
ABF2	PF00505	HMG (high mobility group) box; High mobility group box domain	116	181	Pfam	2126425
ABP1	PF00018	SH3 domain; SH3 domain	539	585	Pfam	2110155
ABP1	PF00241	Cofilin/tropomyosin-type actin-binding protein; Actin-depolymerising factor homology domain	23	133	Pfam	2090177
ABP140	PF08242	Methyltransferase domain; Methyltransferase type 12	439	543	Pfam	2129703
ABZ1	PF00117	Glutamine amidotransferase class-I; Glutamine amidotransferase	19	224	Pfam	2117130
ABZ1	PF00425	chorismate binding enzyme; Chorismate-utilising enzyme, C-terminal	500	778	Pfam	2117131
ABZ1	PF04715	Anthranilate synthase component I, N terminal region; Anthranilate synthase component I, N-terminal	299	450	Pfam	2117132
ABZ2	PF01063	Amino-transferase class IV; Aminotransferase class IV	112	367	Pfam	2126947
ACA1	PF00170	bZIP transcription factor; Basic-leucine zipper domain	383	443	Pfam	2120472
ACB1	PF00887	Acyl CoA binding protein; Acyl-CoA-binding protein, ACBP	5	82	Pfam	2095842
ACC1	PF00289	Biotin carboxylase, N-terminal domain; Biotin carboxylase-like, N-terminal domain	59	180	Pfam	2126173
ACC1	PF00364	Biotin-requiring enzyme; Biotin/lipoyl attachment	702	767	Pfam	2126174
ACC1	PF01039	Carboxyl transferase domain; Acetyl-CoA carboxylase	1574	2130	Pfam	2126175
ACC1	PF02785	Biotin carboxylase C-terminal domain; Biotin carboxylase, C-terminal	457	563	Pfam	2126176
ACC1	PF02786	Carbamoyl-phosphate synthase L chain, ATP binding domain; Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain	233	413	Pfam	2126177
ACC1	PF08326	Acetyl-CoA carboxylase, central region; Acetyl-CoA carboxylase, central domain	768	1479	Pfam	2126178
ACE2	PF00096	Zinc finger, C2H2 type; Zinc finger C2H2-type	603	627	Pfam	2111123
ACE2	PF00096	Zinc finger, C2H2 type; Zinc finger C2H2-type	633	657	Pfam	2111124
ACF2	PF03639	Glycosyl hydrolase family 81 N-terminal domain; Glycosyl hydrolase family 81, N-terminal	96	410	Pfam	2099872
ACF2	PF17652	Glycosyl hydrolase family 81 C-terminal domain; Glycosyl hydrolase family 81, C-terminal domain	420	772	Pfam	2099874
ACH1	PF02550	Acetyl-CoA hydrolase/transferase N-terminal domain; Acetyl-CoA hydrolase/transferase	12	230	Pfam	2113826
