Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[147595, 147600, 147601, 147606, 147617, 147633, 147640, 147702, 147708, 147753, 147829, 147833, 147871, 147936, 148222, 148251, 148256, 148344, 148441, 148444, 148460, 148461, 148464, 148466, 148575, 148608, 148614, 148698, 148868, 148872, 148950, 148954, 148955, 149018, 149123, 149127, 149131, 149541, 150385, 150388, 150389, 150515, 150553, 150559, 150665, 150669, 150718, 150922, 150924, 150925, 150927, 151047, 151086, 151090]	[472, 14, 94, 448, 439, 38, 279, 2, 19, 4, 8, 5, 1, 510, 6, 62, 1, 30, 3, 11, 1, 15, 1, 111, 25, 8, 102, 119, 3, 21, 310, 6, 6, 5, 15, 10, 3, 10, 32, 1, 5, 17, 22, 63, 13, 51, 3, 67, 2, 1, 13, 2, 2, 103]
EFB1	I	142174	143160	[142321, 142322, 142326, 142930]	[4, 1, 25, 4]
MAK16	I	100225	101145	[100244, 100251, 100410, 100788, 101016, 101017, 101018, 101022]	[8, 383, 1, 22, 6, 1, 1, 64]
PRP45	I	83335	84474	[83336, 83354, 83358, 83439, 83456, 83462, 83462, 83488, 83498, 83500, 83517, 83518, 83521, 83530, 83534, 83537, 83574, 83577, 83578, 83635, 83651, 83657, 83687, 83699, 83705, 83747, 83818, 83819, 83822, 83856, 83866, 83879, 83889, 83990, 83997, 83997, 84001, 84011, 84026, 84031, 84114, 84118, 84405, 84409]	[33, 92, 3, 1, 286, 169, 3, 12, 6, 64, 5, 11, 4, 3, 2, 327, 59, 1, 6, 30, 164, 1, 109, 5, 179, 86, 35, 1, 41, 125, 46, 49, 39, 2, 81, 50, 60, 12, 30, 1, 29, 97, 9, 7]
POP5	I	82706	83227	[82706, 82710, 83001, 83041]	[49, 91, 14, 7]
YAL034C-B	I	79489	79842	[79552, 79558, 79561, 79566, 79576, 79579, 79582, 79583, 79584, 79585, 79586, 79587, 79590, 79594, 79601, 79609, 79610, 79621, 79631, 79637, 79640, 79643, 79648, 79650, 79654, 79660, 79668, 79707, 79712, 79717, 79721, 79734, 79737, 79840]	[227, 66, 1, 554, 355, 87, 384, 12, 106, 231, 282, 113, 66, 96, 43, 23, 1, 111, 248, 3, 264, 472, 1, 185, 61, 5, 77, 1, 13, 4, 11, 15, 6, 1]
MTW1	I	79718	80587	[79721, 79734, 79737, 79840, 79844, 79897, 79898, 79900, 79901, 80053, 80465, 80471, 80480, 80496, 80501, 80506, 80518, 80525, 80530, 80549, 80552, 80571, 80576, 80586]	[11, 15, 6, 1, 47, 112, 1, 3, 130, 71, 61, 74, 78, 169, 6, 6, 18, 39, 4, 9, 2, 10, 72, 92]
CDC19	I	71786	73288	[72110, 72117, 72157, 72157, 72159, 72161, 72162, 72162, 72163, 72300, 72301, 72304, 72306, 72409, 72413, 72494, 72497, 72551, 72693, 72699, 72884, 72886, 72886, 72887, 72887, 72891, 73229, 73244, 73267, 73275]	[3, 1, 113, 1, 90, 1, 1, 57, 1, 2, 53, 1, 48, 38, 20, 1, 114, 182, 15, 85, 1, 6, 1, 1, 2, 144, 2, 12, 135, 1]
CDC24	I	62840	65404	[62841, 62843, 62844, 62874, 62927, 62935, 62940, 63193, 63195, 63196, 63197, 63295, 63299, 63613, 63617, 63618, 63618, 63795, 63801, 63907, 63911, 64671, 64746, 64749, 64844, 64847, 65176, 65181, 65234, 65284, 65290, 65373]	[2, 1, 4, 37, 8, 54, 1, 95, 1, 1, 51, 12, 4, 132, 1, 1, 2, 1, 23, 2, 29, 16, 203, 1, 10, 159, 69, 42, 36, 42, 2, 15]
PTA1	I	58695	61052	[58697, 58854, 59003, 59007, 59055, 59059, 59060, 59180, 59340, 59345, 59423, 59436, 59441, 59462, 59493, 59523, 59529, 59535, 59546, 59602, 59646, 59864, 59868, 59875, 60121, 60130, 60371, 60376, 60688, 60719, 60948, 60952, 61002, 61006]	[1, 36, 11, 144, 25, 10, 1, 2, 27, 38, 15, 45, 20, 27, 4, 6, 25, 17, 9, 14, 35, 41, 38, 1, 53, 5, 2, 8, 1, 7, 3, 1, 17, 169]
