Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[341, 350, 368, 379, 387, 388, 391, 393, 397, 414, 435, 476, 485, 486, 487, 491, 494, 496, 497, 503, 506, 512, 516, 517, 525, 537, 565, 568, 570, 580, 589, 604]	[7, 71, 1, 13, 32, 6, 57, 8, 3, 9, 6, 8, 164, 1, 19, 8, 111, 2, 2, 1, 29, 13, 4, 1, 53, 1, 2, 15, 1, 17, 7, 34]
YAL068W-A	I	538	792	[565, 568, 570, 580, 589, 604, 709]	[2, 15, 1, 17, 7, 34, 6]
PAU8	I	1807	2169	[1820, 1844, 1850, 1880, 1899, 1932, 1937, 1981, 2013, 2019, 2086, 2134, 2161]	[12, 3, 1, 15, 1, 16, 28, 9, 5, 13, 1, 11, 10]
YAL067W-A	I	2480	2707	[2518, 2552, 2561, 2570, 2587, 2595, 2609, 2615]	[2, 1, 6, 2, 6, 20, 1, 1]
SEO1	I	7235	9016	[7242, 7268, 7294, 7339, 7404, 7408, 7409, 7447, 7477, 7485, 7523, 7526, 7552, 7563, 7578, 7587, 7708, 7732, 7771, 7776, 7779, 7816, 7825, 7859, 7959, 8096, 8107, 8123, 8183, 8203, 8242, 8391, 8409, 8556, 8566, 8575, 8578, 8647, 8657, 8733, 8742, 8753, 8757, 8819, 8827, 8832, 8849, 8868, 8870, 8873, 8874, 8875, 8885, 8889, 8893, 8918, 8930, 8933, 8938, 8954, 8965, 8983, 8987, 9014]	[35, 1, 10, 1, 5, 61, 2, 1, 50, 1, 1, 1, 1, 68, 1, 25, 5, 2, 1, 1, 2, 2, 1, 4, 19, 1, 2, 2, 1, 1, 2, 2, 2, 5, 1, 3, 6, 1, 1, 36, 10, 21, 1, 4, 17, 5, 1, 1, 1, 3, 28, 6, 24, 16, 1, 13, 10, 30, 86, 16, 1, 1, 10, 1]
YAL066W	I	10091	10399	[10124, 10149, 10185, 10190, 10210, 10230, 10252, 10282, 10284, 10298, 10303, 10306, 10329, 10335, 10350, 10377, 10388, 10393]	[2, 1, 35, 13, 1, 7, 1, 8, 1, 2, 57, 40, 10, 6, 9, 7, 1, 16]
YAL065C	I	11565	11951	[11579, 11604, 11764, 11774, 11784, 11793, 11820, 11835, 11839, 11845, 11857, 11860, 11865, 11875, 11900, 11919, 11925, 11926, 11935, 11943, 11948]	[1, 36, 1, 3, 8, 9, 1, 58, 3, 14, 13, 5, 8, 1, 1, 3, 4, 13, 3, 17, 2]
YAL064W-B	I	12046	12426	[12060, 12092, 12144, 12150, 12154, 12189, 12201, 12262, 12308, 12332, 12340, 12344, 12351, 12353, 12364, 12368, 12378, 12381, 12384, 12393, 12396, 12426]	[1, 36, 4, 82, 4, 1, 130, 35, 4, 2, 25, 2, 1, 1, 54, 6, 1, 24, 4, 6, 1, 6]
TDA8	I	13363	13743	[13366, 13401, 13418, 13428, 13441, 13448, 13480, 13489, 13541, 13544, 13560, 13570, 13574, 13578, 13586, 13613, 13620, 13629, 13700, 13710, 13714, 13725, 13734]	[1, 2, 5, 56, 2, 37, 1, 11, 1, 1, 14, 5, 5, 2, 2, 3, 1, 2, 1, 4, 15, 33, 46]
YAL064W	I	21566	21850	[21568, 21580, 21616, 21641, 21646, 21655, 21665, 21680, 21705, 21709, 21745, 21791, 21796, 21799, 21801, 21802, 21824, 21850]	[2, 3, 2, 5, 2, 1, 1, 7, 1, 1, 16, 4, 1, 3, 45, 1, 24, 23]
YAL063C-A	I	22395	22685	[22426, 22445, 22478, 22494, 22498, 22499, 22504, 22506, 22509, 22520, 22527, 22538, 22549, 22549, 22593, 22597, 22615, 22629, 22632, 22647, 22657, 22662, 22669, 22679, 22681]	[23, 1, 2, 1, 14, 5, 8, 5, 17, 4, 6, 25, 1, 18, 13, 17, 1, 16, 15, 33, 17, 44, 28, 4, 5]
