Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[336, 340, 344, 349, 353, 381, 387, 391, 397, 441, 446, 476, 489, 495, 496, 496, 501, 504, 509, 509, 510, 510, 511, 516, 517, 522, 525, 563, 564, 571, 573, 579, 583, 596]	[391, 57, 1, 2, 2, 1, 108, 8, 1, 182, 94, 2, 73, 118, 7, 71, 35, 1, 1, 212, 1, 111, 1, 94, 200, 4, 15, 21, 71, 46, 272, 3, 3, 1]
YAL068W-A	I	538	792	[563, 564, 571, 573, 579, 583, 596, 687, 695, 707]	[21, 71, 46, 272, 3, 3, 1, 112, 234, 108]
PAU8	I	1807	2169	[1809, 1811, 1813, 1816, 1820, 1829, 1880, 1884, 1894, 1899, 1932, 1937, 1962, 1962, 1982, 1992, 1996, 2009, 2014, 2017, 2018, 2019, 2021, 2059, 2100, 2137]	[53, 60, 16, 12, 216, 1, 87, 10, 12, 15, 182, 6, 114, 1, 17, 1, 4, 1, 119, 1, 57, 1, 42, 1, 185, 135]
YAL067W-A	I	2480	2707	[2485, 2491, 2495, 2498, 2505, 2552, 2572, 2585, 2591, 2600, 2610, 2622]	[1, 55, 99, 18, 45, 5, 26, 2, 2, 80, 47, 38]
SEO1	I	7235	9016	[7245, 7253, 7294, 7307, 7348, 7351, 7360, 7362, 7366, 7404, 7405, 7407, 7409, 7449, 7456, 7473, 7478, 7658, 7772, 7773, 7776, 7837, 7868, 7929, 7934, 8171, 8202, 8241, 8246, 8250, 8287, 8359, 8462, 8492, 8686, 8698, 8703, 8733, 8737, 8755, 8826, 8827, 8828, 8829, 8831, 8867, 8868, 8869, 8873, 8874, 8911, 8966, 8983, 8987, 9014]	[17, 118, 318, 1, 1, 443, 254, 395, 33, 116, 5, 1, 85, 2, 2, 1, 2, 1, 9, 1, 42, 49, 198, 101, 57, 1, 178, 11, 8, 3, 43, 16, 69, 1, 6, 54, 1, 123, 9, 11, 2, 46, 1, 1, 66, 1, 1, 70, 66, 1, 84, 1, 6, 55, 32]
YAL066W	I	10091	10399	[10093, 10094, 10135, 10179, 10186, 10217, 10223, 10231, 10247, 10276, 10281, 10287, 10296, 10298, 10301, 10305, 10311, 10315, 10321, 10388, 10393]	[1, 18, 1, 1, 332, 15, 29, 38, 89, 1, 240, 82, 46, 125, 210, 2, 46, 204, 160, 13, 173]
YAL065C	I	11565	11951	[11629, 11689, 11722, 11728, 11753, 11773, 11779, 11801, 11830, 11834, 11839, 11870, 11893, 11899, 11902, 11905, 11932]	[124, 226, 27, 16, 1, 175, 55, 21, 85, 68, 99, 1, 2, 378, 1, 1, 243]
YAL064W-B	I	12046	12426	[12050, 12054, 12079, 12091, 12144, 12144, 12145, 12149, 12187, 12301, 12313, 12340, 12344, 12345, 12346, 12349, 12351, 12355, 12362, 12378, 12399, 12423]	[298, 1, 1, 1, 14, 1, 12, 43, 1, 87, 112, 94, 4, 1, 20, 1, 99, 1, 98, 12, 1, 2]
TDA8	I	13363	13743	[13370, 13441, 13444, 13457, 13477, 13501, 13574, 13579, 13612, 13613, 13643, 13721, 13724]	[580, 3, 221, 1, 8, 89, 50, 24, 107, 69, 212, 170, 144]
YAL064W	I	21566	21850	[21636, 21641, 21654, 21665, 21701, 21739, 21748, 21755, 21791, 21813, 21844]	[1, 46, 7, 182, 1, 5, 2, 3, 55, 14, 37]
YAL063C-A	I	22395	22685	[22463, 22497, 22498, 22500, 22505, 22506, 22507, 22507, 22509, 22509, 22512, 22559, 22583, 22588, 22621, 22685]	[339, 116, 68, 3, 185, 243, 2, 393, 1, 35, 1193, 88, 14, 273, 88, 61]
FLO9	I	24000	27968	[24010, 24018, 24036, 24037, 24050, 24051, 24057, 24061, 24070, 24078, 24088, 24105, 24107, 24108, 24109, 24113, 24117, 24121, 24143, 24146, 24173, 24184, 24189, 24205, 24210, 24211, 24214, 24224, 24232, 24246, 24262, 24266, 24268, 24269, 24270, 24271, 24271, 24274, 24325, 24331, 24375, 24401, 24413, 24420, 24424, 24428, 24445, 24454, 24463, 24477, 24482, 24511, 24515, 24515, 24520, 24577, 24581, 24583, 24619, 24641, 24754, 24762, 24765, 24766, 24782, 24785, 24795, 24797, 24798, 24799, 24802, 24804, 24805, 24808, 24816, 24831, 24836, 24852, 24872, 24875, 24876, 24880, 24895, 24963, 24967, 24975, 24976, 24978, 24986, 24992, 24995, 25015, 25138, 25139, 25151, 25155, 25159, 25172, 25175, 25176, 25188, 25299, 25321, 25330, 25392, 25396, 25424, 25451, 25460, 25469, 25489, 25497, 25505, 25521, 25527, 25531, 25537, 25543, 25565, 25570, 25574, 25578, 25581, 25585, 25589, 25596, 25604, 25604, 25605, 25608, 25612, 25620, 25623, 25629, 25630, 25630, 25636, 25636, 25637, 25637, 25638, 25638, 25639, 25640, 25643, 25643, 25665, 25676, 25686, 25704, 25710, 25848, 26525, 26565, 26660, 26700, 26795, 26835, 26887, 26902, 26923, 26939, 26945, 26972, 26985, 26989, 26995, 26998, 27008, 27035, 27046, 27051, 27065, 27088, 27117, 27125, 27130, 27133, 27236, 27240, 27259, 27261, 27282, 27287, 27292, 27295, 27316, 27339, 27343, 27382, 27393, 27585, 27599, 27675, 27751, 27758, 27883, 27887]	[33, 32, 22, 10, 94, 19, 55, 124, 32, 119, 26, 13, 10, 34, 32, 2, 79, 37, 67, 103, 277, 1, 41, 187, 51, 59, 223, 591, 64, 99, 63, 84, 1, 1, 35, 1, 48, 2, 2, 2, 1, 48, 66, 252, 1, 39, 4, 347, 162, 127, 1, 1, 1, 10, 1, 35, 29, 82, 1, 230, 98, 394, 30, 102, 8, 54, 278, 4, 1, 30, 491, 106, 1, 33, 111, 9, 39, 224, 173, 4, 1, 35, 11, 28, 32, 125, 1, 3, 19, 37, 5, 188, 25, 102, 1, 4, 50, 2, 21, 60, 227, 14, 5, 14, 298, 1, 4, 3, 10, 1, 1, 1, 77, 137, 81, 6, 2, 647, 123, 180, 63, 19, 22, 70, 21, 293, 2, 21, 14, 2, 119, 114, 3, 319, 10, 1, 509, 1, 1, 2, 2, 3, 4, 495, 1, 1, 32, 96, 28, 3, 7, 1, 19, 18, 23, 18, 20, 13, 16, 2, 1, 1, 309, 1, 183, 1, 68, 87, 97, 2, 1, 3, 34, 1, 1, 69, 143, 1, 560, 1, 9, 4, 326, 1, 302, 10, 1, 1, 32, 3, 50, 84, 38, 96, 4, 52, 6, 7]
GDH3	I	31567	32940	[31584, 31600, 31604, 31617, 31656, 31669, 31670, 31675, 31680, 31680, 31682, 31683, 31684, 31687, 31689, 31692, 31692, 31693, 31696, 31734, 31740, 31748, 31752, 31753, 31761, 31764, 31787, 31851, 31855, 31858, 31872, 31875, 31891, 31897, 31913, 31920, 31939, 31945, 31964, 31968, 32000, 32026, 32029, 32046, 32059, 32065, 32070, 32080, 32100, 32116, 32122, 32131, 32140, 32177, 32181, 32185, 32192, 32251, 32277, 32280, 32281, 32310, 32321, 32382, 32382, 32384, 32386, 32392, 32407, 32421, 32439, 32444, 32449, 32451, 32453, 32460, 32472, 32476, 32499, 32569, 32588, 32588, 32589, 32593, 32598, 32603, 32608, 32619, 32620, 32630, 32636, 32639, 32641, 32646, 32648, 32651, 32652, 32658, 32659, 32675, 32681, 32699, 32753, 32771, 32785, 32801, 32805, 32809, 32812, 32817, 32821, 32822, 32828, 32830, 32830, 32832, 32861, 32862, 32868, 32881, 32897, 32899, 32900, 32901, 32902, 32904, 32921, 32932]	[10, 16, 334, 76, 23, 108, 10, 1, 38, 3, 194, 3, 361, 25, 98, 3, 77, 47, 147, 2, 146, 61, 659, 36, 6, 76, 161, 1, 71, 127, 2, 1, 115, 26, 59, 9, 188, 3, 6, 21, 1, 67, 166, 468, 323, 77, 19, 1, 100, 722, 18, 53, 98, 5, 4, 174, 102, 242, 113, 1, 16, 20, 30, 22, 1, 1, 37, 62, 7, 131, 78, 1, 99, 60, 3, 107, 6, 42, 172, 5, 11, 1, 24, 91, 25, 351, 178, 12, 52, 56, 1, 107, 182, 320, 70, 1, 101, 510, 55, 654, 316, 38, 14, 303, 40, 1, 253, 71, 1, 105, 152, 8, 52, 14, 67, 96, 26, 67, 9, 55, 73, 169, 1, 112, 78, 102, 220, 71]
BDH2	I	33448	34701	[33519, 33543, 33547, 33577, 33583, 33625, 33629, 33650, 33651, 33659, 33662, 33700, 33702, 33704, 33726, 33726, 33752, 33756, 33764, 33794, 33833, 33845, 33852, 33860, 33872, 33893, 33985, 33988, 33990, 34023, 34029, 34034, 34038, 34043, 34054, 34124, 34125, 34150, 34157, 34167, 34186, 34189, 34211, 34250, 34264, 34280, 34305, 34323, 34325, 34328, 34339, 34357, 34364, 34375, 34377, 34377, 34395, 34403, 34404, 34408, 34415, 34423, 34436, 34440, 34447, 34459, 34466, 34467, 34478, 34482, 34502, 34510, 34510, 34516, 34518, 34524, 34525, 34528, 34528, 34561, 34564, 34569, 34572, 34584, 34593, 34599, 34601, 34603, 34606, 34608, 34613, 34613, 34618, 34629, 34631, 34637, 34640, 34645, 34650, 34654, 34660, 34661, 34666, 34681, 34696, 34696, 34699]	[9, 19, 1187, 177, 3, 33, 11, 198, 210, 258, 42, 342, 120, 1, 147, 40, 114, 17, 203, 142, 62, 165, 449, 1, 1638, 338, 16, 1, 10, 163, 2, 25, 55, 48, 16, 1, 206, 243, 398, 331, 1, 285, 28, 622, 1, 2, 38, 209, 1, 1, 2, 1, 92, 117, 124, 102, 209, 4, 153, 43, 123, 198, 78, 30, 91, 1, 86, 115, 255, 30, 177, 451, 9, 123, 63, 27, 316, 216, 19, 162, 266, 827, 228, 545, 669, 434, 602, 452, 29, 129, 254, 675, 267, 746, 14, 104, 23, 75, 253, 2, 199, 223, 1, 289, 1, 1, 130]
BDH1	I	35155	36303	[35157, 35160, 35190, 35203, 35222, 35236, 35277, 35292, 35304, 35310, 35315, 35355, 35358, 35371, 35371, 35373, 35375, 35376, 35377, 35438, 35451, 35475, 35479, 35506, 35514, 35515, 35523, 35535, 35542, 35577, 35577, 35578, 35581, 35584, 35585, 35689, 35689, 35692, 35695, 35696, 35696, 35700, 35702, 35705, 35836, 35912, 35926, 35930, 36007, 36028, 36033, 36048, 36052, 36060, 36099, 36104, 36123, 36128, 36162, 36162, 36165, 36166, 36166, 36227, 36241, 36249, 36277, 36283]	[70, 46, 8, 20, 202, 3, 9, 53, 52, 1, 1, 1, 80, 88, 6, 1, 64, 1, 193, 293, 1, 630, 1, 294, 45, 1, 62, 17, 254, 2, 1, 3, 41, 1, 196, 2, 7, 13, 13, 66, 43, 55, 33, 1, 41, 140, 11, 9, 39, 1, 338, 1, 1, 131, 10, 1, 331, 127, 27, 1, 1, 1, 19, 4, 12, 210, 59, 541]
YAL059C-A	I	36496	36918	[36496, 36500, 36502, 36508, 36510, 36519, 36528, 36579, 36584, 36664, 36674, 36703, 36709, 36824, 36828, 36833, 36838, 36841, 36843, 36896, 36899, 36911]	[585, 83, 174, 149, 106, 1623, 1, 22, 4, 259, 103, 30, 192, 29, 3, 6, 1, 52, 2, 1, 81, 1]
ECM1	I	36509	37147	[36510, 36519, 36528, 36579, 36584, 36664, 36674, 36703, 36709, 36824, 36828, 36833, 36838, 36841, 36843, 36896, 36899, 36911, 36994, 36994, 37009, 37034, 37051, 37055]	[106, 1623, 1, 22, 4, 259, 103, 30, 192, 29, 3, 6, 1, 52, 2, 1, 81, 1, 452, 240, 502, 353, 2, 39]
CNE1	I	37464	38972	[37519, 37523, 37527, 37535, 37540, 37571, 37613, 37616, 37689, 37692, 37693, 37697, 37697, 37699, 37703, 37708, 37727, 37731, 37753, 37869, 37871, 37875, 37876, 37879, 37994, 37999, 38001, 38005, 38079, 38185, 38220, 38232, 38237, 38286, 38315, 38344, 38365, 38371, 38409, 38412, 38413, 38438, 38442, 38509, 38543, 38558, 38561, 38562, 38562, 38566, 38628, 38648, 38652, 38667, 38674, 38677, 38677, 38678, 38678, 38682, 38682, 38727, 38733, 38737, 38742, 38748, 38749, 38752, 38768, 38771, 38794, 38801, 38802, 38807, 38876, 38879, 38884, 38888, 38896, 38899, 38905, 38910, 38931]	[554, 97, 1, 1, 28, 77, 17, 3, 533, 29, 257, 96, 17, 168, 21, 30, 74, 42, 17, 1, 21, 36, 1, 14, 31, 3, 1, 144, 152, 163, 2, 62, 2, 4, 217, 164, 184, 161, 19, 165, 40, 40, 46, 172, 114, 133, 1, 39, 39, 2, 553, 1, 67, 23, 2, 1, 5, 58, 4, 151, 234, 313, 112, 200, 65, 433, 198, 1, 1, 93, 6, 12, 1, 58, 349, 17, 2, 36, 514, 19, 31, 35, 21]
YAL056C-A	I	38696	39046	[38727, 38733, 38737, 38742, 38748, 38749, 38752, 38768, 38771, 38794, 38801, 38802, 38807, 38876, 38879, 38884, 38888, 38896, 38899, 38905, 38910, 38931, 38994, 38998]	[313, 112, 200, 65, 433, 198, 1, 1, 93, 6, 12, 1, 58, 349, 17, 2, 36, 514, 19, 31, 35, 21, 63, 8]
GPB2	I	39259	41901	[39262, 39317, 39381, 39490, 39557, 39612, 39648, 39673, 39835, 39931, 39957, 39963, 39983, 40156, 40158, 40160, 40161, 40232, 40268, 40303, 40308, 40309, 40342, 40355, 40367, 40371, 40443, 40529, 40578, 40649, 40757, 40782, 40798, 40802, 40907, 40973, 41004, 41012, 41065, 41070, 41097, 41101, 41106, 41115, 41122, 41126, 41165, 41178, 41208, 41242, 41341, 41345, 41382, 41404, 41404, 41405, 41409, 41490, 41528, 41535, 41698, 41752, 41783, 41825, 41846, 41851, 41851, 41855, 41859, 41888]	[7, 12, 1, 501, 33, 5, 84, 13, 13, 2, 44, 10, 6, 267, 1, 2, 63, 546, 21, 40, 1, 25, 96, 6, 8, 5, 237, 2, 10, 62, 50, 41, 39, 10, 63, 67, 6, 36, 61, 8, 1, 70, 49, 1, 69, 1, 46, 8, 6, 4, 2, 13, 270, 3, 2, 2, 81, 220, 13, 2, 18, 32, 3, 1, 2, 25, 2, 1, 1, 2]
PEX22	I	42177	42719	[42180, 42181, 42264, 42272, 42291, 42300, 42302, 42305, 42308, 42321, 42324, 42330, 42332, 42344, 42348, 42459, 42464, 42489, 42540, 42557, 42638, 42646, 42676, 42699]	[1, 117, 26, 102, 1, 108, 51, 171, 128, 30, 158, 538, 52, 1, 112, 25, 77, 77, 13, 6, 31, 20, 37, 4]
ACS1	I	42881	45022	[42998, 43001, 43009, 43013, 43018, 43024, 43030, 43037, 43109, 43113, 43121, 43127, 43164, 43182, 43188, 43198, 43229, 43232, 43250, 43292, 43313, 43322, 43357, 43364, 43377, 43391, 43396, 43406, 43430, 43437, 43445, 43450, 43491, 43546, 43549, 43573, 43603, 43610, 43617, 43618, 43621, 43623, 43623, 43628, 43650, 43660, 43665, 43668, 43672, 43674, 43693, 43698, 43704, 43713, 43720, 43736, 43793, 43801, 43897, 43900, 43988, 43991, 43997, 44024, 44045, 44049, 44051, 44056, 44067, 44081, 44083, 44091, 44106, 44108, 44109, 44110, 44163, 44170, 44191, 44209, 44221, 44229, 44234, 44275, 44290, 44324, 44336, 44435, 44435, 44437, 44439, 44443, 44540, 44587, 44598, 44600, 44602, 44603, 44648, 44651, 44655, 44697, 44699, 44708, 44727, 44832, 44864, 44874, 44877, 44879, 44883, 44894, 44900, 44907, 44912]	[5, 8, 2, 7, 147, 1, 62, 71, 60, 231, 30, 5, 214, 382, 63, 175, 1, 103, 1, 77, 1, 59, 131, 608, 90, 3, 67, 512, 18, 5, 1, 67, 7, 36, 104, 18, 77, 2, 22, 112, 203, 57, 14, 143, 11, 35, 98, 181, 71, 143, 194, 77, 2, 215, 57, 40, 31, 32, 22, 65, 152, 1, 1, 84, 438, 112, 1, 621, 89, 1, 16, 84, 262, 1, 2, 8, 34, 3, 501, 129, 168, 77, 1, 19, 30, 62, 54, 71, 1, 1, 104, 32, 621, 191, 240, 1, 6, 82, 53, 1, 15, 101, 611, 134, 431, 97, 71, 38, 74, 12, 2, 20, 22, 17, 8]
FLC2	I	45899	48250	[45901, 45902, 45951, 46008, 46040, 46059, 46068, 46201, 46219, 46262, 46272, 46277, 46365, 46375, 46420, 46472, 46504, 46509, 46521, 46525, 46526, 46535, 46547, 46588, 46655, 46780, 46856, 46860, 46929, 46933, 46975, 47123, 47137, 47155, 47218, 47222, 47302, 47415, 47418, 47420, 47464, 47571, 47576, 47621, 47625, 47626, 47638, 47765, 47789, 47808, 47870, 47948, 47955, 47960, 47990, 48000, 48007, 48022, 48036, 48043, 48119, 48128, 48132, 48142, 48148, 48150, 48162, 48168, 48182, 48189]	[12, 3, 19, 28, 5, 61, 59, 28, 8, 8, 44, 2, 525, 308, 2, 102, 10, 7, 121, 43, 392, 257, 237, 24, 18, 9, 2, 63, 1, 404, 29, 1, 37, 22, 19, 11, 17, 26, 2, 50, 52, 1, 37, 1, 9, 12, 24, 107, 134, 63, 86, 24, 6, 93, 88, 15, 42, 30, 11, 26, 8, 76, 70, 193, 31, 53, 94, 7, 135, 12]
OAF1	I	48564	51707	[48567, 48593, 48597, 48606, 48609, 48618, 48624, 48639, 48640, 48640, 48641, 48652, 48655, 48663, 48671, 48682, 48682, 48689, 48714, 48758, 48764, 48825, 48828, 48832, 48841, 48871, 48877, 48962, 48991, 48997, 49022, 49152, 49163, 49364, 49401, 49454, 49507, 49549, 49550, 49552, 49553, 49554, 49576, 49612, 49622, 49627, 49640, 49790, 49795, 49814, 49820, 49858, 49931, 49938, 49957, 49962, 50058, 50083, 50085, 50089, 50249, 50259, 50260, 50264, 50286, 50292, 50296, 50378, 50407, 50461, 50538, 50642, 50702, 50769, 50873, 50926, 50932, 50990, 51091, 51110, 51118, 51123, 51160, 51173, 51213, 51230, 51235, 51239, 51345, 51357, 51396, 51401, 51402, 51466, 51480, 51487, 51490, 51501, 51510, 51532, 51583, 51587, 51613, 51624, 51630, 51669, 51681, 51691, 51699]	[1, 181, 1, 149, 1, 1, 33, 485, 86, 87, 115, 29, 165, 4, 3, 1, 1, 7, 220, 2, 157, 39, 8, 90, 108, 51, 4, 116, 206, 44, 76, 54, 1, 80, 216, 3, 60, 1, 18, 1, 1, 140, 46, 59, 204, 1, 3, 61, 91, 27, 24, 86, 28, 137, 1, 49, 314, 32, 65, 11, 147, 4, 1, 254, 98, 274, 2, 134, 8, 98, 3, 420, 41, 97, 29, 72, 1, 9, 71, 83, 102, 21, 416, 67, 208, 7, 17, 1, 178, 245, 1, 84, 326, 3, 75, 185, 30, 138, 1, 5, 1, 117, 14, 4, 475, 11, 10, 44, 46]
AIM2	I	51855	52595	[51893, 51903, 51957, 51966, 52010, 52046, 52057, 52060, 52135, 52144, 52149, 52182, 52188, 52197, 52260, 52312, 52317, 52320, 52326, 52339, 52347, 52348, 52351, 52352, 52356, 52394, 52450, 52504, 52538, 52563, 52576]	[16, 25, 44, 240, 5, 126, 697, 3, 330, 276, 85, 357, 54, 116, 68, 1, 1, 186, 74, 421, 96, 371, 42, 180, 114, 49, 54, 37, 294, 56, 1]
