Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[147595, 147601, 147605, 147611, 147617, 147626, 147645, 147708, 147829, 147833, 148221, 148250, 148251, 148253, 148344, 148348, 148442, 148461, 148465, 148469, 148474, 148610, 148614, 148864, 148868, 148872, 148950, 148954, 149017, 149057, 149123, 149127, 150234, 150384, 150514, 150554, 150559, 150671, 150922, 151086, 151090]	[395, 659, 610, 41, 31, 1, 12, 2, 5, 4, 2, 50, 92, 2, 90, 2, 14, 5, 57, 203, 1, 6, 18, 3, 23, 12, 7, 6, 1, 3, 8, 80, 1, 127, 5, 5, 34, 98, 362, 3, 2]
EFB1	I	142174	143160	[142327, 142918, 143115, 143156]	[29, 1, 1, 2]
MAK16	I	100225	101145	[100231, 100271, 100783, 100793, 101023]	[9, 72, 1, 2, 3]
PRP45	I	83335	84474	[83345, 83361, 83370, 83373, 83412, 83455, 83464, 83497, 83502, 83504, 83516, 83526, 83533, 83574, 83578, 83579, 83642, 83669, 83677, 83684, 83686, 83687, 83700, 83818, 83823, 83873, 83875, 83892, 83895, 83997, 84001, 84002, 84003, 84024, 84034, 84055, 84067, 84113, 84118, 84405, 84409]	[13, 23, 92, 9, 180, 322, 21, 55, 27, 1, 7, 269, 1, 10, 1, 1, 3, 1, 1, 121, 158, 1, 34, 10, 135, 32, 14, 1, 147, 231, 19, 1, 13, 34, 87, 176, 9, 3, 86, 10, 10]
POP5	I	82706	83227	[82947, 83041, 83143]	[1, 2, 6]
YAL034C-B	I	79489	79842	[79494, 79533, 79554, 79556, 79558, 79561, 79562, 79564, 79568, 79572, 79575, 79577, 79581, 79585, 79586, 79589, 79594, 79606, 79609, 79609, 79610, 79618, 79630, 79637, 79642, 79646, 79649, 79654, 79686, 79704, 79707, 79711, 79717, 79722, 79722, 79737, 79840]	[58, 172, 618, 19, 468, 273, 1, 3, 348, 396, 66, 791, 1089, 68, 146, 119, 583, 15, 550, 36, 192, 601, 247, 9, 554, 63, 936, 73, 2, 1, 1, 25, 149, 4, 3, 2, 2]
MTW1	I	79718	80587	[79722, 79722, 79737, 79840, 79844, 79892, 79897, 80052, 80475, 80483, 80506, 80515, 80518, 80520, 80523, 80528]	[4, 3, 2, 2, 173, 1, 37, 17, 84, 46, 16, 38, 86, 2, 16, 98]
CDC19	I	71786	73288	[72157, 72160, 72162, 72301, 72303, 72304, 72305, 72306, 72408, 72413, 72413, 72419, 72497, 72694, 72695, 72696, 72699, 72699, 72886, 72887, 72890]	[17, 4, 115, 331, 2, 4, 115, 2, 29, 1, 17, 11, 48, 48, 1, 1, 1, 26, 32, 1, 69]
CDC24	I	62840	65404	[62840, 62868, 62890, 62904, 62927, 62935, 63193, 63197, 63198, 63292, 63292, 63295, 63295, 63296, 63297, 63298, 63299, 63612, 63617, 63796, 63800, 63907, 63911, 64673, 64676, 64746, 64842, 64844, 64845, 65175, 65176, 65181, 65234, 65284, 65290, 65403]	[7, 5, 57, 4, 17, 166, 167, 11, 1, 21, 1, 71, 1, 1, 3, 1, 182, 85, 7, 269, 12, 3, 244, 218, 1, 45, 3, 14, 113, 1, 14, 6, 3, 72, 1, 1]
PTA1	I	58695	61052	[58697, 58699, 58736, 58854, 58879, 58999, 59003, 59007, 59008, 59008, 59055, 59060, 59339, 59345, 59433, 59493, 59507, 59539, 59646, 59647, 59648, 59651, 59864, 59868, 59871, 59875, 60121, 60136, 60372, 60377, 60688, 60719, 60947, 60952, 61002, 61004]	[6, 1, 5, 7, 7, 1, 121, 4, 1, 15, 60, 3, 1, 13, 1, 6, 5, 40, 223, 1, 2, 18, 17, 203, 2, 3, 25, 132, 7, 1, 1, 5, 1, 1, 35, 324]
