Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[336, 342, 385, 385, 387, 387, 388, 388, 391, 392, 397, 436, 489, 491, 494, 495, 496, 497, 498, 498, 501, 504, 508, 508, 512, 513, 514, 514, 515, 517, 520, 537, 543, 562, 567, 569, 570, 571, 579, 581, 582, 584, 589, 596]	[1, 2, 2, 1, 144, 1, 1, 8, 83, 119, 4, 398, 68, 112, 2, 1, 117, 69, 1, 41, 99, 47, 22, 327, 96, 35, 25, 2, 17, 53, 5, 7, 4, 111, 3, 1, 1, 2, 2, 18, 4, 47, 147, 1]
YAL068W-A	I	538	792	[543, 562, 567, 569, 570, 571, 579, 581, 582, 584, 589, 596, 698]	[4, 111, 3, 1, 1, 2, 2, 18, 4, 47, 147, 1, 25]
PAU8	I	1807	2169	[1811, 1817, 1824, 1829, 1833, 1842, 1846, 1852, 1862, 1878, 1880, 1884, 1894, 1899, 1926, 1933, 1972, 1979, 1979, 1991, 1995, 2014, 2017, 2018, 2019, 2020, 2074, 2087, 2108, 2139, 2159]	[33, 46, 65, 7, 6, 8, 25, 46, 1, 1, 353, 7, 4, 3, 1, 72, 16, 12, 24, 47, 1, 14, 1, 41, 1, 11, 1, 1, 79, 31, 6]
YAL067W-A	I	2480	2707	[2482, 2486, 2494, 2497, 2530, 2560, 2573, 2577, 2584, 2586, 2590, 2592, 2598, 2598, 2603, 2604, 2609, 2621, 2628, 2629, 2631, 2652]	[1, 1, 8, 45, 1, 74, 110, 1, 1, 15, 42, 3, 3, 20, 1, 24, 85, 43, 82, 3, 228, 2]
SEO1	I	7235	9016	[7255, 7294, 7300, 7304, 7403, 7407, 7408, 7410, 7410, 7441, 7471, 7477, 7488, 7492, 7509, 7511, 7522, 7621, 7628, 7658, 7728, 7771, 7777, 7912, 8040, 8047, 8049, 8091, 8170, 8184, 8193, 8246, 8342, 8419, 8436, 8593, 8613, 8686, 8699, 8733, 8738, 8741, 8742, 8772, 8783, 8784, 8788, 8798, 8818, 8825, 8832, 8844, 8868, 8873, 8882, 8889, 8893, 8900, 8917, 8928, 8929, 8929, 8940, 8972, 8987, 9014]	[28, 41, 1, 121, 173, 11, 65, 779, 33, 192, 62, 55, 103, 2, 93, 58, 148, 22, 4, 128, 11, 12, 26, 1, 2, 29, 167, 66, 2, 6, 41, 10, 1, 3, 357, 1, 121, 2, 23, 253, 44, 1, 7, 82, 23, 11, 1, 293, 7, 9, 24, 78, 67, 32, 213, 69, 101, 6, 1, 133, 53, 455, 53, 19, 3, 60]
YAL066W	I	10091	10399	[10127, 10130, 10130, 10134, 10141, 10154, 10185, 10195, 10231, 10235, 10250, 10272, 10296, 10304, 10309, 10310, 10314, 10318, 10320, 10322, 10323, 10329, 10359, 10389, 10394]	[1, 11, 249, 314, 49, 401, 66, 55, 45, 1, 50, 52, 61, 39, 137, 228, 286, 9, 77, 53, 85, 479, 395, 6, 77]
YAL065C	I	11565	11951	[11580, 11584, 11597, 11638, 11642, 11681, 11742, 11745, 11748, 11763, 11768, 11776, 11778, 11793, 11797, 11798, 11811, 11816, 11819, 11822, 11827, 11827, 11830, 11832, 11833, 11834, 11837, 11837, 11860, 11869, 11875, 11911, 11921, 11922, 11924, 11926, 11931, 11935, 11938, 11941]	[58, 181, 43, 168, 2, 33, 1, 13, 28, 202, 30, 16, 38, 52, 266, 92, 13, 5, 17, 30, 40, 196, 6, 20, 11, 38, 1, 69, 4, 178, 1, 441, 22, 271, 4, 25, 91, 3, 1, 49]
YAL064W-B	I	12046	12426	[12091, 12105, 12137, 12144, 12149, 12150, 12150, 12198, 12211, 12299, 12312, 12318, 12332, 12336, 12339, 12348, 12355, 12364, 12368, 12373, 12391, 12422, 12422]	[1, 10, 154, 110, 23, 5, 29, 1, 160, 63, 40, 1, 2, 48, 59, 389, 40, 1, 5, 16, 6, 1, 1]
TDA8	I	13363	13743	[13371, 13394, 13394, 13404, 13405, 13416, 13426, 13451, 13457, 13515, 13526, 13549, 13574, 13579, 13593, 13631, 13662, 13716, 13728]	[28, 34, 1, 10, 89, 135, 15, 102, 131, 167, 48, 24, 176, 80, 83, 8, 120, 27, 32]
YAL064W	I	21566	21850	[21586, 21589, 21599, 21629, 21646, 21654, 21664, 21665, 21666, 21666, 21678, 21705, 21708, 21745, 21763, 21785, 21824, 21835, 21837, 21841, 21845]	[52, 1, 51, 104, 11, 102, 1, 9, 2, 65, 25, 21, 1, 6, 27, 45, 226, 73, 26, 37, 92]
