Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[147603, 147603, 147606, 147610, 147615, 147620, 147621, 147651, 147676, 147738, 148251, 148344, 148348, 148399, 148441, 148466, 148469, 148553, 148608, 148616, 148821, 148950, 149017, 149048, 149127, 149536, 150385, 150515, 150558, 150665, 150670, 150842, 150922, 150925, 151087, 151090]	[18, 3, 13, 7, 29, 6, 1, 1, 1, 2, 22, 5, 1, 1, 32, 1, 4, 1, 1, 9, 1, 26, 45, 2, 5, 1, 8, 13, 19, 10, 2, 1, 2, 1, 1, 24]
EFB1	I	142174	143160	[142312, 142326, 142993]	[1, 8, 1]
MAK16	I	100225	101145	[100229, 100236, 100636, 100708, 100942, 101017, 101022, 101049, 101062, 101086, 101093, 101123]	[1, 3, 1, 1, 1, 1, 10, 1, 3, 1, 1, 2]
PRP45	I	83335	84474	[83349, 83395, 83425, 83433, 83439, 83445, 83459, 83484, 83497, 83502, 83520, 83545, 83547, 83574, 83576, 83641, 83677, 83704, 83709, 83712, 83722, 83727, 83728, 83817, 83823, 83823, 83863, 83872, 83877, 83878, 83994, 83997, 84001, 84002, 84002, 84028, 84030, 84114, 84118, 84409]	[1, 21, 2, 20, 31, 1, 1, 27, 4, 13, 1, 1, 1, 4, 4, 1, 136, 5, 5, 38, 13, 47, 1, 7, 1, 2, 2, 39, 7, 12, 5, 6, 8, 19, 3, 3, 2, 1, 4, 6]
POP5	I	82706	83227	[82829, 83178]	[1, 4]
YAL034C-B	I	79489	79842	[79490, 79511, 79540, 79552, 79559, 79564, 79567, 79576, 79578, 79579, 79583, 79583, 79586, 79589, 79594, 79598, 79602, 79606, 79610, 79615, 79621, 79627, 79632, 79640, 79640, 79641, 79641, 79642, 79648, 79649, 79651, 79652, 79654, 79656, 79661, 79665, 79674, 79677, 79679, 79717, 79721, 79737, 79839]	[1, 2, 8, 8, 34, 12, 8, 1, 1, 25, 115, 3, 109, 23, 5, 8, 1, 17, 2, 13, 1, 1, 110, 20, 20, 2, 2, 22, 2, 2, 3, 129, 11, 1, 1, 3, 20, 2, 1, 20, 6, 2, 2]
MTW1	I	79718	80587	[79721, 79737, 79839, 79844, 79896, 79901, 80272, 80280, 80465, 80483, 80498, 80519, 80521, 80526, 80532]	[6, 2, 2, 28, 15, 8, 1, 1, 1, 2, 12, 2, 6, 26, 12]
CDC19	I	71786	73288	[72112, 72157, 72160, 72301, 72305, 72319, 72377, 72409, 72415, 72494, 72497, 72500, 72693, 72697, 72698, 72891]	[9, 3, 5, 21, 6, 1, 2, 8, 2, 1, 12, 1, 23, 1, 2, 46]
CDC24	I	62840	65404	[62863, 62906, 62925, 62935, 62942, 63193, 63194, 63197, 63217, 63295, 63299, 63582, 63617, 63697, 63800, 63911, 64674, 64745, 64848, 64958, 65173, 65230, 65234, 65283]	[8, 1, 1, 12, 2, 37, 1, 15, 1, 3, 42, 1, 4, 1, 19, 36, 2, 36, 5, 2, 16, 5, 9, 9]
PTA1	I	58695	61052	[58697, 58740, 58883, 58920, 59003, 59007, 59055, 59060, 59114, 59176, 59180, 59339, 59345, 59375, 59441, 59450, 59460, 59460, 59466, 59470, 59478, 59497, 59501, 59505, 59508, 59517, 59526, 59538, 59646, 59651, 59732, 59868, 59875, 60121, 60375, 60718, 60882, 60931, 61006, 61034, 61041, 61048]	[1, 1, 2, 1, 6, 12, 4, 12, 1, 1, 1, 4, 3, 1, 2, 27, 1, 3, 8, 8, 16, 1, 6, 11, 18, 4, 10, 17, 3, 1, 2, 2, 1, 3, 1, 1, 2, 2, 7, 1, 1, 1]
