Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[341, 387, 388, 390, 397, 418, 489, 495]	[7, 187, 30, 3, 2, 2, 3, 17]
YAL068W-A	I	538	792	[]	[]
PAU8	I	1807	2169	[1879, 1886, 1898, 1933, 1937, 2000, 2005, 2014, 2018, 2029, 2085]	[18, 1, 1, 23, 29, 1, 1, 2, 25, 6, 2]
YAL067W-A	I	2480	2707	[2610]	[4]
SEO1	I	7235	9016	[7294, 7299, 7404, 7408, 7471, 7477, 7771, 7777, 8732, 8736, 8827, 8831, 8834, 8840, 8866, 8869, 8873, 8983, 8987, 9014]	[29, 1, 1, 14, 4, 40, 3, 1, 23, 2, 15, 7, 1, 1, 1, 2, 4, 1, 5, 2]
YAL066W	I	10091	10399	[10186, 10231, 10388]	[10, 9, 5]
YAL065C	I	11565	11951	[11834, 11838]	[31, 10]
YAL064W-B	I	12046	12426	[12144, 12149, 12339, 12344, 12422, 12426]	[85, 40, 14, 23, 1, 12]
TDA8	I	13363	13743	[13573, 13575, 13579]	[6, 1, 15]
YAL064W	I	21566	21850	[21666]	[1]
YAL063C-A	I	22395	22685	[22505, 22509]	[14, 10]
FLO9	I	24000	27968	[24108, 24116, 24121, 24230, 24266, 24270, 24423, 24427, 24428, 24487, 24576, 24578, 24579, 24582, 24732, 24793, 24797, 24807, 24816, 24874, 24879, 25408, 25505, 25527, 25558, 25609, 25635, 25641, 25939, 26074, 26209, 26479, 26498, 26565, 26614, 26700, 26749, 26835, 26884, 26945, 26986, 26998, 27119, 27126, 27130, 27343]	[4, 42, 36, 4, 34, 22, 40, 1, 57, 2, 18, 2, 1, 23, 4, 55, 4, 4, 1, 4, 15, 4, 2, 1, 1, 1, 32, 227, 1, 1, 2, 11, 2, 16, 8, 12, 10, 18, 1, 13, 32, 9, 8, 2, 12, 20]
GDH3	I	31567	32940	[31605, 31689, 31690, 31692, 31696, 31705, 31809, 31853, 31859, 31941, 31945, 31962, 31965, 32005, 32066, 32070, 32089, 32181, 32186, 32266, 32277, 32281, 32284, 32381, 32386, 32476, 32515, 32589, 32594, 32772, 32864, 32898, 32902]	[27, 1, 2, 14, 4, 1, 14, 4, 12, 10, 9, 2, 1, 1, 11, 29, 1, 20, 28, 1, 12, 31, 4, 3, 4, 34, 1, 7, 16, 2, 1, 3, 11]
BDH2	I	33448	34701	[33577, 33581, 33625, 33628, 33629, 33752, 33756, 33877, 33985, 33989, 34323, 34327, 34343, 34376, 34395, 34524, 34528, 34647, 34648, 34697, 34701]	[1, 1, 8, 1, 26, 5, 18, 21, 9, 3, 5, 10, 33, 15, 6, 56, 11, 1, 1, 1, 56]
BDH1	I	35155	36303	[35278, 35283, 35370, 35375, 35509, 35510, 35514, 35581, 35692, 35697, 35925, 35933, 36097, 36166, 36184, 36241, 36245, 36248]	[3, 2, 2, 53, 20, 1, 32, 8, 3, 39, 17, 1, 13, 1, 1, 3, 25, 7]
YAL059C-A	I	36496	36918	[36580, 36825, 36829, 36833, 36836, 36839, 36843]	[3, 1, 1, 1, 1, 5, 1]
ECM1	I	36509	37147	[36580, 36825, 36829, 36833, 36836, 36839, 36843, 37050, 37056]	[3, 1, 1, 1, 1, 5, 1, 1, 17]
CNE1	I	37464	38972	[37551, 37563, 37610, 37613, 37693, 37697, 37697, 37698, 37698, 37699, 37703, 37853, 37866, 37870, 37876, 37939, 37992, 37998, 38001, 38005, 38066, 38079, 38090, 38232, 38236, 38248, 38286, 38438, 38442, 38511, 38558, 38561, 38562, 38563, 38564, 38652, 38667, 38678, 38682, 38689, 38759, 38801, 38805, 38884, 38891]	[3, 1, 3, 3, 4, 2, 7, 8, 9, 16, 5, 13, 1, 2, 24, 2, 3, 4, 11, 25, 20, 1, 2, 7, 3, 6, 2, 33, 33, 16, 19, 1, 19, 1, 26, 5, 10, 16, 25, 6, 16, 14, 8, 14, 16]
YAL056C-A	I	38696	39046	[38759, 38801, 38805, 38884, 38891, 38994, 38999]	[16, 14, 8, 14, 16, 20, 3]
