centromere_name,start,end
CEN1,151465,151582
CEN10,436307,436425
CEN11,440129,440246
CEN12,150828,150947
CEN13,268031,268149
CEN14,628758,628875
CEN15,326584,326702
CEN16,555957,556073
CEN2,238207,238323
CEN3,114385,114501
CEN4,449711,449821
CEN5,151987,152104
CEN6,148510,148627
CEN7,496920,497038
CEN8,105586,105703
CEN9,355629,355745
