Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[147594, 147598, 147599, 147604, 147609, 147609, 147621, 147738, 147829, 148221, 148250, 148292, 148294, 148344, 148348, 148363, 148441, 148461, 148462, 148466, 148467, 148467, 148468, 148558, 148614, 148778, 148803, 148867, 148872, 148950, 148957, 148962, 149017, 149029, 149032, 149034, 149123, 149127, 149404, 149542, 150385, 150399, 150439, 150483, 150515, 150554, 150559, 150606, 150785, 150922, 150994, 151086, 151090, 151116, 151131, 151146]	[2, 2, 11, 19, 6, 3, 1, 1, 1, 4, 25, 1, 1, 1, 1, 1, 15, 3, 1, 29, 6, 1, 9, 2, 19, 2, 1, 3, 2, 15, 1, 1, 12, 1, 1, 1, 3, 33, 1, 1, 27, 1, 2, 2, 2, 4, 20, 3, 2, 28, 1, 1, 81, 1, 1, 2]
EFB1	I	142174	143160	[142174, 142219, 142249, 142325, 142925, 142967]	[1, 1, 3, 23, 1, 1]
MAK16	I	100225	101145	[100581, 100612, 100627, 100789, 100844, 100877, 100906, 100924, 100925, 100944, 100968, 101022]	[4, 1, 1, 38, 1, 1, 1, 1, 3, 2, 1, 30]
PRP45	I	83335	84474	[83395, 83479, 83548, 83571, 83574, 83578, 83610, 83818, 83822, 83826, 83834, 83955, 83956, 83996, 83998, 84001, 84006, 84114, 84118, 84383, 84404, 84409]	[9, 4, 5, 23, 28, 3, 37, 30, 12, 4, 4, 2, 5, 9, 1, 6, 1, 1, 23, 1, 1, 7]
POP5	I	82706	83227	[82849, 82869, 82966]	[11, 1, 2]
YAL034C-B	I	79489	79842	[79489, 79529, 79586, 79593, 79602, 79614, 79622, 79632, 79650, 79654, 79660, 79676, 79716, 79721, 79736, 79780, 79804, 79820, 79836, 79840]	[1, 2, 1, 7, 1, 4, 1, 12, 16, 1, 5, 15, 44, 2, 22, 1, 1, 1, 1, 1]
MTW1	I	79718	80587	[79721, 79736, 79780, 79804, 79820, 79836, 79840, 79844, 79850, 79856, 79866, 79895, 79896, 79897, 79901, 79920, 80052, 80469, 80470, 80474, 80496, 80503, 80507, 80511, 80547, 80551]	[2, 22, 1, 1, 1, 1, 1, 34, 1, 5, 2, 5, 1, 6, 3, 1, 4, 3, 2, 3, 9, 1, 19, 2, 1, 1]
CDC19	I	71786	73288	[72112, 72116, 72157, 72160, 72161, 72162, 72162, 72173, 72301, 72351, 72361, 72378, 72409, 72414, 72473, 72483, 72497, 72558, 72619, 72649, 72693, 72698, 72835, 72886, 72890, 72947, 73166]	[12, 3, 24, 9, 1, 1, 8, 1, 36, 1, 1, 1, 18, 26, 1, 1, 9, 2, 2, 1, 30, 8, 3, 1, 67, 1, 1]
CDC24	I	62840	65404	[62844, 62845, 62880, 62896, 62905, 62924, 62928, 62935, 63069, 63084, 63192, 63194, 63195, 63197, 63229, 63230, 63292, 63293, 63294, 63295, 63300, 63342, 63403, 63613, 63615, 63617, 63617, 63658, 63661, 63697, 63714, 63718, 63732, 63796, 63796, 63798, 63800, 63835, 63836, 63865, 63878, 63906, 63912, 64673, 64700, 64742, 64746, 64750, 64772, 64803, 64844, 64845, 64848, 65171, 65176, 65180, 65229, 65234, 65284]	[1, 1, 1, 1, 3, 1, 32, 24, 1, 3, 61, 1, 1, 19, 1, 1, 1, 1, 1, 1, 44, 2, 1, 35, 1, 1, 14, 1, 1, 1, 1, 1, 2, 72, 1, 2, 31, 2, 1, 1, 1, 1, 104, 8, 1, 15, 50, 1, 1, 1, 1, 36, 6, 4, 33, 3, 7, 4, 7]
PTA1	I	58695	61052	[58696, 58760, 58845, 58854, 58880, 58883, 58886, 59003, 59003, 59007, 59055, 59059, 59180, 59251, 59300, 59340, 59346, 59416, 59432, 59446, 59497, 59646, 59649, 59650, 59864, 59868, 59872, 59889, 59958, 60103, 60121, 60130, 60376, 60718, 60895, 60943, 60947, 60950, 60956, 60979, 60986, 60990, 61002, 61007]	[14, 2, 1, 10, 5, 19, 1, 9, 2, 3, 10, 23, 2, 1, 1, 4, 6, 3, 2, 1, 1, 12, 1, 4, 4, 7, 2, 1, 1, 3, 10, 1, 1, 2, 14, 1, 37, 21, 1, 1, 2, 1, 9, 69]
