Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[337, 337, 341, 344, 350, 352, 368, 370, 387, 388, 390, 391, 396, 402, 438, 441, 444, 449, 455, 460, 476, 483, 484, 490, 491, 495, 496, 500, 510, 515, 516, 523, 537, 567, 571, 572, 578, 579, 589, 595]	[2, 93, 12, 57, 25, 1, 4, 2, 120, 16, 1, 12, 1, 2, 40, 214, 8, 4, 1, 1, 1, 1, 2, 4, 2, 19, 13, 60, 21, 5, 10, 83, 4, 71, 5, 1, 1, 140, 8, 31]
YAL068W-A	I	538	792	[567, 571, 572, 578, 579, 589, 595, 687, 691, 696, 702, 722, 730, 749, 756, 772, 781, 785]	[71, 5, 1, 1, 140, 8, 31, 137, 214, 19, 3, 1, 2, 1, 1, 3, 3, 1]
PAU8	I	1807	2169	[1825, 1831, 1838, 1853, 1880, 1884, 1895, 1927, 1933, 1934, 1936, 1937, 1951, 1955, 1964, 1970, 1974, 1981, 1983, 1984, 1989, 1996, 2014, 2014, 2018, 2055, 2084, 2095, 2119, 2120, 2168]	[16, 11, 35, 1, 9, 4, 2, 1, 71, 2, 1, 39, 1, 1, 1, 1, 1, 3, 1, 1, 17, 4, 9, 1, 40, 1, 1, 1, 1, 1, 3]
YAL067W-A	I	2480	2707	[2494, 2528, 2552, 2560, 2562, 2564, 2594, 2603, 2609, 2616, 2621, 2631, 2639, 2662, 2693]	[75, 1, 2, 1, 2, 11, 36, 19, 12, 23, 23, 46, 32, 1, 9]
SEO1	I	7235	9016	[7238, 7243, 7248, 7293, 7298, 7324, 7342, 7369, 7394, 7397, 7404, 7408, 7449, 7467, 7470, 7473, 7473, 7477, 7522, 7534, 7554, 7563, 7566, 7571, 7578, 7580, 7658, 7659, 7671, 7708, 7739, 7771, 7771, 7776, 7777, 8060, 8068, 8083, 8107, 8177, 8242, 8257, 8316, 8343, 8399, 8468, 8483, 8513, 8579, 8630, 8647, 8698, 8701, 8733, 8737, 8737, 8746, 8753, 8775, 8815, 8826, 8827, 8831, 8841, 8853, 8859, 8869, 8873, 8874, 8874, 8882, 8888, 8890, 8902, 8911, 8918, 8954, 8985, 8987, 9013]	[1, 30, 1, 40, 5, 1, 1, 2, 1, 2, 21, 36, 1, 2, 3, 8, 40, 52, 4, 1, 1, 1, 1, 1, 26, 125, 53, 24, 2, 34, 2, 2, 1, 1, 9, 1, 3, 138, 1, 44, 3, 25, 1, 29, 29, 9, 7, 4, 57, 3, 1, 9, 1, 39, 51, 1, 14, 3, 117, 1, 4, 24, 4, 1, 1, 1, 21, 22, 21, 4, 1, 19, 1, 1, 2, 7, 72, 1, 38, 12]
YAL066W	I	10091	10399	[10095, 10129, 10130, 10147, 10177, 10186, 10231, 10235, 10252, 10266, 10284, 10288, 10295, 10337, 10340, 10389, 10394]	[1, 47, 1, 12, 1, 48, 3, 10, 1, 34, 8, 1, 56, 1, 3, 3, 10]
YAL065C	I	11565	11951	[11567, 11598, 11621, 11648, 11722, 11730, 11734, 11743, 11754, 11761, 11764, 11780, 11832, 11834, 11834, 11838, 11839, 11843, 11854, 11858, 11866, 11875, 11890, 11894, 11919, 11926, 11931, 11942]	[7, 1, 1, 1, 1, 1, 1, 33, 2, 1, 7, 18, 1, 53, 1, 1, 6, 39, 2, 4, 2, 1, 1, 1, 33, 70, 6, 10]
YAL064W-B	I	12046	12426	[12065, 12074, 12094, 12116, 12119, 12145, 12149, 12150, 12151, 12175, 12184, 12231, 12252, 12293, 12296, 12305, 12308, 12309, 12313, 12326, 12339, 12344, 12347, 12351, 12363, 12366, 12372, 12372, 12389, 12392, 12402, 12422, 12426]	[1, 114, 105, 1, 1, 3, 4, 1, 10, 2, 1, 18, 1, 1, 19, 2, 111, 2, 3, 1, 75, 17, 3, 1, 1, 9, 276, 27, 8, 8, 1, 3, 6]
TDA8	I	13363	13743	[13385, 13411, 13421, 13442, 13453, 13468, 13481, 13501, 13515, 13522, 13549, 13574, 13578, 13590, 13600, 13606, 13632, 13660, 13728]	[1, 60, 1, 2, 1, 31, 1, 76, 18, 1, 1, 14, 4, 13, 5, 1, 34, 14, 2]
YAL064W	I	21566	21850	[21618, 21631, 21658, 21675, 21705, 21757, 21768, 21798, 21802, 21806, 21808, 21821, 21823, 21841, 21842, 21847]	[1, 1, 5, 1, 6, 1, 2, 39, 2, 36, 1, 4, 1, 35, 6, 126]
YAL063C-A	I	22395	22685	[22406, 22409, 22418, 22452, 22467, 22472, 22481, 22485, 22488, 22504, 22509, 22561, 22589, 22600, 22605, 22610, 22641, 22658, 22674, 22681]	[1, 2, 1, 1, 1, 12, 1, 3, 2, 21, 22, 1, 1, 1, 1, 2, 15, 1, 33, 1]
