Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[147703, 147708, 147829, 147832, 147833, 147847, 147931, 148071, 148221, 148251, 148344, 148348, 148392, 148397, 148437, 148442, 148452, 148461, 148464, 148465, 148466, 148466, 148467, 148467, 148468, 148468, 148469, 148484, 148512, 148523, 148529, 148536, 148554, 148575, 148578, 148586, 148599, 148608, 148608, 148609, 148609, 148610, 148615, 148833, 148868, 148872, 148950, 148954, 148955, 148956, 148965, 148997, 149009, 149017, 149060, 149122, 149127, 149509, 149537, 149541, 150385, 150390, 150487, 150515, 150520, 150527, 150554, 150559, 150560, 150571, 150614, 150658, 150670, 150714, 150801, 150922, 150926, 150928, 150928, 151014, 151017, 151041, 151058, 151085, 151087, 151090, 151094]	[5, 6, 17, 1, 12, 1, 1, 2, 17, 38, 34, 13, 1, 1, 1, 178, 1, 12, 1, 18, 13, 5, 3, 14, 44, 1, 143, 1, 1, 1, 1, 1, 4, 1, 5, 1, 1, 2, 2, 4, 1, 7, 177, 1, 41, 10, 218, 6, 3, 4, 1, 1, 1, 153, 1, 6, 57, 2, 1, 11, 56, 1, 1, 96, 1, 1, 25, 36, 1, 1, 1, 1, 45, 1, 2, 79, 40, 3, 2, 1, 1, 1, 2, 5, 1, 16, 9]
EFB1	I	142174	143160	[142175, 142181, 142280, 142285, 142321, 142325, 142357, 142924, 142930, 143084, 143098, 143122]	[1, 1, 1, 5, 6, 49, 1, 1, 3, 2, 1, 2]
MAK16	I	100225	101145	[100616, 100708, 100764, 100789, 100793, 100849, 100863, 100864, 100867, 100886, 100897, 100912, 100923, 100924, 100975, 101018, 101022]	[1, 1, 1, 44, 9, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 13, 122]
PRP45	I	83335	84474	[83345, 83417, 83520, 83570, 83574, 83577, 83578, 83582, 83652, 83664, 83680, 83685, 83705, 83739, 83742, 83815, 83817, 83817, 83818, 83823, 83848, 83884, 83947, 83953, 83994, 83995, 83996, 83997, 83997, 84001, 84002, 84002, 84022, 84085, 84100, 84114, 84116, 84117, 84118, 84119, 84120, 84203, 84349, 84393, 84402, 84404, 84405, 84408, 84409]	[1, 3, 2, 1, 31, 1, 4, 1, 1, 18, 13, 1, 1, 1, 1, 1, 13, 1, 145, 85, 1, 1, 1, 1, 1, 80, 1, 73, 1, 113, 1, 14, 2, 1, 1, 57, 2, 1, 109, 1, 31, 1, 1, 1, 1, 1, 2, 1, 63]
POP5	I	82706	83227	[82996, 82998, 82999, 83001, 83041, 83096, 83196, 83200, 83227]	[6, 1, 1, 3, 1, 1, 2, 1, 1]
YAL034C-B	I	79489	79842	[79512, 79557, 79583, 79591, 79594, 79603, 79632, 79648, 79651, 79652, 79709, 79716, 79721, 79736, 79741, 79756, 79766, 79778, 79778, 79783, 79823]	[1, 6, 16, 2, 1, 4, 28, 8, 7, 1, 11, 44, 16, 71, 5, 1, 1, 1, 1, 1, 2]
MTW1	I	79718	80587	[79721, 79736, 79741, 79756, 79766, 79778, 79778, 79783, 79823, 79845, 79854, 79856, 79864, 79894, 79894, 79897, 79901, 79902, 79903, 79962, 79993, 80001, 80048, 80048, 80053, 80247, 80480, 80483, 80578]	[16, 71, 5, 1, 1, 1, 1, 1, 2, 114, 1, 1, 1, 1, 1, 106, 76, 1, 5, 1, 1, 1, 4, 1, 82, 1, 1, 2, 3]
CDC19	I	71786	73288	[71883, 71908, 72111, 72116, 72149, 72155, 72156, 72157, 72157, 72160, 72161, 72162, 72163, 72169, 72241, 72253, 72295, 72298, 72300, 72302, 72304, 72306, 72309, 72323, 72342, 72409, 72410, 72412, 72414, 72416, 72418, 72452, 72464, 72482, 72497, 72512, 72557, 72693, 72695, 72697, 72698, 72699, 72699, 72730, 72814, 72828, 72859, 72881, 72885, 72885, 72886, 72887, 72890, 72903, 72925, 73088, 73208]	[1, 1, 62, 4, 2, 74, 1, 141, 2, 31, 94, 4, 36, 2, 2, 1, 2, 2, 141, 6, 1, 100, 1, 2, 1, 42, 1, 1, 34, 2, 11, 2, 1, 2, 146, 1, 2, 124, 3, 1, 41, 1, 7, 1, 1, 1, 1, 1, 4, 1, 16, 2, 143, 2, 2, 2, 1]
CDC24	I	62840	65404	[62840, 62843, 62844, 62878, 62897, 62928, 62935, 62942, 62989, 63006, 63040, 63148, 63188, 63191, 63192, 63193, 63197, 63198, 63198, 63224, 63240, 63263, 63294, 63300, 63457, 63462, 63577, 63579, 63584, 63613, 63617, 63618, 63632, 63696, 63730, 63752, 63765, 63793, 63796, 63800, 63867, 63911, 64047, 64672, 64735, 64746, 64751, 64763, 64800, 64807, 64818, 64840, 64844, 64845, 64846, 64848, 64896, 64897, 64911, 64939, 64968, 64970, 65135, 65139, 65175, 65179, 65180, 65229, 65229, 65230, 65234, 65284, 65284, 65286, 65289, 65294, 65350]	[17, 2, 3, 1, 1, 161, 23, 2, 1, 1, 1, 2, 3, 12, 1, 117, 28, 1, 26, 2, 1, 1, 56, 100, 1, 1, 1, 2, 1, 76, 21, 1, 1, 1, 1, 2, 1, 1, 183, 97, 1, 105, 1, 82, 1, 78, 2, 1, 2, 1, 1, 1, 39, 46, 1, 130, 1, 1, 1, 1, 2, 1, 1, 1, 122, 2, 41, 9, 2, 9, 66, 43, 14, 2, 1, 1, 2]
PTA1	I	58695	61052	[58697, 58748, 58764, 58775, 58854, 58859, 58883, 58886, 58903, 58906, 58912, 58992, 59003, 59003, 59006, 59007, 59008, 59008, 59044, 59054, 59054, 59055, 59059, 59080, 59129, 59175, 59180, 59191, 59245, 59273, 59299, 59339, 59339, 59340, 59345, 59418, 59433, 59489, 59514, 59646, 59646, 59650, 59706, 59735, 59806, 59837, 59864, 59867, 59868, 59869, 59869, 59871, 59874, 59880, 59898, 59908, 59995, 60050, 60054, 60059, 60084, 60121, 60130, 60162, 60213, 60372, 60376, 60390, 60469, 60473, 60574, 60621, 60684, 60687, 60718, 60796, 60883, 60901, 60922, 60948, 60952, 60970, 60982, 60991, 61001, 61001, 61002, 61003, 61007, 61010, 61015]	[9, 1, 1, 1, 56, 3, 117, 1, 1, 1, 2, 2, 79, 2, 1, 116, 1, 94, 1, 6, 1, 20, 130, 1, 1, 7, 26, 1, 2, 1, 1, 11, 1, 24, 80, 1, 2, 1, 1, 74, 2, 46, 2, 1, 1, 1, 56, 1, 41, 1, 1, 9, 15, 1, 1, 1, 1, 1, 1, 1, 1, 56, 14, 2, 1, 4, 10, 2, 1, 1, 2, 1, 1, 26, 11, 1, 1, 2, 1, 107, 2, 5, 2, 1, 6, 2, 12, 1, 113, 1, 2]
