Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[147611, 147614, 147617, 147629, 147634, 147640, 147645, 147677, 147793, 147921, 148025, 148086, 148121, 148136, 148161, 148221, 148251, 148342, 148405, 148438, 148442, 148459, 148460, 148465, 148469, 148507, 148518, 148578, 148610, 148615, 148804, 148867, 148929, 148950, 149014, 149018, 149123, 149127, 149128, 149130, 149315, 149535, 149541, 150201, 150291, 150385, 150515, 150527, 150553, 150558, 150596, 150669, 150680, 150756, 150844, 150922, 150925, 150954, 150981, 150997, 151017, 151042, 151086, 151090, 151115, 151118, 151127, 151140, 151148, 151156]	[2, 2, 3, 5, 1, 1, 1, 1, 1, 3, 1, 1, 2, 58, 1, 1, 18, 17, 1, 1, 20, 1, 2, 9, 16, 1, 1, 1, 2, 51, 2, 27, 1, 3, 1, 15, 3, 11, 1, 26, 1, 1, 1, 23, 1, 11, 2, 1, 8, 9, 1, 17, 5, 1, 2, 56, 1, 1, 1, 1, 1, 1, 4, 12, 4, 2, 3, 2, 1, 5]
EFB1	I	142174	143160	[142175, 142179, 142182, 142187, 142194, 142212, 142219, 142222, 142225, 142239, 142277, 142285, 142287, 142321, 142327, 142412, 142929, 142986, 142991, 142998, 143041, 143049, 143067, 143077, 143108, 143118, 143126, 143129, 143136, 143145]	[1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 23, 1, 6, 2, 3, 5, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]
MAK16	I	100225	101145	[100244, 100263, 100446, 100671, 100679, 100756, 100787, 100794, 100846, 100869, 100874, 100876, 100909, 100974, 101018, 101023, 101056, 101060, 101098, 101103, 101119, 101124, 101130, 101143]	[83, 7, 3, 1, 46, 1, 7, 1, 1, 1, 1, 2, 1, 2, 1, 12, 2, 3, 1, 1, 1, 4, 2, 1]
PRP45	I	83335	84474	[83335, 83359, 83365, 83400, 83401, 83409, 83411, 83422, 83427, 83440, 83443, 83458, 83468, 83469, 83512, 83519, 83533, 83569, 83574, 83576, 83701, 83708, 83818, 83822, 83823, 83824, 83839, 83865, 83883, 83888, 83890, 83915, 83929, 83939, 83962, 83980, 83993, 84001, 84010, 84021, 84024, 84057, 84073, 84114, 84118, 84121, 84377, 84409, 84436]	[183, 206, 1, 1, 1, 5, 1, 3, 1, 2, 4, 2, 106, 1, 57, 2, 167, 2, 4, 50, 28, 27, 75, 8, 2, 2, 31, 3, 46, 1, 2, 2, 1, 1, 1, 12, 3, 8, 6, 1, 3, 1, 58, 3, 33, 2, 2, 7, 1]
POP5	I	82706	83227	[82709, 82738, 82749, 82752, 82770, 82781, 82890, 82894, 82898, 82948, 82968, 82994, 83002, 83070]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1]
YAL034C-B	I	79489	79842	[79489, 79502, 79513, 79517, 79523, 79544, 79556, 79558, 79561, 79575, 79579, 79580, 79583, 79586, 79591, 79594, 79602, 79607, 79610, 79618, 79624, 79627, 79631, 79640, 79640, 79641, 79642, 79643, 79648, 79651, 79653, 79656, 79664, 79668, 79672, 79684, 79717, 79722, 79736]	[1, 1, 1, 1, 1, 152, 7, 41, 1, 3, 35, 113, 68, 105, 1, 74, 189, 7, 44, 63, 1, 11, 43, 99, 54, 376, 45, 1, 56, 2, 167, 1, 1, 7, 1, 6, 3, 3, 21]
MTW1	I	79718	80587	[79722, 79736, 79845, 79849, 79876, 79896, 79902, 80053, 80201, 80440, 80483, 80493, 80498, 80507, 80519, 80587]	[3, 21, 63, 1, 2, 22, 8, 10, 1, 1, 4, 6, 56, 87, 9, 158]
CDC19	I	71786	73288	[71916, 71962, 71972, 72111, 72114, 72120, 72128, 72158, 72162, 72213, 72301, 72306, 72345, 72346, 72361, 72383, 72408, 72409, 72413, 72439, 72444, 72448, 72468, 72494, 72498, 72503, 72524, 72568, 72632, 72694, 72698, 72699, 72700, 72728, 72736, 72740, 72780, 72817, 72832, 72835, 72837, 72850, 72884, 72890, 73236, 73247, 73259, 73280]	[2, 1, 1, 61, 2, 1, 1, 59, 5, 1, 13, 14, 1, 1, 1, 1, 2, 4, 38, 1, 1, 1, 1, 2, 51, 2, 1, 1, 1, 52, 2, 1, 3, 1, 1, 2, 1, 1, 2, 2, 1, 3, 2, 89, 193, 1, 1, 2]
CDC24	I	62840	65404	[62840, 62859, 62877, 62892, 62894, 62901, 62911, 62927, 62934, 62970, 62991, 63001, 63082, 63192, 63192, 63197, 63263, 63295, 63332, 63348, 63406, 63432, 63465, 63561, 63596, 63611, 63614, 63617, 63671, 63796, 63800, 63800, 63810, 63832, 63847, 63886, 63898, 63903, 63906, 63911, 63961, 64673, 64676, 64746, 64788, 64841, 64844, 64846, 64848, 64848, 64855, 64886, 64898, 64915, 65175, 65184, 65223, 65235, 65283, 65394]	[1, 1, 138, 1, 20, 2, 8, 8, 5, 3, 1, 1, 1, 4, 1, 42, 2, 13, 1, 2, 1, 1, 1, 1, 1, 16, 1, 19, 1, 101, 1, 27, 1, 1, 1, 1, 2, 1, 1, 41, 1, 4, 1, 17, 1, 3, 2, 152, 1, 51, 16, 1, 2, 1, 36, 2, 1, 14, 11, 21]
PTA1	I	58695	61052	[58704, 58763, 58854, 58883, 58887, 59002, 59007, 59054, 59059, 59180, 59213, 59288, 59340, 59344, 59353, 59467, 59481, 59501, 59528, 59529, 59552, 59578, 59589, 59643, 59650, 59774, 59782, 59808, 59830, 59863, 59869, 59871, 59877, 60130, 60372, 60830, 60978, 60985, 60992, 61000, 61002, 61007, 61042, 61047]	[2, 46, 24, 7, 1, 106, 2, 6, 64, 5, 1, 1, 14, 7, 1, 1, 63, 28, 3, 9, 12, 40, 1, 3, 22, 1, 1, 2, 1, 5, 17, 1, 2, 3, 4, 1, 1, 2, 1, 2, 1, 85, 1, 1]
