Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[147708, 147829, 147833, 147837, 148251, 148340, 148344, 148348, 148373, 148442, 148461, 148465, 148466, 148466, 148469, 148591, 148609, 148609, 148610, 148611, 148615, 148692, 148723, 148867, 148872, 148872, 148887, 148903, 148920, 148948, 148948, 148950, 148955, 148961, 148981, 149015, 149017, 149049, 149123, 149128, 149380, 149535, 150385, 150388, 150389, 150515, 150553, 150559, 150670, 150886, 150922, 150941, 150976, 150996, 151033, 151086, 151091, 151144]	[1, 2, 2, 1, 19, 1, 25, 1, 2, 30, 3, 19, 13, 3, 29, 2, 1, 1, 3, 1, 45, 1, 1, 18, 1, 1, 1, 1, 1, 14, 1, 15, 1, 1, 1, 1, 26, 1, 2, 29, 1, 1, 28, 1, 1, 20, 5, 9, 22, 1, 42, 1, 1, 1, 1, 4, 46, 1]
EFB1	I	142174	143160	[142285, 142321, 142325, 142351, 142563, 142925, 142930]	[2, 1, 15, 1, 1, 1, 2]
MAK16	I	100225	101145	[100355, 100565, 100740, 100789, 100840, 100922, 101017, 101022, 101087]	[1, 1, 1, 28, 1, 2, 2, 27, 1]
PRP45	I	83335	84474	[83411, 83573, 83578, 83664, 83768, 83818, 83823, 83866, 83993, 83997, 83998, 84001, 84075, 84114, 84115, 84119, 84154, 84361, 84410]	[1, 22, 3, 4, 1, 42, 16, 1, 1, 49, 1, 37, 1, 21, 1, 43, 1, 1, 14]
POP5	I	82706	83227	[82898, 82953, 82996, 83001]	[1, 1, 2, 2]
YAL034C-B	I	79489	79842	[79519, 79557, 79632, 79648, 79651, 79705, 79709, 79716, 79722, 79736, 79770, 79774, 79815, 79822, 79840]	[1, 2, 19, 5, 3, 1, 2, 38, 4, 14, 1, 2, 2, 1, 2]
MTW1	I	79718	80587	[79722, 79736, 79770, 79774, 79815, 79822, 79840, 79845, 79896, 79901, 80019, 80053]	[4, 14, 1, 2, 2, 1, 2, 24, 50, 30, 1, 21]
CDC19	I	71786	73288	[72112, 72116, 72118, 72156, 72160, 72161, 72202, 72206, 72229, 72294, 72297, 72299, 72299, 72301, 72305, 72336, 72344, 72351, 72365, 72383, 72386, 72392, 72403, 72409, 72413, 72418, 72419, 72497, 72588, 72685, 72693, 72698, 72780, 72835, 72844, 72881, 72886, 72887, 72890, 72970, 73164, 73220]	[24, 1, 1, 59, 17, 32, 1, 1, 1, 2, 1, 3, 1, 35, 23, 1, 2, 1, 1, 1, 1, 2, 2, 37, 24, 4, 1, 41, 1, 1, 58, 32, 1, 1, 1, 1, 9, 1, 45, 1, 1, 1]
CDC24	I	62840	65404	[62840, 62866, 62870, 62892, 62927, 62935, 62942, 63144, 63192, 63197, 63229, 63231, 63238, 63254, 63264, 63268, 63294, 63294, 63295, 63299, 63339, 63348, 63597, 63613, 63619, 63796, 63800, 63813, 63826, 63830, 63870, 63903, 63911, 64463, 64673, 64746, 64749, 64752, 64801, 64826, 64843, 64844, 64847, 64877, 65175, 65181, 65230, 65234, 65284]	[3, 1, 2, 1, 17, 18, 3, 1, 18, 13, 1, 1, 1, 1, 1, 1, 11, 1, 6, 47, 2, 1, 1, 8, 1, 13, 43, 2, 2, 1, 1, 2, 27, 1, 21, 35, 1, 1, 2, 1, 1, 3, 80, 1, 27, 6, 10, 17, 14]
PTA1	I	58695	61052	[58783, 58854, 58883, 58887, 58934, 59003, 59008, 59055, 59059, 59180, 59340, 59345, 59433, 59453, 59613, 59646, 59650, 59780, 59864, 59868, 59876, 59983, 60041, 60100, 60122, 60372, 60376, 60478, 60717, 60869, 60947, 60968, 61001, 61006]	[3, 33, 56, 3, 1, 31, 45, 9, 38, 1, 19, 18, 1, 1, 1, 24, 5, 1, 26, 11, 1, 1, 1, 2, 12, 1, 5, 1, 2, 1, 41, 1, 17, 41]
RFA1	I	156754	158619	[156855, 157600, 157699, 157820, 158476, 158519]	[1, 1, 1, 1, 3, 2]
SEN34	I	158966	159793	[158990, 158990, 158994, 159225, 159228, 159403, 159534, 159534, 159536, 159540, 159541, 159603, 159676, 159679, 159688, 159732, 159735, 159740]	[24, 2, 35, 3, 21, 1, 9, 1, 30, 3, 3, 38, 72, 1, 1, 1, 1, 1]
CDC15	I	172211	175135	[172232, 172266, 172270, 172292, 172384, 172389, 172441, 172540, 172544, 172612, 172616, 172634, 172807, 172811, 172940, 172941, 172945, 173078, 173114, 173162, 173246, 173628, 173634, 173676, 173682, 173763, 173894, 173898, 173998, 174073, 174315, 174320, 174325, 174328, 174332, 174365, 174369, 174427, 174441, 174494, 174574]	[16, 39, 9, 2, 49, 20, 1, 25, 25, 20, 34, 2, 30, 27, 12, 1, 50, 1, 2, 25, 2, 19, 2, 6, 14, 1, 1, 2, 2, 26, 1, 14, 2, 21, 15, 1, 18, 1, 1, 2, 12]
HTA2	II	235394	235792	[235488, 235733, 235739]	[2, 2, 1]
UTP20	II	227636	235117	[227648, 227712, 227747, 227750, 227787, 227793, 227815, 227853, 227882, 227900, 227927, 227978, 227982, 227982, 228037, 228153, 228153, 228157, 228157, 228158, 228158, 228216, 228224, 228258, 228272, 228277, 228352, 228356, 228358, 228401, 228414, 228449, 229497, 229891, 230097, 230100, 230104, 230296, 230345, 230388, 230495, 230519, 230717, 230723, 231128, 231165, 231189, 231196, 231278, 231281, 231584, 232048, 232054, 232099, 232141, 232186, 232190, 232224, 232346, 232442, 233713, 233794, 233881, 233931, 234018, 234020, 234023, 234028, 234072, 234185, 234228, 234232, 234241, 234316, 234364, 234611, 234615, 234968, 234973, 234996, 235011, 235038, 235038, 235041, 235042, 235045, 235050, 235061, 235099, 235102, 235111, 235111]	[1, 1, 14, 39, 1, 14, 1, 64, 47, 1, 1, 42, 1, 39, 1, 37, 1, 2, 7, 40, 9, 1, 1, 1, 52, 15, 12, 24, 1, 56, 2, 37, 5, 1, 5, 9, 2, 1, 1, 1, 1, 1, 1, 2, 25, 59, 1, 1, 9, 93, 2, 44, 2, 2, 2, 3, 10, 1, 1, 1, 8, 1, 6, 1, 15, 1, 1, 3, 1, 1, 1, 2, 1, 7, 1, 3, 2, 24, 5, 1, 1, 1, 1, 1, 1, 22, 16, 4, 1, 1, 4, 8]
RRN6	II	199064	201748	[199079, 199083, 199083, 199154, 199299, 199301, 199305, 199315, 199337, 199461, 199465, 199503, 199574, 199633, 199648, 199688, 199708, 199773, 199831, 199907, 199914, 200203, 200207, 200211, 200227, 200311, 200315, 200423, 200455, 200552, 200554, 200557, 200559, 200565, 200598, 200599, 200600, 200602, 200603, 200604, 200613, 200619, 200669, 200674, 200686, 200689, 200693, 200713, 200778, 200794, 200818, 200898, 200907, 200911, 200936, 200967, 200976, 200981, 201164, 201223, 201227, 201236, 201491, 201495, 201745]	[25, 1, 15, 1, 1, 21, 22, 1, 1, 28, 19, 1, 1, 23, 2, 19, 1, 1, 3, 2, 10, 26, 2, 1, 1, 4, 5, 20, 60, 53, 1, 9, 1, 2, 19, 1, 13, 1, 1, 25, 1, 1, 5, 64, 1, 9, 11, 1, 1, 1, 2, 20, 10, 15, 2, 1, 29, 26, 1, 15, 13, 1, 14, 2, 3]
POP8	II	185998	186474	[186002, 186016, 186116, 186190, 186222, 186227, 186243, 186272, 186303, 186313, 186317, 186339, 186468]	[6, 1, 1, 3, 21, 1, 1, 2, 51, 1, 2, 7, 1]
RFT1	II	182401	184125	[182417, 182431, 182436, 182442, 182446, 182482, 182487, 182532, 182534, 182535, 182536, 182585, 182590, 182643, 182683, 182745, 182757, 182761, 182820, 183099, 183103, 183112, 183242, 183391, 183416, 183434, 183539, 183540, 183544, 183554, 183685, 183833, 183956, 183962]	[1, 1, 1, 27, 50, 7, 2, 39, 2, 1, 38, 1, 1, 1, 2, 1, 8, 38, 1, 19, 6, 2, 1, 7, 13, 1, 1, 3, 33, 2, 1, 1, 3, 3]
MCM2	II	174920	177526	[175255, 175260, 175266, 175336, 175354, 175382, 175388, 175391, 175409, 175416, 175422, 175473, 175594, 175667, 175677, 175682, 175684, 175703, 175730, 175777, 175781, 175888, 175894, 175895, 175898, 175899, 175899, 176056, 176060, 176707, 176714, 176761, 177024, 177029, 177245, 177248]	[1, 30, 3, 1, 1, 2, 1, 14, 12, 8, 2, 1, 1, 11, 2, 9, 28, 2, 2, 38, 29, 1, 16, 1, 29, 1, 14, 2, 22, 1, 3, 2, 18, 8, 1, 20]
LSM2	II	170623	171038	[170881, 170975, 170977, 170978, 170979, 170980, 170980, 171002]	[35, 37, 1, 1, 9, 1, 2, 1]
PET9	II	163041	163997	[163065, 163070, 163210, 163268, 163272, 163440, 163475, 163480, 163581, 163589, 163656, 163661, 163665, 163669, 163752, 163845, 163849, 163911, 163955, 163975, 163995]	[3, 1, 1, 4, 1, 2, 20, 3, 1, 1, 6, 3, 26, 28, 1, 1, 27, 1, 1, 2, 7]
STU1	II	153848	158389	[153869, 153872, 153873, 153876, 154050, 154107, 154148, 154174, 154295, 154299, 154300, 154458, 154475, 154566, 154586, 154593, 154625, 154630, 154652, 154734, 154737, 154841, 154845, 154969, 154973, 155147, 155188, 155192, 155192, 155208, 155245, 155256, 155274, 155297, 155298, 155300, 155301, 155339, 155442, 155446, 155450, 155453, 155554, 155616, 155640, 155711, 155742, 155963, 155988, 156073, 156153, 156392, 157061, 157070, 157104, 157170, 157175, 157476, 157582, 157666, 157667, 157670, 157799, 157803, 157851, 157851, 157852, 157852, 157853, 157854, 157864, 157871, 157935, 157955, 157960, 158096, 158101, 158211, 158218, 158249]	[2, 2, 1, 2, 1, 1, 3, 19, 13, 1, 1, 1, 1, 7, 1, 15, 29, 3, 1, 2, 20, 33, 10, 1, 31, 1, 17, 1, 1, 1, 2, 1, 1, 26, 1, 1, 54, 1, 1, 7, 38, 1, 13, 2, 3, 1, 1, 1, 1, 1, 1, 2, 21, 1, 1, 1, 33, 4, 16, 4, 2, 1, 7, 21, 2, 4, 7, 1, 21, 2, 1, 2, 1, 13, 30, 67, 6, 1, 12, 56]
POL12	II	151493	153610	[151503, 151592, 151620, 151897, 151941, 151991, 152157, 152257, 152611, 152616, 152685, 152709, 152755, 152759, 152820, 152825, 153143, 153228, 153254, 153353, 153381, 153445, 153446, 153448, 153451, 153483, 153498, 153498, 153499, 153504, 153517, 153521, 153545, 153553, 153569, 153599, 153604]	[1, 13, 5, 1, 10, 6, 1, 1, 35, 1, 1, 2, 27, 24, 2, 27, 12, 1, 16, 1, 3, 28, 1, 2, 2, 1, 18, 1, 19, 36, 2, 16, 1, 4, 1, 5, 63]
ERD2	II	142112	142868	[142287, 142292, 142293, 142343, 142346, 142350, 142369, 142394, 142400, 142447, 142469, 142483, 142487, 142572, 142595, 142620, 142625, 142625, 142642, 142649, 142669, 142714, 142718, 142719, 142722, 142722, 142779, 142798, 142800, 142806, 142811, 142822, 142826, 142861]	[10, 1, 1, 12, 7, 3, 1, 56, 31, 1, 35, 7, 95, 1, 1, 36, 1, 44, 1, 1, 2, 1, 25, 1, 1, 55, 1, 4, 31, 27, 7, 2, 4, 1]
PRE7	II	141247	141972	[141455, 141457, 141459, 141460, 141598, 141630, 141634, 141649, 141709, 141741, 141742, 141745]	[11, 1, 1, 2, 1, 41, 4, 1, 1, 3, 49, 14]
SEC17	II	125125	126119	[125303, 125634, 125638, 125735, 125740, 125774, 125780, 125792, 125796, 125797, 125798, 125808, 125924, 125929]	[4, 22, 1, 18, 1, 1, 2, 30, 8, 1, 1, 42, 1, 44]
YBL073W	II	87646	87957	[87660, 87663, 87700, 87737, 87737, 87739, 87739, 87740, 87741, 87820, 87825, 87837, 87846, 87867, 87901, 87929, 87932, 87940, 87955]	[1, 14, 1, 18, 5, 16, 17, 1, 13, 8, 11, 1, 25, 4, 1, 1, 4, 24, 6]
AAR2	II	86722	87789	[86723, 86738, 86755, 86785, 86953, 87048, 87053, 87093, 87099, 87160, 87210, 87214, 87276, 87280, 87281, 87281, 87288, 87313, 87494, 87508, 87531, 87536, 87573, 87577, 87585, 87660, 87663, 87700, 87737, 87737, 87739, 87739, 87740, 87741]	[1, 1, 4, 1, 2, 15, 7, 26, 3, 1, 1, 15, 15, 5, 2, 5, 1, 1, 1, 1, 1, 2, 24, 10, 1, 1, 14, 1, 18, 5, 16, 17, 1, 13]
ILS1	II	81043	84261	[81060, 81255, 81340, 81345, 81529, 81857, 81868, 81954, 81963, 81981, 82012, 82021, 82076, 82092, 82130, 82147, 82170, 82185, 82190, 82290, 82294, 82425, 82429, 82439, 82462, 82474, 82569, 82573, 82683, 82912, 82916, 82928, 82978, 83051, 83056, 83310, 83355, 83404, 83504, 83510, 83587, 83596, 83638, 83647, 83728, 83732, 83767, 83779, 83785, 83855, 83869, 84004, 84043, 84048, 84079, 84163]	[1, 2, 1, 3, 1, 2, 1, 28, 1, 1, 1, 1, 1, 1, 1, 1, 1, 47, 18, 1, 39, 54, 1, 1, 1, 1, 6, 41, 1, 31, 8, 1, 1, 1, 44, 1, 8, 2, 3, 2, 18, 37, 1, 1, 1, 1, 38, 1, 25, 2, 1, 1, 11, 16, 1, 1]
YBL077W	II	80897	81328	[80900, 80905, 80921, 80939, 80953, 80959, 81060, 81255]	[9, 1, 20, 10, 1, 40, 1, 2]
CDC27	II	67169	69445	[67170, 67175, 67224, 67266, 67326, 67333, 67340, 67379, 67384, 67386, 67419, 67435, 67440, 67440, 67444, 67465, 67581, 67585, 67633, 67637, 67663, 67699, 67729, 67779, 67779, 67780, 67783, 67817, 67824, 67836, 67885, 67889, 67934, 67972, 67995, 68027, 68032, 68033, 68037, 68058, 68105, 68133, 68139, 68644, 68838, 69156, 69378, 69382, 69385, 69386]	[1, 1, 3, 1, 1, 1, 3, 21, 36, 1, 1, 1, 14, 1, 34, 1, 1, 1, 37, 5, 9, 27, 1, 3, 1, 10, 104, 78, 2, 2, 11, 24, 1, 2, 13, 22, 1, 17, 1, 1, 1, 1, 45, 1, 1, 1, 3, 20, 1, 4]
RPL32	II	45978	46370	[46019, 46089, 46140, 46143, 46235, 46239, 46324]	[1, 2, 2, 3, 1, 3, 1]
