Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[336, 346, 350, 359, 366, 386, 388, 390, 391, 402, 402, 429, 435, 435, 449, 476, 482, 483, 485, 491, 495, 496, 497, 499, 502, 514, 519, 535, 562, 569, 572, 579, 581, 589, 592]	[2, 50, 4, 1, 1, 42, 28, 3, 1, 12, 5, 8, 1, 72, 1, 1, 1, 1, 40, 1, 27, 43, 13, 1, 9, 13, 2, 3, 62, 36, 1, 39, 4, 6, 12]
YAL068W-A	I	538	792	[562, 569, 572, 579, 581, 589, 592, 687, 696, 707, 715]	[62, 36, 1, 39, 4, 6, 12, 34, 6, 5, 2]
PAU8	I	1807	2169	[1810, 1820, 1832, 1843, 1846, 1880, 1884, 1886, 1898, 1928, 1933, 1936, 1947, 1962, 1978, 1988, 2001, 2006, 2013, 2019, 2137, 2145, 2166]	[8, 11, 6, 1, 13, 38, 1, 2, 1, 3, 23, 4, 1, 3, 3, 2, 1, 2, 5, 46, 16, 25, 15]
YAL067W-A	I	2480	2707	[2487, 2492, 2495, 2502, 2560, 2571, 2583, 2594]	[1, 2, 6, 1, 37, 1, 9, 4]
SEO1	I	7235	9016	[7294, 7348, 7404, 7408, 7410, 7473, 7515, 7521, 7558, 7575, 7645, 7650, 7705, 7709, 7719, 7728, 7733, 8133, 8163, 8301, 8329, 8395, 8425, 8484, 8531, 8540, 8578, 8630, 8698, 8725, 8777, 8798, 8815, 8827, 8862, 8869, 8870, 8874, 8874, 8877, 8882, 8891, 8909, 8911, 8915, 8918, 8921, 8929, 8931, 8940, 8943, 8975, 8987, 8988, 8988, 9014]	[11, 58, 22, 60, 1, 4, 1, 7, 29, 40, 6, 62, 34, 1, 154, 1, 17, 40, 3, 1, 1, 40, 4, 14, 2, 4, 2, 1, 7, 5, 13, 171, 1, 16, 1, 10, 2, 1, 22, 2, 5, 20, 3, 15, 1, 12, 20, 5, 50, 7, 14, 2, 1, 1, 2, 2]
YAL066W	I	10091	10399	[10099, 10126, 10135, 10185, 10293, 10301, 10307, 10313, 10338, 10389, 10393]	[1, 20, 14, 7, 2, 5, 8, 3, 23, 1, 9]
YAL065C	I	11565	11951	[11612, 11619, 11623, 11630, 11703, 11748, 11764, 11772, 11774, 11784, 11788, 11792, 11798, 11802, 11806, 11809, 11834, 11835, 11843, 11854, 11923, 11925, 11938, 11942, 11949]	[19, 5, 119, 4, 8, 24, 5, 1, 5, 22, 3, 1, 7, 44, 22, 5, 14, 1, 17, 1, 43, 36, 25, 5, 10]
YAL064W-B	I	12046	12426	[12050, 12074, 12092, 12099, 12111, 12114, 12121, 12141, 12145, 12150, 12242, 12262, 12283, 12308, 12313, 12340, 12343, 12344, 12357, 12366, 12374, 12384, 12388, 12396, 12423, 12426]	[5, 38, 26, 23, 132, 19, 1, 4, 2, 13, 36, 1, 4, 18, 3, 21, 1, 42, 10, 3, 26, 6, 20, 1, 1, 33]
TDA8	I	13363	13743	[13393, 13410, 13433, 13443, 13447, 13478, 13480, 13561, 13570, 13573, 13578, 13599, 13663, 13691, 13701, 13713, 13743]	[1, 1, 62, 12, 20, 20, 1, 6, 1, 3, 4, 5, 1, 8, 7, 15, 6]
YAL064W	I	21566	21850	[21635, 21650, 21740, 21772, 21778, 21793, 21803, 21811, 21831, 21839, 21842]	[3, 2, 2, 27, 6, 4, 1, 34, 3, 29, 15]
YAL063C-A	I	22395	22685	[22405, 22471, 22477, 22504, 22505, 22509, 22522, 22529, 22616, 22629, 22643, 22657, 22662, 22677, 22677]	[1, 3, 19, 20, 9, 24, 30, 23, 1, 4, 3, 2, 20, 19, 1]
