Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[337, 344, 352, 390, 396, 402, 427, 438, 441, 444, 449, 455, 460, 484, 491, 496, 500, 510, 515, 520, 523, 567, 571, 579, 589]	[92, 58, 1, 1, 1, 2, 1, 40, 213, 8, 4, 1, 1, 2, 2, 12, 1, 1, 2, 1, 5, 69, 4, 78, 6]
YAL068W-A	I	538	792	[567, 571, 579, 589, 687, 691, 696, 702, 722, 729, 749, 756, 772, 781, 785]	[69, 4, 78, 6, 137, 212, 17, 3, 1, 1, 1, 1, 3, 3, 1]
PAU8	I	1807	2169	[1825, 1831, 1838, 1844, 1849, 1896, 1933, 1934, 1936, 1970, 1981, 1989, 1996, 2016, 2120, 2168]	[20, 14, 33, 1, 1, 1, 1, 2, 1, 2, 17, 16, 5, 3, 1, 3]
YAL067W-A	I	2480	2707	[2484, 2489, 2494, 2528, 2530, 2552, 2562, 2564, 2572, 2587, 2594, 2603, 2609, 2616, 2621, 2631, 2639, 2662, 2693]	[4, 1, 85, 1, 1, 2, 2, 11, 2, 1, 38, 28, 17, 23, 23, 43, 32, 1, 9]
SEO1	I	7235	9016	[7238, 7243, 7248, 7292, 7297, 7324, 7342, 7369, 7397, 7449, 7467, 7470, 7473, 7476, 7522, 7534, 7563, 7566, 7578, 7580, 7658, 7659, 7671, 7708, 7739, 7776, 8060, 8068, 8083, 8107, 8177, 8316, 8343, 8399, 8468, 8483, 8513, 8579, 8630, 8737, 8745, 8775, 8826, 8874, 8888, 8902, 8911, 8918]	[1, 30, 1, 1, 2, 1, 1, 2, 2, 1, 2, 3, 39, 1, 4, 1, 1, 1, 26, 125, 53, 23, 2, 34, 2, 1, 1, 3, 137, 1, 43, 1, 29, 27, 9, 7, 4, 57, 3, 50, 1, 116, 4, 20, 19, 1, 2, 7]
YAL066W	I	10091	10399	[10129, 10147, 10177, 10184, 10235, 10252, 10266, 10284, 10288, 10295, 10337, 10340, 10391]	[47, 12, 1, 1, 10, 1, 34, 8, 1, 55, 1, 3, 1]
YAL065C	I	11565	11951	[11567, 11598, 11621, 11648, 11722, 11730, 11734, 11743, 11755, 11761, 11764, 11780, 11793, 11800, 11804, 11834, 11838, 11859, 11890, 11919, 11926, 11931, 11942]	[7, 1, 1, 1, 1, 1, 1, 31, 1, 1, 2, 12, 14, 1, 2, 2, 1, 3, 1, 37, 69, 10, 23]
YAL064W-B	I	12046	12426	[12065, 12074, 12094, 12184, 12231, 12252, 12293, 12296, 12302, 12305, 12308, 12309, 12325, 12342, 12348, 12372, 12389, 12392, 12402]	[1, 111, 104, 1, 18, 1, 1, 17, 1, 2, 119, 2, 1, 5, 2, 275, 7, 8, 1]
TDA8	I	13363	13743	[13411, 13421, 13442, 13453, 13468, 13481, 13501, 13515, 13522, 13549, 13600, 13632, 13660, 13728]	[24, 1, 2, 1, 31, 1, 75, 18, 1, 1, 5, 34, 26, 2]
YAL064W	I	21566	21850	[21618, 21631, 21658, 21675, 21757, 21769, 21788, 21798, 21802, 21806, 21808, 21821, 21841, 21842, 21847]	[1, 1, 5, 1, 1, 1, 1, 38, 2, 36, 1, 4, 35, 10, 125]
