Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[148397, 148471, 148536, 148557, 148577, 149060, 150560, 150571, 150614, 150658, 150801, 150924, 151017, 151041]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]
EFB1	I	142174	143160	[142175, 142357]	[1, 1]
MAK16	I	100225	101145	[100708, 100764, 100864, 100913, 100923, 100924, 100975, 101020]	[1, 1, 1, 1, 2, 1, 1, 1]
PRP45	I	83335	84474	[83570, 83577, 83664, 83705, 83742, 83815, 83820, 83884, 84023, 84117, 84203, 84408]	[1, 1, 18, 1, 1, 1, 1, 1, 1, 1, 1, 1]
POP5	I	82706	83227	[82998, 82999, 83096, 83196]	[1, 1, 1, 2]
YAL034C-B	I	79489	79842	[79557, 79591, 79594, 79632, 79648, 79651, 79652, 79778]	[6, 2, 1, 28, 8, 7, 1, 1]
MTW1	I	79718	80587	[79778, 79864, 79898]	[1, 1, 3]
CDC19	I	71786	73288	[71908, 72157, 72169, 72241, 72304, 72410, 72412, 72416, 72452, 72730]	[1, 1, 2, 2, 1, 1, 1, 2, 2, 1]
CDC24	I	62840	65404	[62925, 63457, 63462, 63632, 63730, 63765, 64800, 64846, 64897, 64968, 65350]	[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2]
PTA1	I	58695	61052	[58775, 58992, 59006, 59129, 59418, 59433, 59514, 59646, 59873, 59898, 60054, 60131, 60469, 60473, 60621, 60901, 60969, 61002, 61010]	[1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 1]
RFA1	I	156754	158619	[157609, 158579]	[1, 1]
SEN34	I	158966	159793	[158990, 158992, 159031, 159074, 159099, 159118, 159221, 159538, 159777]	[1, 2, 2, 1, 1, 1, 1, 1, 1]
CDC15	I	172211	175135	[172232, 172305, 172346, 172388, 172441, 172613, 172769, 172791, 172816, 172908, 173055, 173160, 173437, 173897, 174139, 174141, 174323, 174330, 174427, 174461, 174528, 174569, 175076]	[27, 1, 2, 1, 1, 3, 1, 2, 1, 2, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 2, 1, 5]
HTA2	II	235394	235792	[235488, 235503, 235792]	[3, 3, 2]
