Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[341, 376, 387, 391, 397, 435, 491, 495, 496, 497, 519, 537, 568, 579, 595, 598]	[24, 1, 60, 32, 3, 1, 1, 29, 1, 29, 2, 11, 8, 3, 8, 2]
YAL068W-A	I	538	792	[568, 579, 595, 598, 792]	[8, 3, 8, 2, 18]
PAU8	I	1807	2169	[1814, 1880, 1884, 1884, 1894, 1898, 1932, 1938, 1966, 1987, 2014, 2015, 2018, 2128, 2149]	[4, 31, 1, 1, 9, 3, 63, 48, 1, 1, 12, 2, 31, 1, 3]
YAL067W-A	I	2480	2707	[2494, 2499, 2613, 2640]	[3, 1, 1, 3]
SEO1	I	7235	9016	[7292, 7321, 7333, 7346, 7404, 7408, 7441, 7452, 7472, 7474, 7477, 7776, 8170, 8246, 8282, 8349, 8393, 8680, 8687, 8699, 8732, 8738, 8789, 8825, 8826, 8827, 8830, 8832, 8838, 8847, 8868, 8872, 8873, 8926, 8955, 8960, 8988, 9011, 9014]	[64, 1, 1, 1, 19, 24, 1, 1, 5, 1, 22, 3, 1, 3, 1, 1, 1, 1, 2, 32, 62, 1, 2, 3, 1, 53, 2, 29, 1, 1, 27, 1, 22, 1, 1, 2, 37, 1, 18]
YAL066W	I	10091	10399	[10185, 10191, 10231, 10318, 10326, 10387, 10389, 10393]	[66, 1, 8, 20, 2, 1, 7, 22]
YAL065C	I	11565	11951	[11809, 11834, 11838, 11846]	[1, 38, 10, 5]
YAL064W-B	I	12046	12426	[12138, 12144, 12149, 12273, 12302, 12339, 12345, 12409, 12422]	[3, 49, 35, 1, 1, 53, 34, 1, 3]
TDA8	I	13363	13743	[13408, 13442, 13473, 13574, 13578, 13663, 13733]	[2, 2, 1, 20, 15, 2, 1]
YAL064W	I	21566	21850	[21666, 21704, 21708, 21745, 21780]	[1, 3, 1, 6, 1]
YAL063C-A	I	22395	22685	[22415, 22505, 22509, 22529, 22547, 22553, 22581, 22614, 22651]	[1, 51, 27, 1, 1, 1, 13, 1, 2]
FLO9	I	24000	27968	[24004, 24011, 24026, 24039, 24061, 24108, 24113, 24116, 24116, 24117, 24117, 24121, 24149, 24163, 24168, 24183, 24230, 24262, 24266, 24270, 24276, 24278, 24299, 24423, 24428, 24491, 24515, 24576, 24580, 24581, 24582, 24583, 24621, 24631, 24641, 24670, 24709, 24747, 24792, 24796, 24798, 24874, 24879, 25033, 25072, 25113, 25116, 25167, 25314, 25408, 25452, 25470, 25505, 25527, 25552, 25555, 25560, 25575, 25598, 25602, 25635, 25640, 25683, 25686, 25939, 26019, 26074, 26154, 26209, 26479, 26565, 26614, 26695, 26700, 26749, 26835, 26881, 26884, 26941, 26945, 26985, 26994, 26998, 27020, 27023, 27027, 27072, 27125, 27130, 27157, 27224, 27340, 27343, 27655]	[1, 1, 1, 1, 2, 67, 1, 5, 1, 48, 1, 47, 2, 1, 2, 37, 5, 3, 34, 29, 1, 4, 1, 48, 18, 1, 4, 16, 4, 26, 1, 3, 9, 1, 1, 1, 1, 1, 24, 2, 26, 1, 30, 1, 1, 1, 1, 3, 10, 12, 2, 1, 9, 2, 3, 1, 1, 1, 1, 1, 68, 269, 1, 5, 6, 1, 2, 3, 3, 4, 40, 8, 1, 28, 4, 44, 1, 3, 2, 26, 92, 1, 45, 1, 1, 6, 12, 9, 9, 1, 7, 1, 18, 1]
GDH3	I	31567	32940	[31604, 31609, 31661, 31668, 31681, 31692, 31696, 31697, 31697, 31698, 31730, 31733, 31751, 31751, 31782, 31786, 31797, 31816, 31854, 31855, 31856, 31859, 31868, 31938, 31939, 31941, 31945, 31945, 31946, 31946, 32028, 32062, 32066, 32070, 32076, 32108, 32181, 32185, 32216, 32233, 32266, 32277, 32281, 32281, 32284, 32305, 32323, 32381, 32386, 32456, 32476, 32492, 32519, 32528, 32553, 32588, 32594, 32608, 32615, 32631, 32633, 32715, 32742, 32771, 32790, 32840, 32898, 32903]	[34, 3, 1, 3, 1, 44, 26, 3, 5, 1, 8, 1, 2, 7, 3, 6, 21, 1, 35, 1, 1, 50, 1, 18, 2, 18, 3, 33, 1, 1, 1, 15, 27, 42, 2, 5, 22, 58, 7, 1, 1, 30, 5, 11, 5, 2, 1, 7, 46, 4, 25, 2, 1, 2, 1, 15, 34, 2, 1, 1, 7, 1, 1, 5, 2, 1, 33, 18]
BDH2	I	33448	34701	[33532, 33573, 33577, 33581, 33581, 33582, 33616, 33625, 33629, 33630, 33630, 33653, 33669, 33678, 33684, 33716, 33752, 33756, 33808, 33883, 33985, 33989, 34029, 34032, 34033, 34073, 34142, 34156, 34249, 34264, 34272, 34275, 34320, 34323, 34327, 34376, 34394, 34408, 34458, 34468, 34477, 34492, 34524, 34528, 34582, 34589, 34610, 34631, 34633, 34642, 34652, 34695, 34701]	[3, 19, 13, 8, 1, 1, 1, 38, 5, 1, 2, 3, 1, 1, 11, 1, 26, 23, 2, 1, 6, 12, 3, 1, 1, 2, 1, 1, 13, 1, 1, 2, 3, 3, 10, 18, 23, 7, 6, 2, 2, 1, 77, 52, 2, 1, 1, 3, 7, 7, 3, 1, 23]
