Gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
YAL069W	I	335	649	[337, 338, 341, 347, 356, 372, 386, 386, 387, 388, 389, 391, 392, 393, 397, 407, 415, 429, 442, 450, 457, 460, 465, 470, 475, 485, 490, 492, 495, 496, 496, 516, 519, 523, 533, 537, 538, 568, 579, 595, 622]	[6, 2, 76, 2, 1, 1, 202, 2, 348, 86, 8, 26, 3, 39, 7, 5, 6, 1, 3, 1, 2, 1, 4, 1, 1, 1, 24, 1, 83, 2, 57, 1, 3, 1, 1, 14, 1, 8, 8, 5, 1]
YAL068W-A	I	538	792	[538, 568, 579, 595, 622, 706, 710, 792, 792]	[1, 8, 8, 5, 1, 1, 1, 21, 1]
PAU8	I	1807	2169	[1814, 1879, 1885, 1894, 1898, 1917, 1920, 1933, 1935, 1936, 1937, 1938, 1939, 1948, 1964, 1968, 1987, 1992, 2001, 2006, 2013, 2013, 2014, 2018, 2029, 2080, 2134, 2140, 2157]	[2, 125, 7, 16, 16, 1, 1, 135, 2, 2, 143, 1, 48, 1, 1, 1, 2, 3, 1, 2, 13, 1, 13, 139, 10, 1, 1, 2, 1]
YAL067W-A	I	2480	2707	[2482, 2494, 2560, 2582, 2610, 2640]	[1, 5, 1, 2, 7, 2]
SEO1	I	7235	9016	[7289, 7294, 7297, 7298, 7299, 7299, 7311, 7331, 7331, 7352, 7357, 7388, 7403, 7404, 7408, 7410, 7410, 7433, 7437, 7437, 7441, 7457, 7472, 7474, 7477, 7642, 7663, 7683, 7697, 7752, 7771, 7777, 7951, 8116, 8171, 8235, 8242, 8246, 8290, 8343, 8404, 8631, 8648, 8680, 8686, 8699, 8722, 8732, 8738, 8739, 8744, 8753, 8762, 8770, 8784, 8791, 8814, 8827, 8831, 8832, 8833, 8837, 8839, 8868, 8870, 8871, 8873, 8889, 8892, 8895, 8906, 8932, 8983, 8987, 8988, 8988, 9000, 9006, 9012, 9013, 9013, 9014]	[29, 130, 3, 3, 1, 1, 2, 3, 1, 1, 1, 1, 31, 1, 101, 1, 1, 1, 1, 2, 1, 1, 18, 3, 145, 3, 4, 2, 2, 1, 6, 22, 1, 1, 15, 1, 3, 10, 1, 1, 1, 1, 4, 1, 4, 86, 1, 139, 3, 1, 2, 1, 1, 1, 2, 1, 1, 141, 98, 2, 33, 2, 1, 55, 2, 1, 41, 1, 1, 1, 2, 2, 9, 49, 1, 37, 1, 1, 1, 2, 1, 19]
YAL066W	I	10091	10399	[10094, 10127, 10177, 10186, 10191, 10231, 10244, 10267, 10278, 10284, 10299, 10311, 10318, 10346, 10362, 10374, 10389, 10393]	[1, 1, 1, 148, 4, 36, 8, 3, 1, 2, 1, 1, 32, 1, 1, 1, 22, 20]
YAL065C	I	11565	11951	[11667, 11681, 11786, 11809, 11826, 11828, 11834, 11834, 11837, 11838, 11844, 11846, 11867, 11882, 11890, 11928, 11941, 11946]	[1, 1, 1, 1, 1, 1, 101, 1, 1, 53, 1, 2, 1, 1, 2, 1, 1, 1]
YAL064W-B	I	12046	12426	[12048, 12054, 12063, 12090, 12104, 12138, 12143, 12143, 12144, 12146, 12148, 12149, 12156, 12199, 12210, 12220, 12273, 12298, 12316, 12317, 12339, 12344, 12383, 12413, 12422, 12426]	[1, 1, 2, 1, 1, 4, 41, 1, 187, 2, 1, 122, 1, 2, 2, 1, 1, 2, 1, 1, 129, 78, 2, 1, 4, 140]
TDA8	I	13363	13743	[13365, 13426, 13500, 13573, 13579, 13636, 13663, 13733, 13737]	[3, 1, 1, 57, 78, 1, 2, 1, 1]
YAL064W	I	21566	21850	[21611, 21615, 21661, 21665, 21666, 21705, 21708, 21712, 21745, 21781, 21844]	[2, 1, 1, 10, 6, 9, 1, 2, 8, 1, 3]
