Entry	Entry Name	Gene Names (primary)	Protein names	Length		Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)	PubMed ID	Domain [CC]
P39533	ACON2_YEAST	ACO2	Homocitrate dehydratase, mitochondrial (EC 4.2.1.-) (Aconitase 2)	789		lysine biosynthetic process via aminoadipic acid [GO:0019878]; tricarboxylic acid cycle [GO:0006099]	4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; metal ion binding [GO:0046872]	cytosol [GO:0005829]; mitochondrion [GO:0005739]	7754713; 8641269; 24374639; 10224250; 14562095; 14562106; 14576278; 23106124	
P52910	ACS2_YEAST	ACS2	Acetyl-coenzyme A synthetase 2 (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acyl-activating enzyme 2)	683		acetyl-CoA biosynthetic process [GO:0006085]; acetyl-CoA biosynthetic process from acetate [GO:0019427]; histone acetylation [GO:0016573]; pyruvate metabolic process [GO:0006090]	acetate-CoA ligase activity [GO:0003987]; acid-ammonia (or amide) ligase activity [GO:0016880]; AMP binding [GO:0016208]; ATP binding [GO:0005524]	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]	7649171; 9169871; 24374639; 8910545; 14562095; 14562106; 12872131; 16857587; 18407956	
P60010	ACT_YEAST	ACT1	Actin (EC 3.6.4.-)	375		ascospore wall assembly [GO:0030476]; cellular response to oxidative stress [GO:0034599]; chromatin remodeling [GO:0006338]; DNA repair [GO:0006281]; DNA-templated transcription [GO:0006351]; endocytosis [GO:0006897]; establishment of cell polarity [GO:0030010]; histone acetylation [GO:0016573]; mitotic actomyosin contractile ring contraction [GO:1902404]; protein secretion [GO:0009306]; regulation of DNA-templated transcription [GO:0006355]; vacuole inheritance [GO:0000011]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; identical protein binding [GO:0042802]; structural constituent of cytoskeleton [GO:0005200]	actin cortical patch [GO:0030479]; actin filament [GO:0005884]; actin filament bundle [GO:0032432]; cellular bud neck contractile ring [GO:0000142]; chromatin [GO:0000785]; Ino80 complex [GO:0031011]; NuA4 histone acetyltransferase complex [GO:0035267]; nucleus [GO:0005634]; Swr1 complex [GO:0000812]	6994099; 7001447; 6096014; 7003553; 6286825; 7670463; 24374639; 11491363; 1885608; 8935650; 1935913; 15126500; 18407956; 19779198; 21239490; 10496983; 22814378; 22106047; 28796488; 12732734	
P27616	PUR7_YEAST	ADE1	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	306		'de novo' IMP biosynthetic process [GO:0006189]; purine nucleotide biosynthetic process [GO:0006164]	ATP binding [GO:0005524]; phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [GO:0004639]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	3013210; 1756975; 1658741; 7941740; 7731988; 24374639; 1495480; 14562106; 22814378; 9551557	
Q04894	ADH6_YEAST	ADH6	NADP-dependent alcohol dehydrogenase 6 (EC 1.1.1.2) (NADP-dependent alcohol dehydrogenase VI) (ScADHVI)	360		alcohol metabolic process [GO:0006066]; cellular aldehyde metabolic process [GO:0006081]; furaldehyde metabolic process [GO:0033859]	alcohol dehydrogenase (NADP+) activity [GO:0008106]; hydroxymethylfurfural reductase (NADH) activity [GO:0033833]; hydroxymethylfurfural reductase (NADPH) activity [GO:0033845]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; zinc ion binding [GO:0008270]		9169872; 24374639; 12554944; 14562106; 18407956; 19779198	
P47143	ADK_YEAST	ADO1	Adenosine kinase (EC 2.7.1.20)	340		AMP salvage [GO:0044209]; phosphorylation [GO:0016310]; purine nucleobase metabolic process [GO:0006144]; purine ribonucleoside salvage [GO:0006166]	adenosine kinase activity [GO:0004001]; ATP binding [GO:0005524]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	8641269; 24374639; 17322287; 11223943; 14562106; 14558146	
P46367	ALDH4_YEAST	ALD4	Potassium-activated aldehyde dehydrogenase, mitochondrial (EC 1.2.1.-) (EC 1.2.1.4) (K(+)-activated acetaldehyde dehydrogenase) (K(+)-ACDH)	519		acetate biosynthetic process [GO:0019413]; ethanol metabolic process [GO:0006067]; NADPH regeneration [GO:0006740]; pyruvate metabolic process [GO:0006090]	aldehyde dehydrogenase (NAD+) activity [GO:0004029]; aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]	mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]	9169874; 24374639; 1989592; 9150920; 9675847; 9473035; 11502169; 14562106; 15256563; 17761666; 19779198	
P40047	ALDH5_YEAST	ALD5	Aldehyde dehydrogenase 5, mitochondrial (EC 1.2.1.-) (EC 1.2.1.4)	520		acetate biosynthetic process [GO:0019413]; ethanol catabolic process [GO:0006068]	aldehyde dehydrogenase (NAD+) activity [GO:0004029]; aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	9059631; 9169868; 24374639; 9473035; 10585550; 14562095; 14562106; 14576278; 15256563	
P22768	ASSY_YEAST	ARG1	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	420		arginine biosynthetic process [GO:0006526]; argininosuccinate metabolic process [GO:0000053]; urea cycle [GO:0000050]	argininosuccinate synthase activity [GO:0004055]; ATP binding [GO:0005524]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	2123815; 8789261; 9169874; 24374639; 2897249; 205532; 35347; 14562095; 14562106	
P04076	ARLY_YEAST	ARG4	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	463		arginine biosynthetic process via ornithine [GO:0042450]	argininosuccinate lyase activity [GO:0004056]	cytosol [GO:0005829]	6386606; 8091229; 24374639; 17322287; 3889658; 14562106; 18407956	
