Essential gene name	Chromosome	Start location	End location	Insertion locations	Reads per insertion location
TFC3	I	147594	151166	[147832, 148071, 148220, 148397, 148471, 148484, 148536, 148553, 148557, 148577, 148586, 148608, 148952, 149060, 150560, 150571, 150614, 150658, 150801, 150924, 151017, 151041]	[1, 2, 2, 1, 3, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1]
EFB1	I	142174	143160	[142175, 142357]	[1, 1]
MAK16	I	100225	101145	[100708, 100764, 100849, 100864, 100912, 100923, 100924, 100975, 101020]	[1, 1, 2, 1, 3, 2, 1, 1, 1]
PRP45	I	83335	84474	[83519, 83570, 83577, 83582, 83652, 83664, 83680, 83685, 83705, 83739, 83742, 83815, 83820, 83884, 84023, 84116, 84118, 84203, 84408]	[1, 1, 1, 1, 1, 18, 13, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1]
POP5	I	82706	83227	[82998, 82999, 83096, 83196]	[1, 1, 1, 2]
YAL034C-B	I	79489	79842	[79557, 79591, 79594, 79603, 79632, 79648, 79651, 79652, 79778, 79842]	[6, 2, 1, 4, 28, 8, 7, 1, 1, 1]
MTW1	I	79718	80587	[79778, 79842, 79864, 79898, 79898, 80048, 80483, 80578]	[1, 1, 1, 1, 3, 1, 2, 3]
CDC19	I	71786	73288	[71883, 71908, 72157, 72163, 72169, 72241, 72298, 72302, 72304, 72410, 72412, 72416, 72452, 72557, 72695, 72697, 72730, 72887, 72903, 72925, 73088, 73208]	[1, 1, 1, 1, 2, 2, 2, 6, 1, 1, 1, 2, 2, 2, 3, 1, 1, 2, 2, 2, 2, 1]
CDC24	I	62840	65404	[62924, 62989, 63006, 63148, 63224, 63240, 63263, 63457, 63462, 63579, 63632, 63730, 63752, 63765, 63798, 63867, 63909, 64047, 64748, 64800, 64846, 64897, 64968, 65179, 65284, 65286, 65350]	[2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 4, 1, 1, 1, 1, 2, 1, 1, 2, 2, 14, 2, 2]
PTA1	I	58695	61052	[58748, 58775, 58886, 58992, 59003, 59006, 59007, 59057, 59129, 59299, 59418, 59433, 59514, 59646, 59873, 59880, 59898, 60050, 60054, 60059, 60084, 60131, 60213, 60469, 60473, 60574, 60621, 60883, 60901, 60969, 60991, 61002, 61010]	[1, 1, 1, 2, 2, 1, 3, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 3, 1]
